(Parent) ASIN,(Child) ASIN,Title,Sessions - Total,Sessions - Total - B2B,Session Percentage - Total,Session Percentage - Total - B2B,Page Views - Total,Page Views - Total - B2B,Page Views Percentage - Total,Page Views Percentage - Total - B2B,Featured Offer Percentage,Featured Offer Percentage - B2B,Units Ordered,Units Ordered - B2B,Unit Session Percentage,Unit Session Percentage - B2B,Ordered Product Sales,Ordered Product Sales - B2B,Total Order Items,Total Order Items - B2B
B01KNMEVDG,B01KNMEVDG,Fossil Grant Sport Blue Watch FS5237,"8,225",107,5.08%,3.75%,"11,372",161,5.22%,3.91%,99.79%,100.00%,49,3,0.60%,2.80%,"₹3,82,053.00","₹23,391.00",47,3
B008AXYWHQ,B008AXYWHQ,Fossil Nate Chronograph Analog Black Dial Grey Band Men's Stainless Steel Watch - JR1401,"11,551",176,7.13%,6.16%,"16,113",256,7.39%,6.22%,99.85%,100.00%,38,1,0.33%,0.57%,"₹4,73,452.00","₹12,796.00",38,1
B00EVZ83J0,B00EVZ83J0,"Fossil Decker Brown Watch Ch2885 - Chronograph, Men, Leather","5,372",94,3.32%,3.29%,"7,415",133,3.40%,3.23%,79.38%,79.69%,33,0,0.61%,0.00%,"₹2,57,504.00",₹0.00,31,0
B00AG37H8Y,B00AG37H8Y,"Fossil Analog White Dial Men's Watch-FS4795 Stainless Steel, Multicolor Strap","9,624",213,5.94%,7.46%,"13,447",333,6.17%,8.09%,99.92%,100.00%,19,1,0.20%,0.47%,"₹2,75,405.00","₹14,495.00",19,1
B004D4S7AY,B004D4S7AY,Fossil Analog Gold Dial Women's Watch - ES2811,"3,926",59,2.42%,2.07%,"5,568",83,2.56%,2.02%,98.54%,100.00%,17,1,0.43%,1.69%,"₹2,29,415.00","₹13,495.00",17,1
B0DJ2XHK2N,B0DJ2XHK2N,Fossil Women's Scarlette Multicolor Analog Quartz Stainless Steel Watch ES5388,"3,675",49,2.27%,1.72%,"5,265",85,2.42%,2.07%,98.84%,100.00%,15,0,0.41%,0.00%,"₹1,79,925.00",₹0.00,15,0
B0846PJPW9,B0846PJPW9,Armani Exchange Black Dial Analog Men's Watch,"2,775",40,1.71%,1.40%,"3,660",54,1.68%,1.31%,75.01%,75.00%,12,1,0.43%,2.50%,"₹96,564.00","₹8,047.00",11,1
B0DKJHSD8R,B0DKJHSD8R,Armani Exchange Analog Gray Dial Men's Stainless Steel Watch-AX4184,"3,571",69,2.20%,2.42%,"4,950",105,2.27%,2.55%,98.97%,94.87%,11,1,0.31%,1.45%,"₹1,75,945.00","₹15,995.00",11,1
B00DUCIUDY,B00DUCIUDY,Fossil Decker Rose Gold Watch ES3352,781,21,0.48%,0.74%,"1,218",65,0.56%,1.58%,54.51%,65.22%,9,0,1.15%,0.00%,"₹64,773.00",₹0.00,9,0
B00AMWDOEK,B00AMWDOEK,Fossil Grant Chronograph Beige Dial Men's Watch - FS4735,"2,981",52,1.84%,1.82%,"3,834",87,1.76%,2.11%,98.74%,100.00%,8,0,0.27%,0.00%,"₹1,03,960.00",₹0.00,8,0
B0DKJG6R31,B0DKJG6R31,Armani Exchange Analog Black Dial Men's Stainless Steel Watch-AX2459,930,16,0.57%,0.56%,"1,315",19,0.60%,0.46%,89.94%,90.00%,8,0,0.86%,0.00%,"₹65,984.00",₹0.00,8,0
