return-date,order-id,sku,asin,fnsku,product-name,quantity,fulfillment-center-id,detailed-disposition,reason,license-plate-number,customer-comments
2026-08-02T04:20:07+00:00,405-6565609-2616368,FBS79504,B0D935TWSR,X00284BTH7,Emporio Armani Silver Watch AR11637,1,DEL2,SELLABLE,APPAREL_TOO_LARGE,LPNDEL2R89319505,I want to return this product
2026-08-02T04:10:30+00:00,402-2959241-2563518,FBS79637,B0DC64BD5R,X00284BXJL,Fossil Sport Tourer Black Quartz Leather Watch FS6086,1,DEL2,SELLABLE,UNDELIVERABLE_REFUSED,LPNDEL2R87252010,
2026-08-02T04:07:48+00:00,404-6332938-1143555,FBA79925,B0FRVBBDM9,X002FTVT0R,Armani Exchange Black Watch AX4621,1,BOM4,CUSTOMER_DAMAGED,APPAREL_TOO_SMALL,LPNBOM4N44349941,
2026-08-01T14:21:47+00:00,404-5316364-0218727,FBA79929,B0FTMLYC74,X002FTZ7NR,Fossil Carlie Multicolor Quartz Stainless Steel Watch ES5439,1,BOM4,CUSTOMER_DAMAGED,APPAREL_TOO_SMALL,LPNBOM4N44906245,
2026-08-01T13:22:21+00:00,407-0203254-1088346,FBA79755,B0DSBRWZ8N,X0029WYD6H,Fossil Chronograph Men Neutra Brown Quartz Leather Gold Dial Watch FS6113,1,BLR5,SELLABLE,UNDELIVERABLE_REFUSED,LPNBLR5O4327385,
2026-08-01T08:00:45+00:00,407-1344239-1537116,FBA80093,B00H2ZDX00,X002J9G82H,Fossil End of Season Dean Analog Off-White Dial Men's Watch - FS4867,1,DEL2,CUSTOMER_DAMAGED,QUALITY_UNACCEPTABLE,LPNDEL2R89319651,
2026-08-01T07:04:04+00:00,406-4538235-7970702,FBS69579,B01MTYS3BW,X002844Z41,Diesel Analog Stainless Steel Black Dial and Band (Big dial) Men's Watch-DZ7395,1,BOM4,CUSTOMER_DAMAGED,APPAREL_TOO_LARGE,LPNBOM4N43494525,
2026-08-01T06:59:59+00:00,403-1239416-8220323,FBS70769,B07M7P7VLX,X00284ALD5,Fossil Women's Analog Watch (Black),1,DEL2,SELLABLE,DID_NOT_LIKE_COLOR,LPNDEL2R89319305,"The dial is almost invisible, poorly designed watch"
2026-08-01T05:26:24+00:00,171-9878400-2653904,FBA79882,B0FCVPBY7Y,X002E9CN8Z,Fossil Grant Multicolor Quartz Stainless Steel Watch FS6131,1,BOM4,SELLABLE,UNDELIVERABLE_REFUSED,LPNBOM4N44972908,
2026-08-01T05:20:53+00:00,406-8193489-7409116,FBS66987,B017SN1OI8,X002844YM9,Fossil Analog Blue Dial Men's Watch - FS5151,1,BOM4,SELLABLE,DID_NOT_LIKE_COLOR,LPNBOM4N44900808,
2026-08-01T05:03:44+00:00,403-2839347-9768334,FBS66974,B008AXYWHQ,X00284E6DB,Fossil Nate Chronograph Analog Black Dial Grey Band Men's Stainless Steel Watch - JR1401,1,BOM4,CUSTOMER_DAMAGED,SWITCHEROO,LPNBOM4N45115442,
2026-08-01T03:45:18+00:00,402-8477359-5565968,FBO66964,B00WM0CF4A,X001Q1U05P,Fossil Women's ES3843 Jacqueline Analog Quartz Blue Watch,1,BLR5,SELLABLE,DEFECTIVE,LPNBLR5O2528517,The straps has wrinkles type
2026-08-01T03:17:54+00:00,402-1782782-5776334,FBA79925,B0FRVBBDM9,X002FTVT0R,Armani Exchange Black Watch AX4621,1,BLR5,SELLABLE,APPAREL_TOO_SMALL,LPNBLR5O4292419,I found the dial a bit small
2026-07-31T13:33:40+00:00,408-9442626-2701164,FBS79422,B0CZ91YKMP,X00284EZ9L,Fossil Blue Dive Gold Watch ES5350,1,BLR5,SELLABLE,APPAREL_STYLE,LPNBLR5O3623629,Smaller dial than expected
2026-07-31T13:31:00+00:00,403-6104536-0977137,FBS79310,B0CRSQDJJ5,X002844XBB,"Michael Kors Analog Green Dial Men's Stainless Steel Watch-Mk9152, Band Color:Silver",1,BLR5,SELLABLE,UNDELIVERABLE_REFUSED,LPNBLR5O3899477,
2026-07-31T13:12:09+00:00,171-8210310-1036364,FBO67811,B06VV5QB6Q,X001Q1TZWJ,"Fossil Analog Black Dial Men's Watch-FS5308 Stainless Steel, Black Strap",1,BLR5,SELLABLE,APPAREL_TOO_LARGE,LPNBLR5O3341688,
2026-07-31T12:18:34+00:00,407-6992142-1054766,FBS70769,B07M7P7VLX,X00284ALD5,Fossil Women's Analog Watch (Black),1,DEL2,SELLABLE,UNDELIVERABLE_REFUSED,LPNDEL2R89886535,
2026-07-31T11:59:16+00:00,404-0846802-4544326,FBA79030,B0C7WKTMFC,X001UXYRM1,Michael Kors Analog Black Dial Men's Stainless Steel Watch-Mk9113,1,DEL2,CUSTOMER_DAMAGED,DAMAGED_BY_CARRIER,LPNDEL2R87379072,
2026-07-31T10:02:59+00:00,406-4519292-4092301,FBA79731,B0DSBQCZTK,X0029WZOYR,Armani Exchange Black Watch AX2463,1,DEL2,CUSTOMER_DAMAGED,QUALITY_UNACCEPTABLE,LPNDEL2R89318641,
2026-07-31T09:57:02+00:00,408-4341666-5686739,FBS76941,B0BFXL8ZP9,X00284BSUZ,"Fossil Neutra Analog Green Dial Men's Watch-FS5963 Genuine Leather, Brown Strap",1,DEL2,SELLABLE,UNDELIVERABLE_REFUSED,LPNDEL2R87282766,
2026-07-31T07:50:05+00:00,171-6107075-0941901,FBO67803,B01487C7CO,X001Q1WUY9,Fossil Analog Brown Dial Men's Leather Band Watch - ME3098,1,DEL2,SELLABLE,UNDELIVERABLE_REFUSED,LPNDEL2R84111687,
2026-07-31T07:26:08+00:00,402-9528289-4195558,FBA79528,B0D93652ZY,X00241X1HP,Fossil Harlow Two Tone Watch ES5362,1,DEL2,SELLABLE,UNDELIVERABLE_REFUSED,LPNDEL2R84199423,
2026-07-31T05:40:50+00:00,408-3692898-0977126,FBO67803,B01487C7CO,X001Q1WUY9,Fossil Analog Brown Dial Men's Leather Band Watch - ME3098,1,CCX1,SELLABLE,DID_NOT_LIKE_COLOR,LPNCCX1B4445042,The watch is a little bit different from the product image. It doesn&#39;t suits me.
2026-07-31T05:13:22+00:00,407-5500442-5736333,FBS66974,B008AXYWHQ,X00284E6DB,Fossil Nate Chronograph Analog Black Dial Grey Band Men's Stainless Steel Watch - JR1401,1,BLR5,SELLABLE,UNDELIVERABLE_REFUSED,LPNBLR5O3341190,
2026-07-31T04:24:42+00:00,407-6825166-4240333,FBO70527,B00NVAWTLY,X001Q1Z6AJ,"Fossil Nate Analog Black Dial Men's Watch-JR1487 Genuine Leather, Brown Strap",1,DEL2,CUSTOMER_DAMAGED,SWITCHEROO,LPNDEL2R86893920,
2026-07-31T03:32:05+00:00,406-1163710-3221949,FBS66640,B00AFTTQ8I,X00284BSJV,Fossil Chronograph men Grant Brown Quartz Leather Watch FS4813IE,1,BLR5,SELLABLE,QUALITY_UNACCEPTABLE,LPNBLR5O3341065,
2026-07-30T15:18:50+00:00,407-0800054-3686755,FBA80045,B0GF7GZ4K7,X002IPG9UX,Fossil Crosby Multicolor Quartz Stainless Steel Watch FS6161,1,BOM4,SELLABLE,DID_NOT_LIKE_COLOR,LPNBOM4N44332525,
2026-07-30T13:54:02+00:00,171-2641797-1905107,FBS66974,B008AXYWHQ,X00284E6DB,Fossil Nate Chronograph Analog Black Dial Grey Band Men's Stainless Steel Watch - JR1401,1,BLR5,SELLABLE,QUALITY_UNACCEPTABLE,LPNBLR5P9965143,
2026-07-30T12:38:47+00:00,406-3288775-1952360,FBS66974,B008AXYWHQ,X00284E6DB,Fossil Nate Chronograph Analog Black Dial Grey Band Men's Stainless Steel Watch - JR1401,1,DEL2,SELLABLE,QUALITY_UNACCEPTABLE,LPNDEL2R90011971,
2026-07-30T12:06:32+00:00,403-4501937-6918758,FBA79864,B0FFDJHKR5,X002E9F0FD,Armani Exchange Silver Quartz Stainless Steel Watch AX2820,1,BLR5,SELLABLE,APPAREL_TOO_LARGE,LPNBLR5P9965129,
2026-07-30T11:17:18+00:00,405-4370663-2674721,FBS66636,B004D4S7AY,X002844YSN,Fossil Analog Gold Dial Women's Watch - ES2811,1,BLR5,SELLABLE,APPAREL_TOO_LARGE,LPNBLR5O4552208,
2026-07-30T10:51:44+00:00,408-0806593-9355503,FBA79882,B0FCVPBY7Y,X002E9CN8Z,Fossil Grant Multicolor Quartz Stainless Steel Watch FS6131,1,CCX1,SELLABLE,UNDELIVERABLE_REFUSED,LPNCCX1B2401811,
2026-07-30T08:18:27+00:00,404-2468156-0325131,FBA79528,B0D93652ZY,X00241X1HP,Fossil Harlow Two Tone Watch ES5362,1,BLR5,SELLABLE,UNDELIVERABLE_REFUSED,LPNBLR5O4534219,
2026-07-30T07:31:34+00:00,405-2996502-5276309,FBA79723,B0DT2QDBS3,X0029WXV3D,Emporio Armani Brown Quartz Leather Watch AR11665,1,DEL2,SELLABLE,DID_NOT_LIKE_COLOR,LPNDEL2R86922714,Didn’t like the colour
2026-07-30T06:58:32+00:00,405-5322646-5217133,FBO70527,B00NVAWTLY,X001Q1Z6AJ,"Fossil Nate Analog Black Dial Men's Watch-JR1487 Genuine Leather, Brown Strap",1,BOM4,CUSTOMER_DAMAGED,APPAREL_TOO_LARGE,LPNBOM4N44757690,
2026-07-30T06:10:01+00:00,408-6125824-8407531,FBA79749,B0DSBQN2B9,X0029WYD8Z,Fossil Men Everett Grey Quartz Stainless Steel Analog Watch FS6107,1,DEL2,SELLABLE,NOT_AS_DESCRIBED,LPNDEL2R87176646,
2026-07-30T05:50:34+00:00,408-8782851-2515558,FBS66636,B004D4S7AY,X002844YSN,Fossil Analog Gold Dial Women's Watch - ES2811,1,DEL2,SELLABLE,APPAREL_TOO_LARGE,LPNDEL2R87176844,
2026-07-30T04:12:02+00:00,406-5108155-2123518,FBS79649,B0DJ2W8W79,X00284AMCP,Michael Kors Sage Silver Watch MK9191,1,DEL2,SELLABLE,DID_NOT_LIKE_COLOR,LPNDEL2R87176833,The green/emerald dial looks very dull. Not as shown in pics/site.
2026-07-30T03:47:26+00:00,404-7754353-5918737,FBS66974,B008AXYWHQ,X00284E6DB,Fossil Nate Chronograph Analog Black Dial Grey Band Men's Stainless Steel Watch - JR1401,1,BLR5,CUSTOMER_DAMAGED,SWITCHEROO,LPNBLR5P9965081,
2026-07-30T03:27:18+00:00,171-4995993-3187526,FBO69595,B07CSNG8XL,X001Q1Z2U3,Fossil Carlie Analog White Dial Women's Watch - ES4433,1,DEL2,SELLABLE,APPAREL_TOO_LARGE,LPNDEL2R89541951,No need
2026-07-30T03:11:10+00:00,171-1402057-1414747,FBO66964,B00WM0CF4A,X001Q1U05P,Fossil Women's ES3843 Jacqueline Analog Quartz Blue Watch,1,DEL2,SELLABLE,QUALITY_UNACCEPTABLE,LPNDEL2R89541934,
2026-07-29T19:15:43+00:00,407-0295132-0925179,FBA79727,B0DT381WY9,X0029WZEN3,Emporio Armani Silver Quartz Stainless Steel Watch AR11674,1,BLR5,SELLABLE,APPAREL_STYLE,LPNBLR5O3980615,Didn&#39;t suit me
2026-07-29T17:48:44+00:00,404-7118565-6436345,FBO66964,B00WM0CF4A,X001Q1U05P,Fossil Women's ES3843 Jacqueline Analog Quartz Blue Watch,1,BLR5,SELLABLE,UNDELIVERABLE_REFUSED,LPNBLR5O2762993,
2026-07-29T16:20:17+00:00,403-1875477-7928344,FBS66987,B017SN1OI8,X002844YM9,Fossil Analog Blue Dial Men's Watch - FS5151,1,BLR5,SELLABLE,DID_NOT_LIKE_COLOR,LPNBLR5O3782809,
2026-07-29T14:44:00+00:00,171-7513959-5517901,FBA79527,B0D936GPVL,X00241X17F,Fossil Harlow Gold Watch ES5361,1,BOM4,SELLABLE,DID_NOT_LIKE_COLOR,LPNBOM4N44399082,Did not like the color its too golden
2026-07-29T10:43:49+00:00,405-8095351-5803546,FBA79527,B0D936GPVL,X00241X17F,Fossil Harlow Gold Watch ES5361,1,DEL2,SELLABLE,DID_NOT_LIKE_COLOR,LPNDEL2R89716442,
2026-07-29T10:18:26+00:00,407-6280247-5972314,FBA80093,B00H2ZDX00,X002J9G82H,Fossil End of Season Dean Analog Off-White Dial Men's Watch - FS4867,1,BOM4,SELLABLE,NEVER_ARRIVED,LPNBOM4N43677926,
2026-07-29T10:15:24+00:00,402-2522063-1245145,FBA79631,B0DJ2WKCPD,X00266RWJV,Fossil Women's Harlow Pink Quartz Analog Stainless Steel Watch ES5386,1,DEL2,SELLABLE,DID_NOT_LIKE_COLOR,LPNDEL2R87176835,
2026-07-29T10:07:21+00:00,406-7043676-3733917,FBO74415,B08QTW81S9,X001Q1WUU3,Fossil Everett Analog Blue Dial Men's Watch-FS5822,1,DEL2,SELLABLE,DID_NOT_LIKE_COLOR,LPNDEL2R84298731,
2026-07-29T09:26:57+00:00,408-1237315-3509117,FBA79730,B0DSBN63D1,X0029X1643,Armani Exchange Silver Quartz Stainless Steel Watch AX1767,1,DEL2,CUSTOMER_DAMAGED,APPAREL_STYLE,LPNDEL2R87374737,
2026-07-29T09:11:59+00:00,403-1714177-7305945,FBS69548,B012R0UNAW,X00284E6D1,"Emporio Armani Stainless Steel Gianni T-Bar Analog White Dial Women Watch - Ar1926, Multi-Color Band",1,BOM4,SELLABLE,APPAREL_STYLE,LPNBOM4N44683395,It does not look good on my skin colour
2026-07-29T08:32:53+00:00,406-1934767-8696359,FBS79637,B0DC64BD5R,X00284BXJL,Fossil Sport Tourer Black Quartz Leather Watch FS6086,1,DEL2,SELLABLE,POOR_FIT,LPNDEL2R89541854,
2026-07-29T07:53:08+00:00,402-7048791-1337169,FBS66974,B008AXYWHQ,X00284E6DB,Fossil Nate Chronograph Analog Black Dial Grey Band Men's Stainless Steel Watch - JR1401,1,BLR5,CUSTOMER_DAMAGED,MISORDERED,LPNBLR5O3501802,
2026-07-29T07:34:53+00:00,406-6487471-8661929,FBS79412,B07T3ZLNM3,X00284AM1L,"Diesel Leather Analog Silver Dial Men's Watch-Dz4665, Band Color -Brown",1,DEL2,SELLABLE,UNDELIVERABLE_REFUSED,LPNDEL2R87374650,
2026-07-29T07:10:34+00:00,408-7462128-3460346,FBA80234,B0GTCF15F4,X002MRJY3V,Fossil Everett Blue Watch FS6169,1,DEL2,SELLABLE,UNDELIVERABLE_REFUSED,LPNDEL2R89823008,
2026-07-29T06:39:47+00:00,407-7994821-9494760,FBA80029,B0GDHZ5QH8,X002IPGHCD,Armani Exchange Blue Quartz Leather Watch AX2767,1,DEL2,SELLABLE,APPAREL_TOO_LARGE,LPNDEL2R87176996,
2026-07-29T04:46:03+00:00,402-7069450-6686705,FBA79929,B0FTMLYC74,X002FTZ7NR,Fossil Carlie Multicolor Quartz Stainless Steel Watch ES5439,1,BOM4,CUSTOMER_DAMAGED,QUALITY_UNACCEPTABLE,LPNBOM4N44757723,
2026-07-29T04:17:41+00:00,402-8766426-4894706,FBA79933,B0FTMM455Z,X002FTVTHZ,Fossil Raquel Gold Quartz Stainless Steel Watch ES5452,1,DEL2,SELLABLE,APPAREL_STYLE,LPNDEL2R84198587,
