snapshot_date,iso_year,iso_week,SKU,Item No,Brand,Assortment Type,Fossil SOH
2026-04-16,2026,16,FBA66627,ES3020,Fossil,FP,743
2026-04-16,2026,16,FBA66633,ES3284,Fossil,FP,1906
2026-04-16,2026,16,FBA66636,ES2811,Fossil,FP,540
2026-04-16,2026,16,FBA66640,FS4813,Fossil,FP,846
2026-04-16,2026,16,FBA66648,FS4812,Fossil,VD,0
2026-04-16,2026,16,FBA66654,ES3405,Fossil,Discount,0
2026-04-16,2026,16,FBA66963,FS4795,Fossil,FP,509
2026-04-16,2026,16,FBA66964,ES3843,Fossil,Discount,488
2026-04-16,2026,16,FBA66974,JR1401,Fossil,VD,1182
2026-04-16,2026,16,FBA66995,ME3061,Fossil,FP,1122
2026-04-16,2026,16,FBA67266,MK5491,Michael Kors,FP,1109
2026-04-16,2026,16,FBA67801,ES3466,Fossil,VD,1502
2026-04-16,2026,16,FBA67803,ME3098,Fossil,FP,2429
2026-04-16,2026,16,FBA67811,FS5308,Fossil,FP,284
2026-04-16,2026,16,FBA67860,MK8603,Michael Kors,FP,204
2026-04-16,2026,16,FBA67928,DZ1206,Diesel,FP,632
2026-04-16,2026,16,FBA69544,AR2502,Emporio Armani,FP,315
2026-04-16,2026,16,FBA69548,AR1926,Emporio Armani,FP,896
2026-04-16,2026,16,FBA69556,AR2434,Emporio Armani,FP,193
2026-04-16,2026,16,FBA69579,DZ7395,Diesel,FP,0
2026-04-16,2026,16,FBA69595,ES4433,Fossil,FP,1196
2026-04-16,2026,16,FBA69614,MK3190,Michael Kors,Discount,185
2026-04-16,2026,16,FBA69631,SKW2694,Skagen,FP,0
2026-04-16,2026,16,FBA70527,JR1487,Fossil,VD,443
2026-04-16,2026,16,FBA70769,ES4519,Fossil,Discount,0
2026-04-16,2026,16,FBA70774,FS5525,Fossil,FP,1597
2026-04-16,2026,16,FBA70827,FS5512,Fossil,FP,1023
2026-04-16,2026,16,FBA71628,ES4628,Fossil,FP,1688
2026-04-16,2026,16,FBA72002,AR1676,Emporio Armani,Discount,0
2026-04-16,2026,16,FBA74245,FS5699,Fossil,FP,956
2026-04-16,2026,16,FBA74251,AR1979,Emporio Armani,Discount,220
2026-04-16,2026,16,FBA74257,MK6485,Michael Kors,FP,195
2026-04-16,2026,16,FBA74721,FS4735,Fossil,FP,910
2026-04-16,2026,16,FBA74728,BQ3181,Fossil,VD,0
2026-04-16,2026,16,FBA74758,AX2413,Armani Exchange,FP,368
2026-04-16,2026,16,FBA74838,AR11360,Emporio Armani,FP,223
2026-04-16,2026,16,FBA74927,AX5901,Armani Exchange,FP,332
2026-04-16,2026,16,FBA74952,AX5911,Armani Exchange,FP,196
2026-04-16,2026,16,FBA74972,ME3206,Fossil,FP,180
2026-04-16,2026,16,FBA75077,FS5792,Fossil,FP,1098
2026-04-16,2026,16,FBA75146,FS5452,Fossil,FP,159
2026-04-16,2026,16,FBA75260,CH2882,Fossil,VD,0
2026-04-16,2026,16,FBA75320,FS5901,Fossil,FP,221
2026-04-16,2026,16,FBA75326,ME3218,Fossil,FP,782
2026-04-16,2026,16,FBA75346,AR11338,Emporio Armani,FP,109
2026-04-16,2026,16,FBA76447,AR11484,Emporio Armani,FP,262
2026-04-16,2026,16,FBA76490,FS5708SET,Fossil,FP,0
2026-04-16,2026,16,FBA76771,AR11499,Emporio Armani,Discount,0
2026-04-16,2026,16,FBA76772,AR11500,Emporio Armani,FP,0
2026-04-16,2026,16,FBA76941,FS5963,Fossil,FP,810
2026-04-16,2026,16,FBA77066,MK4339,Michael Kors,FP,2
2026-04-16,2026,16,FBA77972,AX1739,Armani Exchange,FP,584
2026-04-16,2026,16,FBA77981,AR80065SET,Emporio Armani,Discount,0
2026-04-16,2026,16,FBA77988,DZ4627,Diesel,FP,36
2026-04-16,2026,16,FBA77995,MK4709,Michael Kors,FP,56
2026-04-16,2026,16,FBA77996,MK4710,Michael Kors,FP,419
2026-04-16,2026,16,FBA78012,FS5971,Fossil,FP,65
2026-04-16,2026,16,FBA78013,ES5271,Fossil,FP,391
2026-04-16,2026,16,FBA79018,ES5310,Fossil,FP,83
2026-04-16,2026,16,FBA79021,AX1742,Armani Exchange,Discount,0
2026-04-16,2026,16,FBA79029,DZ2189,Diesel,Discount,0
2026-04-16,2026,16,FBA79030,MK9113,Michael Kors,FP,332
2026-04-16,2026,16,FBA79031,ES5306,Fossil,FP,453
2026-04-16,2026,16,FBA79040,AR70010,Emporio Armani,Discount,0
2026-04-16,2026,16,FBA79046,DZ4640,Diesel,Discount,0
2026-04-16,2026,16,FBA79048,AR11575,Emporio Armani,FP,505
2026-04-16,2026,16,FBA79122,SKW3121,Skagen,FP,0
2026-04-16,2026,16,FBA79143,ES5323,Fossil,FP,279
2026-04-16,2026,16,FBA79144,FS6032,Fossil,FP,438
2026-04-16,2026,16,FBA79145,ES5319,Fossil,FP,225
2026-04-16,2026,16,FBA79148,FS6029,Fossil,FP,250
2026-04-16,2026,16,FBA79152,AX7151SET,Armani Exchange,FP,67
2026-04-16,2026,16,FBA79158,AX1956,Armani Exchange,Discount,590
2026-04-16,2026,16,FBA79221,AR11558,Emporio Armani,Discount,0
2026-04-16,2026,16,FBA79222,ES5303,Fossil,FP,311
2026-04-16,2026,16,FBA79223,ME3253,Fossil,FP,647
2026-04-16,2026,16,FBA79224,ME3254,Fossil,FP,574
2026-04-16,2026,16,FBA79283,AR11596,Emporio Armani,FP,469
2026-04-16,2026,16,FBA79288,DZ4659,Diesel,Discount,0
2026-04-16,2026,16,FBA79289,ES5278,Fossil,Discount,0
2026-04-16,2026,16,FBA79292,MK4805,Michael Kors,FP,2
2026-04-16,2026,16,FBA79302,AR60076,Emporio Armani,Discount,0
2026-04-16,2026,16,FBA79305,AR11582,Emporio Armani,FP,91
2026-04-16,2026,16,FBA79310,MK9152,Michael Kors,FP,344
2026-04-16,2026,16,FBA79311,MK4817SET,Michael Kors,FP,158
2026-04-16,2026,16,FBA79312,MK9153,Michael Kors,FP,350
2026-04-16,2026,16,FBA79317,AX2454,Armani Exchange,FP,1132
2026-04-16,2026,16,FBA79319,ES5338,Fossil,FP,0
2026-04-16,2026,16,FBA79322,AX1962,Armani Exchange,Discount,143
2026-04-16,2026,16,FBA79323,ES5331,Fossil,FP,899
2026-04-16,2026,16,FBA79324,ES5329,Fossil,FP,96
2026-04-16,2026,16,FBA79334,FS6048,Fossil,FP,436
2026-04-16,2026,16,FBA79335,ME3260,Fossil,FP,452
2026-04-16,2026,16,FBA79336,FS6045,Fossil,FP,878
2026-04-16,2026,16,FBA79340,MK7474,Michael Kors,FP,12
2026-04-16,2026,16,FBA79341,MK9163,Michael Kors,Discount,53
2026-04-16,2026,16,FBA79343,MK9156,Michael Kors,Discount,0
2026-04-16,2026,16,FBA79377,AR11568,Emporio Armani,Discount,0
2026-04-16,2026,16,FBA79409,AX1764,Armani Exchange,Discount,0
2026-04-16,2026,16,FBA79411,DZ4662,Diesel,FP,0
