"Date","FNSKU","ASIN","MSKU","Title","Disposition","Starting Warehouse Balance","In Transit Between Warehouses","Receipts","Customer Shipments","Customer Returns","Vendor Returns","Warehouse Transfer In/Out","Found","Lost","Damaged","Disposed","Other Events","Ending Warehouse Balance","Unknown Events","Location"
"03/08/2026","X00284E6DB","B008AXYWHQ","FBS66974","Fossil Nate Chronograph Analog Black Dial Grey Band Men's Stainless Steel Watch - JR1401","CUSTOMER_DAMAGED","0","0","0","0","1","0","0","0","0","0","0","0","1","0","BLR5"
"03/08/2026","X00284E6DB","B008AXYWHQ","FBS66974","Fossil Nate Chronograph Analog Black Dial Grey Band Men's Stainless Steel Watch - JR1401","CUSTOMER_DAMAGED","2","0","0","0","0","0","0","0","0","0","0","0","2","0","BOM4"
"03/08/2026","X00284E6DB","B008AXYWHQ","FBS66974","Fossil Nate Chronograph Analog Black Dial Grey Band Men's Stainless Steel Watch - JR1401","SELLABLE","0","1","0","0","2","0","-1","0","0","0","0","0","1","0","BLR5"
"03/08/2026","X00284E6DB","B008AXYWHQ","FBS66974","Fossil Nate Chronograph Analog Black Dial Grey Band Men's Stainless Steel Watch - JR1401","SELLABLE","1","0","0","0","0","0","1","0","0","0","0","0","2","0","BLR8"
"03/08/2026","X00284E6DB","B008AXYWHQ","FBS66974","Fossil Nate Chronograph Analog Black Dial Grey Band Men's Stainless Steel Watch - JR1401","SELLABLE","1","2","0","0","1","0","-2","0","0","0","0","0","0","0","BOM4"
"03/08/2026","X00284E6DB","B008AXYWHQ","FBS66974","Fossil Nate Chronograph Analog Black Dial Grey Band Men's Stainless Steel Watch - JR1401","SELLABLE","1","0","0","0","0","0","0","0","0","0","0","0","1","0","BOM5"
"03/08/2026","X00284E6DB","B008AXYWHQ","FBS66974","Fossil Nate Chronograph Analog Black Dial Grey Band Men's Stainless Steel Watch - JR1401","SELLABLE","0","0","0","0","1","0","0","0","0","0","0","0","1","0","CCX1"
"03/08/2026","X00284E6DB","B008AXYWHQ","FBS66974","Fossil Nate Chronograph Analog Black Dial Grey Band Men's Stainless Steel Watch - JR1401","SELLABLE","0","0","0","0","0","0","1","0","0","0","0","0","1","0","DED4"
"03/08/2026","X00284E6DB","B008AXYWHQ","FBS66974","Fossil Nate Chronograph Analog Black Dial Grey Band Men's Stainless Steel Watch - JR1401","SELLABLE","0","2","0","0","3","0","-2","0","0","0","0","0","1","0","DEL2"
"03/08/2026","X00284E6DB","B008AXYWHQ","FBS66974","Fossil Nate Chronograph Analog Black Dial Grey Band Men's Stainless Steel Watch - JR1401","SELLABLE","0","0","0","0","0","0","1","0","0","0","0","0","1","0","DEL4"
"03/08/2026","X00284E6DB","B008AXYWHQ","FBS66974","Fossil Nate Chronograph Analog Black Dial Grey Band Men's Stainless Steel Watch - JR1401","SELLABLE","2","0","0","-2","0","0","-1","1","0","0","0","0","0","0","DEL5"
