snapshot-date,sku,fnsku,asin,product-name,condition,available,fc-transfer,pending-removal-quantity,inv-age-0-to-90-days,inv-age-91-to-180-days,inv-age-181-to-270-days,inv-age-271-to-365-days,inv-age-365-plus-days,currency,qty-to-be-charged-ltsf-5-mo,projected-ltsf-5-mo,qty-to-be-charged-ltsf-12-mo,estimated-ltsf-next-charge,units-shipped-t7,units-shipped-t30,units-shipped-t60,units-shipped-t90,alert,your-price,sales-price,lowest-price-new-plus-shipping,lowest-price-used,recommended-action,healthy-inventory-level,recommended-sales-price,recommended-sale-duration-days,recommended-removal-quantity,estimated-cost-savings-of-recommended-actions,sell-through,item-volume,volume-unit-measurement,storage-type,storage-volume,marketplace,product-group,sales-rank,days-of-supply,estimated-excess-quantity,weeks-of-cover-t30,weeks-of-cover-t90,featuredoffer-price,sales-shipped-last-7-days,sales-shipped-last-30-days,sales-shipped-last-60-days,sales-shipped-last-90-days,inv-age-0-to-30-days,inv-age-31-to-60-days,inv-age-61-to-90-days,inv-age-91-to-150-days,inv-age-151-to-180-days,inv-age-181-to-330-days,inv-age-331-to-365-days,estimated-storage-cost-next-month,inbound-quantity,inbound-working,inbound-shipped,inbound-received,Total Reserved Quantity,unfulfillable-quantity,Inventory age snapshot date,Inventory Supply at FBA,Reserved FC Processing,Reserved Customer Order,Total Days of Supply (including units from open shipments)
2026-07-16,FBA79730,X0029X1643,B0DSBN63D1,,New,5,0,0,5,0,0,0,0,INR,0,0.0,0,0.0,0,1,2,5,Low traffic,10847.0,0.0,10847.0,0.0,NoRestockExcessActionRequired,0,0.0,0,0,35944.68,1.33,7.28E-4,cubic meter,,0.003641,IN,,18934,,0,20,13,10847.0,0.0,9192.37,18384.74,44648.29,0,4,1,0,0,0,0,5.88,0,0,0,0,0,0,2026-07-14,5,0,0,
2026-07-16,FBA79754,X0029WXVCJ,B0DSBQYVSM,,New,12,0,0,3,9,0,0,0,INR,1,40.29,0,0.0,1,5,6,8,,14495.0,0.0,14495.0,0.0,NoRestockExcessActionRequired,0,14490.0,52,0,121132.41,0.52,0.00175,cubic meter,,0.020995,IN,,3594,,12,9,19,14495.0,12283.9,61419.5,73702.55,98268.66,2,1,0,9,0,0,0,338.26,0,0,0,0,0,0,2026-07-14,12,0,0,
2026-07-16,FBA79865,X002E9H8IF,B0FFDSN4S1,,New,1,0,0,1,1,0,0,0,INR,0,0.0,0,0.0,0,1,2,2,Low traffic,12596.0,0.0,12596.0,0.0,NoRestockExcessActionRequired,0,0.0,0,0,6097.45,0.8,7.34E-4,cubic meter,,7.34E-4,IN,,27174,,1,8,13,12596.0,0.0,10674.58,21350.0,21350.0,1,0,0,1,0,0,0,1.16,1,1,0,0,0,0,2026-07-14,2,0,0,
2026-07-16,FBS79498,X00284ALX5,B0D9363BB2,,New,2,0,0,2,1,0,0,0,INR,1,102.48,0,0.0,1,1,1,1,Low traffic,18494.0,0.0,18494.0,0.0,NoRestockExcessActionRequired,0,0.0,0,0,22879.7,0.31,0.004451,cubic meter,,0.008902,IN,,11580,,2,8,26,18494.0,15672.88,15672.88,15672.88,15672.88,0,2,0,0,1,0,0,186.28,0,0,0,0,1,1,2026-07-14,2,1,0,
2026-07-16,FBA79324,X001ZBCE6J,B0CRCZ8TGK,,New,24,0,0,24,0,0,0,0,INR,0,0.0,0,0.0,0,0,1,15,Low traffic,11995.0,0.0,11995.0,0.0,NoRestockExcessActionRequired,24,0.0,0,0,22.1,0.8,0.001845,cubic meter,,0.044292,IN,,17680,,0,,20,11995.0,0.0,0.0,10163.56,152453.4,0,12,12,0,0,0,0,66.14,0,0,0,0,0,0,2026-07-14,24,0,0,
2026-07-16,FBA79418,X002164W7V,B0CYMWQCKL,,New,4,0,0,4,0,0,0,0,INR,0,0.0,0,0.0,0,4,5,9,Low traffic,14494.0,0.0,14494.0,0.0,CreateShippingPlan,0,14490.0,52,0,36546.93,1.64,0.001038,cubic meter,,0.004153,IN,,14369,,0,4,5,14494.0,0.0,49132.21,61414.41,110546.61,3,0,1,0,0,0,0,6.7,0,0,0,0,0,0,2026-07-14,4,0,0,
2026-07-16,FBS79335,X00284BTGX,B0CRD1DRXG,,New,11,0,0,4,7,0,0,0,INR,0,0.0,0,0.0,0,5,8,12,,21994.0,0.0,21994.0,0.0,NoRestockExcessActionRequired,4,0.0,0,0,27291.26,0.8,0.001845,cubic meter,,0.020298,IN,,11792,,7,8,11,21994.0,0.0,93197.47,149114.41,223670.33,1,3,0,7,0,0,0,31.75,0,0,0,0,0,0,2026-07-14,11,0,0,
2026-07-16,FBA79145,X001WI622R,B0CJ6ZW8F6,,New,8,0,0,8,0,0,0,0,INR,0,0.0,0,0.0,0,4,6,9,,11994.0,0.0,11994.0,0.0,NoRestockExcessActionRequired,0,11990.0,52,0,63148.6,1.0,0.001295,cubic meter,,0.010356,IN,,3543,,0,9,13,11994.0,0.0,40657.62,60984.74,91475.42,3,2,3,0,0,0,0,16.72,1,1,0,0,0,0,2026-07-14,9,0,0,
2026-07-16,FBA79867,X002E9HHJ5,B0FFDM5QJX,,New,3,0,0,3,0,0,0,0,INR,0,0.0,0,0.0,1,3,3,3,Low traffic,12597.0,0.0,12597.0,0.0,NoRestockExcessActionRequired,0,0.0,0,0,12274.83,0.63,7.21E-4,cubic meter,,0.002164,IN,,15523,,0,4,13,12597.0,10675.42,32026.26,32026.26,32026.26,1,2,0,0,0,0,0,45.32,0,0,0,0,0,0,2026-07-14,3,0,0,
2026-07-16,FBA79871,X002E9F71F,B0FFD8Q4K6,,New,1,0,0,0,0,1,0,0,INR,0,0.0,0,0.0,0,0,0,0,Low traffic,12495.0,0.0,12495.0,0.0,Advertise listing,0,12490.0,52,0,6616.19,0.0,7.21E-4,cubic meter,,7.21E-4,IN,,41035,,1,,,12495.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,15.06,0,0,0,0,0,0,2026-07-14,1,0,0,
2026-07-16,FBA79926,X002FTL9KH,B0FRWJ5N3P,,New,3,0,0,3,0,2,0,0,INR,2,47.2,0,0.0,0,0,0,0,Low traffic,15994.0,0.0,15994.0,0.0,Advertise listing,0,0.0,0,0,23607.96,0.0,7.21E-4,cubic meter,,0.002164,IN,,47968,,3,,,15994.0,0.0,0.0,0.0,0.0,0,3,0,0,0,2,0,45.3,0,0,0,0,2,0,2026-07-14,3,2,0,
2026-07-16,FBA79755,X0029WYD6H,B0DSBRWZ8N,,New,17,0,0,15,2,0,0,0,INR,0,0.0,0,0.0,1,5,6,12,Low traffic,12994.0,0.0,12994.0,0.0,NoRestockExcessActionRequired,4,12990.0,52,0,23376.53,0.68,6.42E-4,cubic meter,,0.010906,IN,,10938,,13,13,18,12994.0,11011.86,55059.3,66070.32,132141.48,2,5,8,2,0,0,0,17.19,0,0,0,0,0,0,2026-07-14,17,0,0,
2026-07-16,FBA79886,X002E9F79H,B0FKBW8L5H,,New,2,0,0,0,0,0,2,0,INR,1,23.6,0,0.0,,,,,Low traffic,16395.0,0.0,16395.0,0.0,Create removal order,0,0.0,0,0,4693.39,0.0,8.28E-4,cubic meter,,0.001655,IN,,,,2,,,16395.0,,,,,0,0,0,0,0,2,0,34.7,0,0,0,0,0,0,2026-07-14,2,0,0,
2026-07-16,FBS67801,X00284BSYV,B00HVBJ6W4,,New,412,1,0,420,0,0,0,0,INR,0,0.0,0,0.0,45,190,330,499,,9447.0,0.0,9447.0,0.0,NoRestockExcessActionRequired,413,0.0,0,0,0.0,1.74,0.001406,cubic meter,,0.57936,IN,,1103,,0,9,11,9447.0,301860.07,1319662.51,2352365.76,3651597.31,334,86,0,0,0,0,0,790.68,16,0,15,1,1,1,2026-07-14,429,1,0,
2026-07-16,FBA79741,X0029WWSZF,B0DSBPPPJ9,,New,2,0,0,2,0,0,0,0,INR,0,0.0,0,0.0,2,3,5,5,Low traffic,12947.0,0.0,12947.0,0.0,CreateShippingPlan,0,0.0,0,0,6797.37,1.82,6.21E-4,cubic meter,,0.001242,IN,,6866,,0,2,5,12947.0,21944.06,32916.09,54860.16,54860.16,2,0,0,0,0,0,0,13.97,0,0,0,0,0,0,2026-07-14,2,0,0,
2026-07-16,FBA79931,X002FTW62R,B0FTMMNCK7,,New,12,0,0,12,0,0,0,0,INR,0,0.0,0,0.0,3,7,13,16,Low traffic,15994.0,0.0,15994.0,0.0,NoRestockExcessActionRequired,3,15990.0,48,0,48538.45,1.36,0.001785,cubic meter,,0.021421,IN,,4835,,0,6,9,15994.0,40662.72,94879.68,176201.7,216864.42,9,2,1,0,0,0,0,33.47,0,0,0,0,0,0,2026-07-14,12,0,0,
2026-07-16,FBS79421,X00284BTNV,B0CZ8ZKPJ9,,New,9,0,0,9,0,0,0,0,INR,0,0.0,0,0.0,4,9,19,26,Low traffic,11196.0,0.0,11196.0,0.0,CreateShippingPlan,9,0.0,0,0,86.88,2.36,7.05E-4,cubic meter,,0.006345,IN,,2863,,0,4,4,11196.0,37952.56,85393.26,178920.42,242626.38,9,0,0,0,0,0,0,9.35,0,0,0,0,1,0,2026-07-14,9,0,1,
2026-07-16,FBA80062,X002IPZ9WR,B0GDHZ3899,,New,1,0,0,0,1,0,0,0,INR,0,0.0,0,0.0,,,,,Low traffic,18495.0,0.0,18495.0,0.0,Advertise listing,0,0.0,0,0,549.18,0.0,9.13E-4,cubic meter,,9.13E-4,IN,,,,1,,,18495.0,,,,,0,0,0,1,0,0,0,19.05,0,0,0,0,0,0,2026-07-14,1,0,0,
2026-07-16,FBS79556,X00284EZ91,B0D955YGX7,,New,6,0,0,5,0,0,0,0,INR,0,0.0,0,0.0,2,8,11,18,Low traffic,14697.0,0.0,14697.0,0.0,CreateShippingPlan,0,0.0,0,0,50761.81,6.0,7.78E-4,cubic meter,,0.004668,IN,,11770,,0,3,4,14697.0,24910.16,99640.64,137005.88,224191.44,5,0,0,0,0,0,0,7.35,0,0,0,0,0,0,2026-07-14,6,0,0,
