return-date,order-id,sku,asin,fnsku,product-name,quantity,fulfillment-center-id,detailed-disposition,reason,license-plate-number,customer-comments
2026-08-01T03:15:53+00:00,408-4864174-8312319,FBA79908,B0FTVV1QJY,X002F557HR,"Audio Array Professional Recording Bundle with BT Soundcard - USB Condenser Microphone, Studio Headphones | Cardioid Mic, Noise Reduction & 6 Sound Modes for Streaming Recording & Podcasting - PB-14",1,DEL4,CARRIER_DAMAGED,UNDELIVERABLE_UNKNOWN,LPNDEL4AA2239574,
2026-07-31T11:51:07+00:00,408-4536276-2818759,FBM79783,B0FJS57732,X002DWZE0H,"Audio Array AM-C47 RGB USB Condenser Mic Kit | AI Noise Cancellation, 192kHz/24Bit Studio Quality, Touch Control, Headphone Monitoring | Podcasting, YouTube, Gaming & Streaming | Mac/PC & Mobile",1,DEL4,SELLABLE,UNDELIVERABLE_REFUSED,LPNDEL4AA1555578,
2026-07-31T11:43:13+00:00,407-2387637-1241967,FBA79830,B0FJ8TSQK1,X002CZVYE5,"Audio Array Singing Bundle | Condenser Mic with Boom Arm & Sound Card V8 | Voice Effects, Reverb, Bluetooth | Ideal for Podcasting, Karaoke, Live Streaming, YouTube & Singing - GB-03",1,BOM5,CUSTOMER_DAMAGED,SWITCHEROO,LPNBOM5F5883800,
2026-07-31T09:53:04+00:00,404-6807360-5034705,FBA79105,B0CM6WH4ZT,X001WD2Z5F,"Audio Array AI-12 USB Bluetooth Soundcard | 1Ch Mixer interface | 2 mic inputs, 2 smartphone & PC/Mac outputs | Karaoke Recording, Mobile/PC Streaming, Live Broadcasting | Singing, Recording,Gaming",1,HYD8,SELLABLE,DEFECTIVE,LPNHYD8EO89317,
2026-07-31T09:07:23+00:00,406-4234654-6418716,FBA76864,B0BPLZ5CGV,X001OND4NP,Audio Array AI-04 HD 2x2 Gen 3 Audio Interface | Premium Mic Pre-Amps | 48V Phantom Power | 24bit/192kHz Hi-Fi Recording | XLR/MIC/LINE inputs | Plug & Play-No Drivers | 2 in 3 out | Metal Body | Red,1,DEL5,SELLABLE,DEFECTIVE,LPNDEL5S14357166,
2026-07-31T08:54:27+00:00,404-6640981-3134763,FBA79105,B0CM6WH4ZT,X001WD2Z5F,"Audio Array AI-12 USB Bluetooth Soundcard | 1Ch Mixer interface | 2 mic inputs, 2 smartphone & PC/Mac outputs | Karaoke Recording, Mobile/PC Streaming, Live Broadcasting | Singing, Recording,Gaming",1,MAA4,SELLABLE,DEFECTIVE,LPNMAA4Z2533196,
2026-07-31T04:35:51+00:00,408-4842697-2653962,FBA79972,B0GCP1J2HC,X002H9QFKT,Audio Array Sound Mixer | Audio Mixer 8 Channel Hybrid USB Mixing Console with BT 4 XLR Mic Inputs | 192kHz/24-Bit OTG Recording | 99 DSP Effects | Phantom Power | Hi-Z Support & USB-C Connectivity,1,HYD8,SELLABLE,QUALITY_UNACCEPTABLE,LPNHYD8EU39923,Just not like
2026-07-31T03:11:15+00:00,171-0480350-8098700,FBA75691,B0B4G5JG4P,X001L4SEBT,"Audio Array AM-W14 UHF Dual Wireless Premium Metal Microphone | 2X XLR Outs & 1/4"" Mix Out | Range up to 200ft/60m | Karaoke Singing, Wedding, DJ, Church | PA System, Amplifier, Mixer, Party Box",1,CCX1,SELLABLE,UNDELIVERABLE_UNKNOWN,LPNCCX1B4431892,
2026-07-30T09:38:57+00:00,171-6920396-1041143,FBA80142,B0H3LHF2WW,X002LUVNPB,"Audio Array USB Plug & Play Conference Mic for Mac OS & Windows | Conference, Recording, Skype, Online Class with Range Upto 5M | One Touch Mute Button & Light Indicator (NOT A Speaker)| AM-C5 White",1,HYD8,SELLABLE,QUALITY_UNACCEPTABLE,LPNHYD8ER93920,Bad quality; mic distance is very short
2026-07-30T09:18:35+00:00,171-5940385-1181101,FBA79841,B0FQBTRM28,X002EDSM95,"Audio Array AH-60-BL, 60Ω, Professional Monitoring Headphones | 53mm Drivers | 10Hz-30KHz | 105dB SPL | Closed-Back, DJ & Studio | 3m Cable with 3.5mm & 6.3mm Plugs (Blue)",1,HYD8,CARRIER_DAMAGED,UNDELIVERABLE_REFUSED,LPNHYD8EO70459,
2026-07-30T06:56:04+00:00,402-4561712-7269938,FBA76720,B0BLKCWZQD,X001NYWM3D,Audio Array AM-C17 Dual Head Lapel Microphone | 1M x2 Long & Strong Cables | 3.5mm TRRS & 3.5mm TRRS to TRS Adapter | Omnidirectional Pickup | Mic Covers & Leather Bag Included | 1 Year Warranty,1,BLR8,CARRIER_DAMAGED,UNDELIVERABLE_REFUSED,LPNBLR8Z5984513,
2026-07-30T06:42:26+00:00,404-7555653-5496300,FBA79996,B0GW8Z556N,X002K02U59,"Audio Array Dynamic XLR to TRS Microphone | 24Bit/48kHz | Cardioid Pickup | Metal Body & 14mm Diaphragm 3M Cable | for Podcast, Streaming, Vocal Recording & Studio Use | AM-C49",1,DEL4,SELLABLE,DEFECTIVE,LPNDEL4AA3242638,
2026-07-30T06:34:32+00:00,406-5774101-9349139,FBA80085,B0GXPBHDRF,X002KGF7E9,Audio Array 6-Channel Hybrid USB Summing Mixer | 4 Analog & 2 Digital Channels |192kHz/24Bit OTG Recording| 99 DSP FX| BT Connectivity | 2XLR Mic Inputs |Phantom Power| Hi-Z & Headphone Monitoring |M6,1,CCX1,SELLABLE,DAMAGED_BY_CARRIER,LPNCCX1B2336494,
2026-07-30T06:30:42+00:00,402-5877168-6346744,FBA75691,B0B4G5JG4P,X001L4SEBT,"Audio Array AM-W14 UHF Dual Wireless Premium Metal Microphone | 2X XLR Outs & 1/4"" Mix Out | Range up to 200ft/60m | Karaoke Singing, Wedding, DJ, Church | PA System, Amplifier, Mixer, Party Box",1,CJB1,SELLABLE,UNDELIVERABLE_REFUSED,LPNCJB1X467604,
2026-07-30T05:36:45+00:00,404-2408775-8954761,FBA79105,B0CM6WH4ZT,X001WD2Z5F,"Audio Array AI-12 USB Bluetooth Soundcard | 1Ch Mixer interface | 2 mic inputs, 2 smartphone & PC/Mac outputs | Karaoke Recording, Mobile/PC Streaming, Live Broadcasting | Singing, Recording,Gaming",1,CCX1,SELLABLE,UNDELIVERABLE_REFUSED,LPNCCX1B5566070,
2026-07-30T05:14:20+00:00,403-5450348-3677907,FBA79961,B0G53H49BS,X002GRD0C3,"Audio Array Sound Mixer 2026 Edition Audio Mixer 4 Channel Hybrid USB Control | 4 Analog 2 Digital | 2XLR Mic Inputs,TRS Stereo In | 48V | Hi-Z,2 Band EQ, Monitoring, TRS Out, USB-C Power | AI-13",1,CCX1,SELLABLE,QUALITY_UNACCEPTABLE,LPNCCX1B2361488,Too much noise
2026-07-30T04:19:58+00:00,406-8867327-4143520,FBA79449,B0DFMNGFTD,X00247NVN3,"Audio Array AM-W36 UHF Dual Wireless Premium Metal Microphone with Charging | 2X XLR Outs & 1/4"" Mix Out | 328ft/100M Range | Karaoke Singing, Wedding, Events | PA System, Amplifier, Mixer, Party Box",1,HYD8,SELLABLE,QUALITY_UNACCEPTABLE,LPNHYD8EU39420,
2026-07-29T19:23:06+00:00,408-1591804-7083517,FBA79972,B0GCP1J2HC,X002H9QFKT,Audio Array Sound Mixer | Audio Mixer 8 Channel Hybrid USB Mixing Console with BT 4 XLR Mic Inputs | 192kHz/24-Bit OTG Recording | 99 DSP Effects | Phantom Power | Hi-Z Support & USB-C Connectivity,1,CCX1,SELLABLE,UNDELIVERABLE_REFUSED,LPNCCX1B4428811,
2026-07-29T12:36:06+00:00,403-0340736-9431536,FBA79825,B0FJ2DT13L,X002CXZBZ5,"Audio Array All in 1 Pro Bundle | Condenser Mic with USB Bluetooth Soundcard Mixer | Complete Setup for Streaming, Podcasting, Gaming, Singing & Home Studio Recording| GB-02",1,HYD8,CUSTOMER_DAMAGED,NO_REASON_GIVEN,LPNHYD8EU36180,
2026-07-29T10:08:15+00:00,402-0044139-9678718,FBA80142,B0H3LHF2WW,X002LUVNPB,"Audio Array USB Plug & Play Conference Mic for Mac OS & Windows | Conference, Recording, Skype, Online Class with Range Upto 5M | One Touch Mute Button & Light Indicator (NOT A Speaker)| AM-C5 White",1,CCX1,SELLABLE,FOUND_BETTER_PRICE,LPNCCX1B2343554,better price available from other sellers
2026-07-29T08:28:49+00:00,406-4308172-2927528,FBA79842,B0G4DNF8RZ,X002GM4N1Z,"Audio Array AM-C48 XLR/USB Professional Full RGB Dynamic Microphone Kit | AI Noise Cancellation | Touch & Knob Controls | Built-in Headphone Monitoring | Podcasting, Recording, Streaming, YouTube",1,MAA4,SELLABLE,UNDELIVERABLE_REFUSED,LPNMAA4Z2334999,
2026-07-29T05:06:11+00:00,408-5833522-1012353,FBA79968,B0G53M9258,X002GRCZOH,"Audio Array 8-Channel Hybrid USB Audio Mixer with 8 Analog + 2 Digital Inputs, 48kHz/16-Bit Processing, +50dB Gain, Combo XLR, Phantom Power, Hi-Z, 3-Band EQ, 99 DSP FX, Balanced XLR Output | AI-14",1,MAA4,CUSTOMER_DAMAGED,DEFECTIVE,LPNMAA4Z2231882,
2026-07-29T04:08:29+00:00,171-7211476-8433105,FBA79972,B0GCP1J2HC,X002H9QFKT,Audio Array Sound Mixer | Audio Mixer 8 Channel Hybrid USB Mixing Console with BT 4 XLR Mic Inputs | 192kHz/24-Bit OTG Recording | 99 DSP Effects | Phantom Power | Hi-Z Support & USB-C Connectivity,1,HYD8,CARRIER_DAMAGED,UNDELIVERABLE_REFUSED,LPNHYD8EO74396,
2026-07-29T03:50:20+00:00,402-4090771-7089144,FBA79813,B0FG88HVQ8,X002FSN1LN,"Audio Array Professional DJ Headphones| Studio Headphone| 50mm Drivers| 32Ω | 20Hz-20kHz | Dual Detachable Cables with Mic & Controls| Buddy Share Technology | 105 dB SPL | Monitoring,Mixing| AH-50",1,DEL4,SELLABLE,UNDELIVERABLE_UNKNOWN,LPNDEL4AA1554535,
2026-07-29T03:43:25+00:00,404-7221853-4081115,FBA79105,B0CM6WH4ZT,X001WD2Z5F,"Audio Array AI-12 USB Bluetooth Soundcard | 1Ch Mixer interface | 2 mic inputs, 2 smartphone & PC/Mac outputs | Karaoke Recording, Mobile/PC Streaming, Live Broadcasting | Singing, Recording,Gaming",1,BOM5,SELLABLE,DEFECTIVE,LPNBOM5F5327178,
2026-07-28T11:32:39+00:00,402-6651615-9985934,FBA79960,B0G3B152FR,X002GFV5XL,Audio Array Wireless Voice Amplifier 2026 Edition | Bluetooth 5.3 |10W Speaker | Teachers Mic with Speaker Wireless |10 Hrs Battery Life |1 Click Monitoring | TWS Connectivity AM-W47 Wireless,1,BOM7,SELLABLE,UNDELIVERABLE_REFUSED,LPNBOM7D20248417,
2026-07-28T08:18:02+00:00,408-6705106-9401934,FBA79996,B0GW8Z556N,X002K02U59,"Audio Array Dynamic XLR to TRS Microphone | 24Bit/48kHz | Cardioid Pickup | Metal Body & 14mm Diaphragm 3M Cable | for Podcast, Streaming, Vocal Recording & Studio Use | AM-C49",1,DEL5,CUSTOMER_DAMAGED,DEFECTIVE,LPNDEL5S14615265,
2026-07-28T08:07:56+00:00,402-5339898-8777969,FBA80106,B0H2FCK54H,X002LI98CX,"Audio Array 3.5"" Studio Monitor Bundle with 50W Powered Speakers & Adjustable Metal Stands|Bluetooth,TRS, AUX, RCA Inputs|5KG Capacity|Height, Tilt & Rotation Adjustable|Smart Cable Management | UB-06",1,DEL4,CARRIER_DAMAGED,UNDELIVERABLE_REFUSED,LPNDEL4AA3223508,
2026-07-28T05:12:07+00:00,404-0405030-2648328,FBA78960,B0CBCB82MT,X001TCICGF,"Audio Array XLR to 3.5mm Condenser Microphone Kit | Tripod, 2M Cable & Foam Filter | Compatible with Audio Interface, Mixer | Recording, Podcast, Streaming, Home Studio (Black) |AM-C39",1,CCX1,CUSTOMER_DAMAGED,DEFECTIVE,LPNCCX1B5554218,
2026-07-28T05:11:26+00:00,406-6814926-6877953,FBA80104,B0GXY7YJWP,X002KIP46D,"Audio Array Professional Studio Bundle with 24-Bit/192kHz Interface, 3.5"" Studio Monitors, Condenser Mic & Speaker Stands|for Music Production, Podcasting, Dubbing, Recording & Audio Mixing| UB-04",1,MAA4,CUSTOMER_DAMAGED,UNWANTED_ITEM,LPNMAA4Z2705936,
2026-07-28T05:05:21+00:00,171-8146815-2892302,FBA80084,B0GXP97CZG,X002KGCK5N,Audio Array 4-Channel 3-Out Hybrid USB Summing Audio Mixer | 4 Analog & 2 Digital Channels | 99 DSP FX | 192kHz/24-Bit OTG | Balanced XLR Output | Phantom Power & Hi-Z | BE-4,1,DEL4,SELLABLE,UNDELIVERABLE_REFUSED,LPNDEL4AA3453396,
2026-07-27T11:47:07+00:00,403-0191400-6205921,FBA75673,B0B4DPX2J2,X001L46QAP,"Audio Array USB Condenser Microphone Kit | for Podcasting, Online Meeting, Gaming, Singing & Live Streaming | Boom Arm, Pop Filter, Mic Cover, Spider Shock Mount, Tripod & 2.5M USB Cable | AM-C1",1,PNQ3,CARRIER_DAMAGED,UNDELIVERABLE_UNKNOWN,LPNPNQ3A4884358,
2026-07-27T09:18:36+00:00,404-9360749-8990755,FBA79838,B0FQBX8J17,X002EDT4SX,"Audio Array AH-40-SL Wired Over-Ear Headphones | 40mm Drivers, 15-22KHz, 32Ω, 105dB SPL | Studio Monitoring, Gaming, Live Music Headset with 3.5mm + 6.3mm Plug Compatibility",1,DEL4,SELLABLE,UNDELIVERABLE_REFUSED,LPNDEL4AA3477547,
2026-07-27T08:50:38+00:00,404-3004021-5562730,FBM79783,B0FJS57732,X002DWZE0H,"Audio Array AM-C47 RGB USB Condenser Mic Kit | AI Noise Cancellation, 192kHz/24Bit Studio Quality, Touch Control, Headphone Monitoring | Podcasting, YouTube, Gaming & Streaming | Mac/PC & Mobile",1,CCX1,SELLABLE,UNDELIVERABLE_REFUSED,LPNCCX1B5492291,
2026-07-27T08:29:22+00:00,406-6990365-2530730,FBA79103,B0CM6NTWBP,X001WCVVQP,"Audio Array Sound Card Audio Interface | AI-10 Audio Mixer with Bluetooth, 3 Condenser Mic Inputs, +48V Phantom Power, Voice Modes, Denoise & Built-In FX for Gaming, Karaoke & Live Streaming",1,CCX1,SELLABLE,DEFECTIVE,LPNCCX1B2362701,
2026-07-27T05:53:09+00:00,408-3023610-0506716,FBA80142,B0H3LHF2WW,X002LUVNPB,"Audio Array USB Plug & Play Conference Mic for Mac OS & Windows | Conference, Recording, Skype, Online Class with Range Upto 5M | One Touch Mute Button & Light Indicator (NOT A Speaker)| AM-C5 White",1,BOM5,SELLABLE,ORDERED_WRONG_ITEM,LPNBOM5F5376887,I got item without mic but my requirement  is mic and speaker both...but item was wrongly ordered so need to return same
2026-07-27T03:56:59+00:00,404-6267948-0752338,FBA80142,B0H3LHF2WW,X002LUVNPB,"Audio Array USB Plug & Play Conference Mic for Mac OS & Windows | Conference, Recording, Skype, Online Class with Range Upto 5M | One Touch Mute Button & Light Indicator (NOT A Speaker)| AM-C5 White",1,BOM5,SELLABLE,NOT_COMPATIBLE,LPNBOM5F5301124,There is no speaker that why I want to return
2026-07-26T11:39:38+00:00,171-5704219-2339545,FBA79105,B0CM6WH4ZT,X001WD2Z5F,"Audio Array AI-12 USB Bluetooth Soundcard | 1Ch Mixer interface | 2 mic inputs, 2 smartphone & PC/Mac outputs | Karaoke Recording, Mobile/PC Streaming, Live Broadcasting | Singing, Recording,Gaming",1,BOM5,SELLABLE,DEFECTIVE,LPNBOM5F5935990,
2026-07-26T09:11:15+00:00,408-2331229-4456330,FBA79105,B0CM6WH4ZT,X001WD2Z5F,"Audio Array AI-12 USB Bluetooth Soundcard | 1Ch Mixer interface | 2 mic inputs, 2 smartphone & PC/Mac outputs | Karaoke Recording, Mobile/PC Streaming, Live Broadcasting | Singing, Recording,Gaming",1,CCX1,SELLABLE,UNDELIVERABLE_REFUSED,LPNCCX1B4969312,
2026-07-26T08:44:00+00:00,408-0653882-9472367,FBA79708,B0FFB6YJM1,X002C9GTWD,"Audio Array Sound Bar for Smart TV | Bluetooth Speaker Wireless 25W, Gaming RGB Lights, AUX, USB, FM & TWS I Fast Charge Battery, Multiport Connectivity, for Mobile, PC, Laptops, Tablets | SB-01",1,MAA4,DEFECTIVE,QUALITY_UNACCEPTABLE,LPNMAA4Z2195953,Sound quality not satisfactory
2026-07-26T05:46:04+00:00,402-3678999-0601101,FBA79005,B0CKHVHVQ1,X001VS0O1X,"Audio Array Wireless Conference Microphone with Speaker | Bluetooth, USB & 4 Mics | 360° Pickup Upto 4M | Noise Reduction & Enhanced Voice | Portable Speakerphone for Video Calls/Zoom Meeting | AM-W45",1,CCX1,SELLABLE,UNDELIVERABLE_REFUSED,LPNCCX1B2324848,
2026-07-26T04:34:48+00:00,171-5450755-7279551,FBA79105,B0CM6WH4ZT,X001WD2Z5F,"Audio Array AI-12 USB Bluetooth Soundcard | 1Ch Mixer interface | 2 mic inputs, 2 smartphone & PC/Mac outputs | Karaoke Recording, Mobile/PC Streaming, Live Broadcasting | Singing, Recording,Gaming",1,PNQ3,SELLABLE,DEFECTIVE,LPNPNQ3A5210743,
2026-07-26T04:08:12+00:00,406-4233562-1918719,FBA79708,B0FFB6YJM1,X002C9GTWD,"Audio Array Sound bar | Bluetooth Speaker Wireless 25W, Gaming RGB Lights, AUX, USB, FM & TWS I Fast Charge Battery, Multiport Connectivity, for TV, Mobile, PC, Laptops, Tablets | Blue | SB-01",1,CCX1,CUSTOMER_DAMAGED,QUALITY_UNACCEPTABLE,LPNCCX1B2364874,
2026-07-25T09:56:28+00:00,402-5853519-4171541,FBA79974,B0GD8JSPB1,X002HC9D9L,"Audio Array 60W Bluetooth Bookshelf Speaker Pair | 1.5"" Silk Dome Tweeter, 4"" Sub Woofer | Music & Monitor Mode | Aux, HDMI, USB-C, TRS & RCA Connectivity (AMS1)",1,BLR8,SELLABLE,QUALITY_UNACCEPTABLE,LPNBLR8Z4560188,
2026-07-25T08:27:02+00:00,404-3850455-9976356,FBA75677,B0B4KC7VBM,X001L5ZA2J,"Audio Array USB Plug & Play Conference Mic for Mac OS & Windows | Conference, Recording, Skype, Online Class with Range Upto 5M | One Touch Mute Button & Light Indicator (NOT A Speaker) | AM-C5",1,BLR8,CUSTOMER_DAMAGED,DEFECTIVE,LPNBLR8Z5381468,
