return-date,order-id,sku,asin,fnsku,product-name,quantity,fulfillment-center-id,detailed-disposition,reason,license-plate-number,customer-comments
2026-08-09T05:08:29+00:00,171-9852705-5929916,FBA78981,B0CDPP45BM,X001U1K281,"NexLev Steam Cleaner For Home | For Complete Home Kitchen Bathroom Car Sofa & Office | Steam Cleaner With 9 Accessories | 300 ML | Window Pane, Sink, Chimney Grease, Water Stain Cleaner | 1000W",1,BLR7,SELLABLE,UNDELIVERABLE_REFUSED,LPNBLR7Y7228803,
2026-08-09T04:20:53+00:00,402-9587248-0861932,FBA79567,B0DNJS23HS,X0026FJYJD,Nexlev 10-in-1 Foldable Steam Cleaner & Mop| 2 Steam Modes| All Surfaces & Upholstery| 12 Accessories| 350ml Tank| 5M Cord|Swivel Design|Powerful Chemical Free Disinfection|Light-Weight|SC-04,1,BOM5,SELLABLE,SWITCHEROO,LPNBOM5F5785593,
2026-08-09T04:19:58+00:00,406-8605245-8120344,FBA78981,B0CDPP45BM,X001U1K281,"NexLev Steam Cleaner For Home | For Complete Home Kitchen Bathroom Car Sofa & Office | Steam Cleaner With 9 Accessories | 300 ML | Window Pane, Sink, Chimney Grease, Water Stain Cleaner | 1000W",1,CCX1,SELLABLE,UNDELIVERABLE_REFUSED,LPNCCX1B4458125,
2026-08-09T04:10:21+00:00,406-6611152-5659546,FBA79263,B0CYSLCRQS,X001ZOLVQP,"nexlev Sofa Cleaning Machine | 4-Step Vacuum Cleaner for Sofa and Bed, Allergens & Pet Hair with Double Beat, UV Light, Dehumidification & HEPA Filtration",1,AMD2,SELLABLE,DAMAGED_BY_CARRIER,LPNAMD2M4450130,Product was used and damaged. Even the packing is not good.
2026-08-09T04:05:49+00:00,404-4352470-2459504,FBA78981,B0CDPP45BM,X001U1K281,"NexLev Steam Cleaner For Home | For Complete Home Kitchen Bathroom Car Sofa & Office | Steam Cleaner With 9 Accessories | 300 ML | Window Pane, Sink, Chimney Grease, Water Stain Cleaner | 1000W",1,MAA4,SELLABLE,DEFECTIVE,LPNMAA4Z2167254,
2026-08-09T03:46:45+00:00,406-0214928-2758746,FBA79993,B0GN8WW6BC,X002IKJF09,"NexLev Stand Mixer | 2000W Copper Motor Dough Maker Machine with Digital Timer, 8L Stainless Steel Bowl, 6 Speed + Pulse Control, Metal Gears, Planetary Rotation, Teflon Coated, ST-03",1,BOM5,SELLABLE,NEVER_ARRIVED,LPNBOM5F5764020,
2026-08-09T03:38:22+00:00,402-0960123-9949123,FBA79349,B0D9KDQCCM,X00230EXN3,Nexlev Portable Sewing Machine| 2 Speed Settings| Cordless| Battery operated| USB Type C cord for Plug-in| Quick Fix DIY|Portable & Compact| for all Fabrics| 1 Year Warranty| White,1,BLR8,CUSTOMER_DAMAGED,QUALITY_UNACCEPTABLE,LPNBLR8Z5353273,
2026-08-08T18:17:56+00:00,407-0622874-8323539,FBA79991,B0GN85NZQN,X002IK70C9,"NexLev Dehumidifier for Room Moisture | 1000ML Tank | Covers Up to 200 Sq. Ft. | Removes Dampness, Mold & Musty Odor | Ideal for Bedroom, Wardrobe, Bathroom & Office | Auto Shut-Off | DH-01",1,AMD2,SELLABLE,SWITCHEROO,LPNAMD2M4454563,
2026-08-08T16:24:42+00:00,405-7127349-6715541,FBA79567,B0DNJS23HS,X0026FJYJD,Nexlev 10-in-1 Foldable Steam Cleaner & Mop| 2 Steam Modes| All Surfaces & Upholstery| 12 Accessories| 350ml Tank| 5M Cord|Swivel Design|Powerful Chemical Free Disinfection|Light-Weight|SC-04,1,CCX1,CARRIER_DAMAGED,UNDELIVERABLE_REFUSED,LPNCCX1B4481092,
2026-08-08T13:40:31+00:00,402-2775902-9998711,FBA79971,B0GGHZWMVW,X002HNG2AD,"Nexlev Multipurpose Spot Cleaner Machine, Carpet Upholstery Deep Cleaner | Hot Water and Steam function | Powerful Suction | 1700 Watt | Stain Remover |13 Accessories for Home & Car",1,BLR8,CUSTOMER_DAMAGED,DEFECTIVE,LPNBLR8Z5654313,
