return-date,order-id,sku,asin,fnsku,product-name,quantity,fulfillment-center-id,detailed-disposition,reason,license-plate-number,customer-comments
2026-08-29T05:10:26+00:00,404-6872117-1907513,FBA79574,B0B4WTHLX5,X0026KD6XX,"TONOR RGB USB Microphone, Cardioid Condenser Computer PC Mic with Tripod Stand, Pop Filter, Shock Mount for Gaming, Streaming, Podcasting, YouTube, Twitch, Compatible with Laptop Desktop,TC30 with RGB",1,BLR5,SELLABLE,UNDELIVERABLE_REFUSED,LPNBLR5O6824454,
2026-08-29T05:03:32+00:00,403-8897828-0588336,FBA77113,B01ISNU3X4,X001OT9X4X,"TONOR Dynamic Karaoke Microphone for Singing with 4.5m XLR Cable, Metal Handheld Mic Compatible with Karaoke Machine/Speaker/Amp/Mixer for Karaoke Singing, Speech, Wedding, Stage and Outdoor Activity",1,BOM5,SELLABLE,UNDELIVERABLE_REFUSED,LPNBOM5F6028126,
2026-08-28T12:12:29+00:00,403-2397056-1225164,FBA79267,B0D2LD6BYJ,X0028X1R1V,"NexLev 6-in-1 trimmer | Sensitive Bikini Trimmer for Women | Skin Safe with Rounded Tips & Foil Shaver| Hair Removal for Intimate Areas, Face, Arms, Legs & Body | 90 min Runtime |2H Quick Charge |T-02",1,BOM5,SELLABLE,DEFECTIVE,LPNBOM5F6382586,
2026-08-28T05:15:39+00:00,405-0564033-6424312,FBA79493,B0DQCWRG3H,X0028X1G99,"NexLev Hot Air Brush For Hair | V-03 3 in 1 Volumizer Hair Blow Dry Brush with 1.5 Inch Barrel, Ceramic Tourmaline Coating, 1200W, Dual Bristle for Tangle Free Salon Styling",1,BLR5,CUSTOMER_DAMAGED,SWITCHEROO,LPNBLR5O6151431,
2026-08-27T13:54:20+00:00,407-7169095-2560357,FBA78354,B0BZPGXMLM,X001S0ZPU9,"MAONO Gaming Microphone for PC, USB Programmable Condenser Mic with RGB Lights, Mute, Gain, Monitoring, Volume Control for Streaming, Podcast, Twitch, YouTube, Discord, Computer, Mac, DM30 Black",1,BLR5,CUSTOMER_DAMAGED,DEFECTIVE,LPNBLR5O2393815,
2026-08-27T11:56:51+00:00,406-6456065-6233953,FBA79615,B0DP2Z5DQ9,X0028XC7C9,"White Mulberry Height Adjustable Monitor Stand for 17-32 Inch Monitors, Single Monitor Desk Mount, 8 kg Load Capacity, 10-Step Height Adjustment, VESA 75x75 & 100x100, Black",1,DEL2,SELLABLE,UNDELIVERABLE_REFUSED,LPNDEL2R91314052,
2026-08-27T11:19:38+00:00,403-8438552-7618708,FBA77101,B07WLWN2ZT,X001OTC2K5,"TONOR USB Gaming Microphone, Computer Condenser PC Mic with Tripod Stand & Pop for Streaming, Podcasting, Vocal Recording, Compatible with iMac PC Laptop Desktop Windows Computer, TC-777",1,PNQ3,CUSTOMER_DAMAGED,UNWANTED_ITEM,LPNPNQ3A4922625,
2026-08-27T09:48:51+00:00,406-4018175-8598761,FBA79452,B0DCGHVN81,X0028X4EST,"nexlev Stick Vacuum Cleaner For House | Vacuum Cleaners 17500PA Suction | 2 in 1 Handheld & Stick Design | Washable HEPA Filter | Bagless Dry Vacuum Cleaner for Home, Sofa, Bed & Office | VC-01",1,BLR5,CUSTOMER_DAMAGED,DEFECTIVE,LPNBLR5O4726245,
2026-08-27T09:28:04+00:00,405-5941296-9303560,FBA79567,B0DNJS23HS,X0028X4EUR,Nexlev 10-in-1 Foldable Steam Cleaner & Mop| 2 Steam Modes| All Surfaces & Upholstery| 12 Accessories| 350ml Tank| 5M Cord|Swivel Design|Powerful Chemical Free Disinfection|Light-Weight|SC-04,1,BLR5,SELLABLE,DEFECTIVE,LPNBLR5O2398826,
2026-08-27T07:51:47+00:00,405-8780167-4440328,FBK79271,B0DQ8W1RBV,X0028X1WKH,Nexlev Ionic Volumizer|3 In 1 Hot Air Brush To Straight Dry & Volumize|1200 Watts|Reduce Frizz|Ceramic Tourmaline Coated Large Barrel|Salon Like Soft Curl At Home|3 Speed & 2 Heat Settings|V-01 RG,1,DEL2,CARRIER_DAMAGED,UNDELIVERABLE_REFUSED,LPNDEL2R86984620,
