return-date,order-id,sku,asin,fnsku,product-name,quantity,fulfillment-center-id,detailed-disposition,reason,license-plate-number,customer-comments
2026-08-13T04:48:10+00:00,404-6324309-7981102,FBA79167,B0CPFS24ML,X001Y5UYX1,"White Mulberry Gaming Desk, Computer Desk with Carbon Fiber Surface, Z Shaped Gaming Table, Computer Table, Workstation, Home Office Desk with Cup Holder and Headphone Holder | (110 * 60 * 75 CM)",1,DEL4,SELLABLE,QUALITY_UNACCEPTABLE,LPNDEL4AA4102160,
2026-08-11T11:51:11+00:00,408-4243093-0310705,FBA76415,B0BFWD6SNF,X001MZYX7L,"White Mulberry L Shaped Computer Table | Spacious Study Table for Home with Monitor Raising Shelf, Engineered Wood Top & Steel Legs for Home, Office, Gaming & Study, Carbon Fiber (130+130)*45 * 77cm",1,BOX8,SELLABLE,UNDELIVERABLE_REFUSED,LPNBOX805075,
2026-08-11T10:49:24+00:00,402-1757790-4813166,FBA76417,B0BFVMDJ2K,X001MZZQ8V,White Mulberry L Shape Table | Gaming Table with Monitor Raising Shelf | L-Shape Corner Work Table for Home Office | Engineered Wood & Sturdy Steel Legs | DIY Assembly | L(130+130)*45 * 77cm | White,1,BLX1,SELLABLE,MISSING_PARTS,LPNBLX1C147938,
2026-08-11T04:49:13+00:00,404-7030549-6170726,FBA79167,B0CPFS24ML,X001Y5UYX1,"White Mulberry Gaming Desk, Computer Desk with Carbon Fiber Surface, Z Shaped Gaming Table, Computer Table, Workstation, Home Office Desk with Cup Holder and Headphone Holder | (110 * 60 * 75 CM)",1,DEL4,CARRIER_DAMAGED,UNDELIVERABLE_UNKNOWN,LPNDEL4AA3927577,
2026-08-11T03:26:32+00:00,407-5653447-6833150,FBA79167,B0CPFS24ML,X001Y5UYX1,"White Mulberry Gaming Desk, Computer Desk with Carbon Fiber Surface, Z Shaped Gaming Table, Computer Table, Workstation, Home Office Desk with Cup Holder and Headphone Holder | (110 * 60 * 75 CM)",1,BOM5,SELLABLE,UNDELIVERABLE_REFUSED,LPNBOM5F5783823,
2026-08-10T10:48:28+00:00,402-0176535-5909903,FBA76418,B0BFVNS8HS,X001N01O8V,"White Mulberry L Shaped Computer Table | Spacious L Shape Study Table For Home with Monitor Raising Shelf, Engineered Wood Top & Steel Legs for Home, Office, Gaming & Study, Brown, (130+130)*45 * 77cm",1,SHTI,CARRIER_DAMAGED,DEFECTIVE,LPNSHTI00022464,
2026-08-10T05:23:57+00:00,402-7622598-2821105,FBA76417,B0BFVMDJ2K,X001MZZQ8V,White Mulberry L Shape Table | Gaming Table with Monitor Raising Shelf | L-Shape Corner Work Table for Home Office | Engineered Wood & Sturdy Steel Legs | DIY Assembly | L(130+130)*45 * 77cm | White,1,LMAA,CARRIER_DAMAGED,UNDELIVERABLE_REFUSED,LPNLMAA0038855,
2026-08-10T03:47:35+00:00,403-2119465-2573122,FBA79167,B0CPFS24ML,X001Y5UYX1,"White Mulberry Gaming Desk, Computer Desk with Carbon Fiber Surface, Z Shaped Gaming Table, Computer Table, Workstation, Home Office Desk with Cup Holder and Headphone Holder | (110 * 60 * 75 CM)",1,BLR8,SELLABLE,NEVER_ARRIVED,LPNBLR8Z5626839,
2026-08-08T12:52:24+00:00,403-2838541-3676319,FBA76417,B0BFVMDJ2K,X001MZZQ8V,White Mulberry L Shape Table | Gaming Table with Monitor Raising Shelf | L-Shape Corner Work Table for Home Office | Engineered Wood & Sturdy Steel Legs | DIY Assembly | L(130+130)*45 * 77cm | White,1,BOX8,CARRIER_DAMAGED,UNDELIVERABLE_REFUSED,LPNBOX803289,
2026-08-08T10:18:58+00:00,405-7850971-2276314,FBA76417,B0BFVMDJ2K,X001MZZQ8V,White Mulberry L Shape Table | Gaming Table with Monitor Raising Shelf | L-Shape Corner Work Table for Home Office | Engineered Wood & Sturdy Steel Legs | DIY Assembly | L(130+130)*45 * 77cm | White,1,BLX1,CUSTOMER_DAMAGED,SWITCHEROO,LPNBLX1C147177,
2026-08-07T09:34:30+00:00,404-3811269-4362753,FBA76416,B0BFW59TRG,X001N02VPV,"White Mulberry L-Shape Corner Desk | Monitor Raising Shelf | Made of P2 Grade Melamine Particle Board & Sturdy Steel Leg | Suitable for Office, Home, Gaming, Streaming | Black |L(130+130)*B45*H77cm",1,BOX8,CUSTOMER_DAMAGED,DEFECTIVE,LPNBOX803995,
2026-08-07T08:25:49+00:00,402-6667473-0837146,FBA76417,B0BFVMDJ2K,X001MZZQ8V,White Mulberry L Shape Table | Gaming Table with Monitor Raising Shelf | L-Shape Corner Work Table for Home Office | Engineered Wood & Sturdy Steel Legs | DIY Assembly | L(130+130)*45 * 77cm | White,1,HDX8,CUSTOMER_DAMAGED,DEFECTIVE,LPNSDEGA030355,
2026-08-07T07:00:10+00:00,402-2911452-8384342,FBA79167,B0CPFS24ML,X001Y5UYX1,"White Mulberry Gaming Desk, Computer Desk with Carbon Fiber Surface, Z Shaped Gaming Table, Computer Table, Workstation, Home Office Desk with Cup Holder and Headphone Holder | (110 * 60 * 75 CM)",1,BLR8,SELLABLE,UNDELIVERABLE_UNKNOWN,LPNBLR8Z5603551,
2026-08-07T06:36:03+00:00,404-2047067-9361955,FBA79167,B0CPFS24ML,X001Y5UYX1,"White Mulberry Gaming Desk, Computer Desk with Carbon Fiber Surface, Z Shaped Gaming Table, Computer Table, Workstation, Home Office Desk with Cup Holder and Headphone Holder | (110 * 60 * 75 CM)",1,BLR8,SELLABLE,UNDELIVERABLE_REFUSED,LPNBLR8Z5603538,
2026-08-06T11:02:35+00:00,403-3721138-4471529,FBA76417,B0BFVMDJ2K,X001MZZQ8V,White Mulberry L Shape Table | Gaming Table with Monitor Raising Shelf | L-Shape Corner Work Table for Home Office | Engineered Wood & Sturdy Steel Legs | DIY Assembly | L(130+130)*45 * 77cm | White,1,LMAA,SELLABLE,UNDELIVERABLE_REFUSED,LPNLMAA0038212,
2026-08-06T08:24:02+00:00,405-5419611-6593119,FBA79167,B0CPFS24ML,X001Y5UYX1,"White Mulberry Gaming Desk, Computer Desk with Carbon Fiber Surface, Z Shaped Gaming Table, Computer Table, Workstation, Home Office Desk with Cup Holder and Headphone Holder | (110 * 60 * 75 CM)",1,BOM5,SELLABLE,UNDELIVERABLE_REFUSED,LPNBOM5F5392676,
2026-08-05T16:04:54+00:00,406-5202996-6653931,FBA76417,B0BFVMDJ2K,X001MZZQ8V,White Mulberry L Shape Table | Gaming Table with Monitor Raising Shelf | L-Shape Corner Work Table for Home Office | Engineered Wood & Sturdy Steel Legs | DIY Assembly | L(130+130)*45 * 77cm | White,1,HDX8,CUSTOMER_DAMAGED,QUALITY_UNACCEPTABLE,LPNSDEGA030423,
2026-08-05T11:34:34+00:00,404-4345027-5589908,FBA79167,B0CPFS24ML,X001Y5UYX1,"White Mulberry Gaming Desk, Computer Desk with Carbon Fiber Surface, Z Shaped Gaming Table, Computer Table, Workstation, Home Office Desk with Cup Holder and Headphone Holder | (110 * 60 * 75 CM)",1,DEL4,SELLABLE,UNDELIVERABLE_REFUSED,LPNDEL4AA3506842,
2026-08-05T04:09:18+00:00,171-5613988-4743569,FBA76416,B0BFW59TRG,X001N02VPV,"White Mulberry L-Shape Corner Desk | Monitor Raising Shelf | Made of P2 Grade Melamine Particle Board & Sturdy Steel Leg | Suitable for Office, Home, Gaming, Streaming | Black |L(130+130)*B45*H77cm",1,HDX8,CUSTOMER_DAMAGED,SWITCHEROO,LPNSDEGA041206,
2026-08-05T03:30:59+00:00,406-7786517-2639532,FBA79167,B0CPFS24ML,X001Y5UYX1,"White Mulberry Gaming Desk, Computer Desk with Carbon Fiber Surface, Z Shaped Gaming Table, Computer Table, Workstation, Home Office Desk with Cup Holder and Headphone Holder | (110 * 60 * 75 CM)",1,DEL4,SELLABLE,QUALITY_UNACCEPTABLE,LPNDEL4AA3295677,
2026-08-04T12:26:09+00:00,171-0791839-3261155,FBA76417,B0BFVMDJ2K,X001MZZQ8V,White Mulberry L Shape Table | Gaming Table with Monitor Raising Shelf | L-Shape Corner Work Table for Home Office | Engineered Wood & Sturdy Steel Legs | DIY Assembly | L(130+130)*45 * 77cm | White,1,BLX1,CUSTOMER_DAMAGED,SWITCHEROO,LPNBLX1C026891,
2026-08-04T06:07:48+00:00,405-9077507-2841150,FBA79167,B0CPFS24ML,X001Y5UYX1,"White Mulberry Gaming Desk, Computer Desk with Carbon Fiber Surface, Z Shaped Gaming Table, Computer Table, Workstation, Home Office Desk with Cup Holder and Headphone Holder | (110 * 60 * 75 CM)",1,BOM5,CARRIER_DAMAGED,UNDELIVERABLE_REFUSED,LPNBOM5F5357241,
2026-08-03T11:54:27+00:00,407-2963374-4668338,FBA79167,B0CPFS24ML,X001Y5UYX1,"White Mulberry Gaming Desk, Computer Desk with Carbon Fiber Surface, Z Shaped Gaming Table, Computer Table, Workstation, Home Office Desk with Cup Holder and Headphone Holder | (110 * 60 * 75 CM)",1,BLR8,SELLABLE,UNDELIVERABLE_REFUSED,LPNBLR8Z5868854,
2026-08-03T11:11:06+00:00,402-0799942-3913130,FBA79167,B0CPFS24ML,X001Y5UYX1,"White Mulberry Gaming Desk, Computer Desk with Carbon Fiber Surface, Z Shaped Gaming Table, Computer Table, Workstation, Home Office Desk with Cup Holder and Headphone Holder | (110 * 60 * 75 CM)",1,BLR8,CUSTOMER_DAMAGED,MISSING_PARTS,LPNBLR8Z5647924,
2026-08-03T11:09:56+00:00,171-3212841-0025903,FBA79167,B0CPFS24ML,X001Y5UYX1,"White Mulberry Gaming Desk, Computer Desk with Carbon Fiber Surface, Z Shaped Gaming Table, Computer Table, Workstation, Home Office Desk with Cup Holder and Headphone Holder | (110 * 60 * 75 CM)",1,DEL4,CUSTOMER_DAMAGED,QUALITY_UNACCEPTABLE,LPNDEL4AA3295313,
2026-08-03T10:19:52+00:00,408-1630154-3368349,FBA79167,B0CPFS24ML,X001Y5UYX1,"White Mulberry Gaming Desk, Computer Desk with Carbon Fiber Surface, Z Shaped Gaming Table, Computer Table, Workstation, Home Office Desk with Cup Holder and Headphone Holder | (110 * 60 * 75 CM)",1,DEL4,CARRIER_DAMAGED,UNDELIVERABLE_UNKNOWN,LPNDEL4AA3295311,
2026-08-03T05:50:43+00:00,404-1710473-0863512,FBA76417,B0BFVMDJ2K,X001MZZQ8V,White Mulberry L Shape Table | Gaming Table with Monitor Raising Shelf | L-Shape Corner Work Table for Home Office | Engineered Wood & Sturdy Steel Legs | DIY Assembly | L(130+130)*45 * 77cm | White,1,SHTI,SELLABLE,UNDELIVERABLE_REFUSED,LPNSHTI00020621,
2026-08-03T03:19:12+00:00,403-2569648-5570715,FBA79167,B0CPFS24ML,X001Y5UYX1,"White Mulberry Gaming Desk, Computer Desk with Carbon Fiber Surface, Z Shaped Gaming Table, Computer Table, Workstation, Home Office Desk with Cup Holder and Headphone Holder | (110 * 60 * 75 CM)",1,BLR8,SELLABLE,UNDELIVERABLE_REFUSED,LPNBLR8Z5867438,
2026-08-02T06:31:06+00:00,405-1537134-2221953,FBA76417,B0BFVMDJ2K,X001MZZQ8V,White Mulberry L Shape Table | Gaming Table with Monitor Raising Shelf | L-Shape Corner Work Table for Home Office | Engineered Wood & Sturdy Steel Legs | DIY Assembly | L(130+130)*45 * 77cm | White,1,LMAA,CARRIER_DAMAGED,MISSING_PARTS,LPNLMAA0036823,
2026-08-02T04:34:30+00:00,404-7016860-8648335,FBA79167,B0CPFS24ML,X001Y5UYX1,"White Mulberry Gaming Desk, Computer Desk with Carbon Fiber Surface, Z Shaped Gaming Table, Computer Table, Workstation, Home Office Desk with Cup Holder and Headphone Holder | (110 * 60 * 75 CM)",1,BOM5,CUSTOMER_DAMAGED,QUALITY_UNACCEPTABLE,LPNBOM5F5381970,
2026-08-02T04:27:39+00:00,407-3986975-2175551,FBA79167,B0CPFS24ML,X001Y5UYX1,"White Mulberry Gaming Desk, Computer Desk with Carbon Fiber Surface, Z Shaped Gaming Table, Computer Table, Workstation, Home Office Desk with Cup Holder and Headphone Holder | (110 * 60 * 75 CM)",1,BOM5,CUSTOMER_DAMAGED,QUALITY_UNACCEPTABLE,LPNBOM5F5340936,
