ShipmentId,ShipmentName,ShipmentStatus,DestinationFC,ShipFrom,SellerSKU,FNSKU,QuantityShipped,QuantityReceived,QuantityInCase
FBA15M483DGJ,FBA STA (05/08/2026 07:59)-ISK3,WORKING,ISK3,"Bhiwandi, Maharashtra",FBA75674,X001L4QVU5,1,0,0
FBA15M57GQ4T,FBA STA (13/08/2026 10:10)-1 -ISK3,IN_TRANSIT,ISK3,"Bhiwandi, MH",FBA79830,X002CZVYE5,15,0,0
FBA15M5KG8FB,FBA STA (13/08/2026 10:10)-2 -ISK3,WORKING,ISK3,"Bhiwandi, MH",FBA75675,X001L4RWFN,5,0,0
FBA15M5KG8FB,FBA STA (13/08/2026 10:10)-2 -ISK3,WORKING,ISK3,"Bhiwandi, MH",FBA78976,X001U5NKVD,3,0,0
FBA15M5KG8FB,FBA STA (13/08/2026 10:10)-2 -ISK3,WORKING,ISK3,"Bhiwandi, MH",FBA79010,X001VTH195,6,0,0
FBA15M5KG8FB,FBA STA (13/08/2026 10:10)-2 -ISK3,WORKING,ISK3,"Bhiwandi, MH",FBA79839,X002EDV1Q1,20,0,0
FBA15M5KG8FB,FBA STA (13/08/2026 10:10)-2 -ISK3,WORKING,ISK3,"Bhiwandi, MH",FBA79840,X002EDSRBN,5,0,0
FBA15M5KG8FB,FBA STA (13/08/2026 10:10)-2 -ISK3,WORKING,ISK3,"Bhiwandi, MH",FBA80074,X002KMISFN,10,0,0
FBA15M5KG8FB,FBA STA (13/08/2026 10:10)-2 -ISK3,WORKING,ISK3,"Bhiwandi, MH",FBA80076,X002KMFILZ,10,0,0
FBA15M5KG8FB,FBA STA (13/08/2026 10:10)-2 -ISK3,WORKING,ISK3,"Bhiwandi, MH",FBA80141,X002L9MZV3,100,0,0
FBA15M57RX40,FBA STA (13/08/2026 12:26)-1 -ISK3,WORKING,ISK3,"Bhiwandi, MH",FBA80074,X002KMISFN,10,0,0
FBA15M57RX40,FBA STA (13/08/2026 12:26)-1 -ISK3,WORKING,ISK3,"Bhiwandi, MH",FBA80141,X002L9MZV3,100,0,0
FBA15M5K97ZM,FBA STA (13/08/2026 12:26)-2 -ISK3,WORKING,ISK3,"Bhiwandi, MH",FBA79830,X002CZVYE5,15,0,0
FBA15M5K95DM,FBA STA (13/08/2026 13:16)-ISK3,IN_TRANSIT,ISK3,"Bhiwandi, Maharashtra",FBA75675,X001L4RWFN,5,0,0
FBA15M5K95DM,FBA STA (13/08/2026 13:16)-ISK3,IN_TRANSIT,ISK3,"Bhiwandi, Maharashtra",FBA78976,X001U5NKVD,3,0,0
FBA15M5K95DM,FBA STA (13/08/2026 13:16)-ISK3,IN_TRANSIT,ISK3,"Bhiwandi, Maharashtra",FBA79010,X001VTH195,6,0,0
FBA15M5K95DM,FBA STA (13/08/2026 13:16)-ISK3,IN_TRANSIT,ISK3,"Bhiwandi, Maharashtra",FBA79839,X002EDV1Q1,20,0,0
FBA15M5K95DM,FBA STA (13/08/2026 13:16)-ISK3,IN_TRANSIT,ISK3,"Bhiwandi, Maharashtra",FBA79840,X002EDSRBN,5,0,0
FBA15M5K95DM,FBA STA (13/08/2026 13:16)-ISK3,IN_TRANSIT,ISK3,"Bhiwandi, Maharashtra",FBA80074,X002KMISFN,10,0,0
FBA15M5K95DM,FBA STA (13/08/2026 13:16)-ISK3,IN_TRANSIT,ISK3,"Bhiwandi, Maharashtra",FBA80076,X002KMFILZ,10,0,0
FBA15M5K95DM,FBA STA (13/08/2026 13:16)-ISK3,IN_TRANSIT,ISK3,"Bhiwandi, Maharashtra",FBA80141,X002L9MZV3,100,0,0
FBA15M4XWH03,FBA STA (13/08/2026 13:18)-ISK3,RECEIVING,ISK3,"Bhiwandi, Maharashtra",FBA79830,X002CZVYE5,15,14,0
FBA15M5WBYGD,FBA STA (17/08/2026 10:07)-ISK3,RECEIVING,ISK3,"Bhiwandi, Maharashtra",FBA75675,X001L4RWFN,5,5,0
FBA15M5WBYGD,FBA STA (17/08/2026 10:07)-ISK3,RECEIVING,ISK3,"Bhiwandi, Maharashtra",FBA78976,X001U5NKVD,3,3,0
FBA15M5WBYGD,FBA STA (17/08/2026 10:07)-ISK3,RECEIVING,ISK3,"Bhiwandi, Maharashtra",FBA79010,X001VTH195,6,6,0
FBA15M5WBYGD,FBA STA (17/08/2026 10:07)-ISK3,RECEIVING,ISK3,"Bhiwandi, Maharashtra",FBA79839,X002EDV1Q1,20,20,0
