ShipmentId,ShipmentName,ShipmentStatus,DestinationFC,ShipFrom,SellerSKU,FNSKU,QuantityShipped,QuantityReceived,QuantityInCase
FBA15LN3V090,FBA STA (09/04/2026 07:42)-MAA4,IN_TRANSIT,MAA4,"Bhiwandi, Maharashtra",FBA79488,X002435QZX,6,0,0
FBA15LR07JQN,FBA STA (02/05/2026 12:29)-LKO1,IN_TRANSIT,LKO1,"Bhiwandi, Maharashtra",FBA79452,X0023JV0A3,6,0,0
FBA15LR07JQN,FBA STA (02/05/2026 12:29)-LKO1,IN_TRANSIT,LKO1,"Bhiwandi, Maharashtra",FBA79682,X002872SBZ,6,0,0
FBA15LR058ND,FBA STA (02/05/2026 12:36)-PNQ3,IN_TRANSIT,PNQ3,"Bhiwandi, Maharashtra",FBA79373,X0020H9N9D,10,0,0
FBA15LZS8TWS,FBA STA (01/07/2026 11:49)-CCX1,IN_TRANSIT,CCX1,"Bhiwandi, Maharashtra",FBA79276,X0020G47PT,10,0,0
FBA15M38G98H,FBA STA (30/07/2026 08:52)-ISK3,RECEIVING,ISK3,"Mumbai, Maharashtra",FBA79349,X00230EXN3,100,100,0
FBA15M42Y1N1,FBA STA (05/08/2026 06:48)-BOM7,RECEIVING,BOM7,"Bhiwandi, Maharashtra",FBA79567,X0026FJYJD,20,20,0
FBA15M42Y1N1,FBA STA (05/08/2026 06:48)-BOM7,RECEIVING,BOM7,"Bhiwandi, Maharashtra",FBA79992,X002IKI32Z,5,5,0
FBA15M3LVRRG,FBA STA (05/08/2026 06:58)-HYD3,RECEIVING,HYD3,"Bhiwandi, Maharashtra",FBA79276,X0020G47PT,10,10,0
FBA15M3LVRRG,FBA STA (05/08/2026 06:58)-HYD3,RECEIVING,HYD3,"Bhiwandi, Maharashtra",FBA79567,X0026FJYJD,16,16,0
FBA15M4RY66Y,FBA STA (11/08/2026 09:59)-ISK3,RECEIVING,ISK3,"Mumbai, Maharashtra",FBA80252,X002NSMQ9N,15,15,0
FBA15M4RY66Y,FBA STA (11/08/2026 09:59)-ISK3,RECEIVING,ISK3,"Mumbai, Maharashtra",FBA80253,X002NSP0SR,15,15,0
