sku,fnsku,asin,product-name,condition,your-price,mfn-listing-exists,mfn-fulfillable-quantity,afn-listing-exists,afn-warehouse-quantity,afn-fulfillable-quantity,afn-unsellable-quantity,afn-reserved-quantity,afn-total-quantity,per-unit-volume,afn-inbound-working-quantity,afn-inbound-shipped-quantity,afn-inbound-receiving-quantity,afn-researching-quantity,afn-reserved-future-supply,afn-future-supply-buyable,store
28-6K66-6DMF,X0022MYFN5,B0BF4S7V8C,"White Mulberry Alloy Steel Manual Height Adjustable Desk | Ergonomic Design | Ecofriendly Desk | Sit Stand Desk for Office, Home & Study Table| 1200Mm X 600Mm | White",NewItem,,No,,Yes,0,0,0,0,0,,0,0,0,0,0,0,
6822-150-SIOC,X001LKQAY1,B0B68FKVC1,"White Mulberry Collapsible Wardrobe Closet | Hanging Clothes Rack | Non Woven Fabric | See-Through Window Easy Access Zipper, Metal Frame | Foldable Wadrobe, Clothes Organiser | White | 92*51*163cm",NewItem,,No,,Yes,0,0,0,0,0,,0,0,0,0,0,0,
B007XE5LTG,X001KD3PFL,B007XE5LTG,Autel AL519 AutoLink Enhanced OBD ll Scan Tool with Mode 6 Fault Code Reader EOBD,NewItem,,No,,Yes,0,0,0,0,0,,0,0,0,0,0,0,
B007XE8C74,X001KCZC4J,B007XE8C74,Autel AutoLink AL319 OBD2 Scanner Automotive Engine Fault Code Reader CAN Scan Tool,NewItem,,No,,Yes,0,0,0,0,0,,0,0,0,0,0,0,
DY-ZGYQ-HFMU,X0029K9337,B0F24JVQZ4,LODN Shape White Color Desk,NewItem,,No,,Yes,0,0,0,0,0,,0,0,0,0,0,0,
FBA75444,X001KDOC7L,B0B12HJ44K,Rolling Underbed cart,NewItem,,No,,Yes,0,0,0,0,0,,0,0,0,0,0,0,
FBA75445,X001KDQ0I5,B0B12VJHRX,Extra wide Clothes Closet,NewItem,,No,,Yes,0,0,0,0,0,,0,0,0,0,0,0,
FBA75446,X001KDPCED,B0B12TVXZB,Clothes Closet,NewItem,,No,,Yes,0,0,0,0,0,,0,0,0,0,0,0,
FBA75447,X001KDTJ9R,B0B12X7R7W,Adjustable 2-Rod Garment Rack,NewItem,,No,,Yes,0,0,0,0,0,,0,0,0,0,0,0,
FBA75448,X001KDSFN3,B0B12YMXZB,Deluxe Utility Closet,NewItem,,No,,Yes,0,0,0,0,0,,0,0,0,0,0,0,
FBA75449,X001KDR6QZ,B0B12Y8MTF,4 Tier Closet Shelves,NewItem,,No,,Yes,0,0,0,0,0,,0,0,0,0,0,0,
FBA75450,X001KDPKM7,B0B12YNC3D,Clothes Closet 2,NewItem,,No,,Yes,0,0,0,0,0,,0,0,0,0,0,0,
FBA75451,X001KDRD0T,B0B12YC5JK,18 Pair Over The Door Shoe Rack,NewItem,,No,,Yes,0,0,0,0,0,,0,0,0,0,0,0,
FBA75452,X001KDR98Z,B0B12Y5S75,Supreme Stacking Shelf with Basket,NewItem,,No,,Yes,0,0,0,0,0,,0,0,0,0,0,0,
FBA75453,X001KDRCFZ,B0B12XHZTN,Floor Shoe Tower - 40 Pair,NewItem,,No,,Yes,0,0,0,0,0,,0,0,0,0,0,0,
FBA75454,X001KDSHXV,B0B12YHLZB,Supreme Small 3 Tier Shelving - Black,NewItem,,No,,Yes,0,0,0,0,0,,0,0,0,0,0,0,
FBA75469,X001KJTIO7,B0B1TX1GQ6,Supreme Wide Stacking Shelf - Chrome,NewItem,,No,,Yes,0,0,0,0,0,,0,0,0,0,0,0,
FBA76382,X001MUB3RT,B0BF4T7SWK,White Mulberry |120X60CM Table Top|Manual Sit Stand Desk|Multi-Purpose Manual Height Adjustable Ergonomic Desk - Office Work Study Table|3 Year Warranty| 80 Kg Weight Carrying Capacity - Black,NewItem,,No,,Yes,2,1,1,0,2,,0,0,0,0,0,0,
FBA76383,X001MUAIZ7,B0BF4TKQKN,"White Mulberry Wooden Motorized Electronic Height Adjustable | Ergonomic Spacious Design Desk | Motor&Memory Preset Controller|Sit Stand Desk for Office, Home & Study Table| 1200mmx600mm | Black",NewItem,,No,,Yes,0,0,0,0,0,,0,0,0,0,0,0,
FBA76384,X001MUC6WF,B0BF4VWQXG,"White Mulberry Desk Converter with Keyboard Tray | Sit-Stand Desk Riser | Height Adjustable | Standing Desk Converter | Suitable for Office, Workstation Or Home | Black | 80 * 40* H(11-51) cm (Mdf)",NewItem,,No,,Yes,0,0,0,0,0,,0,0,0,0,0,0,
FBA76385,X001MUBE5P,B0BF4WD8Z8,"White Mulberry Manual Height Adjustable Sit-Stand Desk | Ergonomic Spacious Sit - Stand Table | Manual Height Adjustable Lever | Use in Office, Workstation or Home | White | 120 * 60*H(75-118) cm",NewItem,,No,,Yes,0,0,0,0,0,,0,0,0,0,0,0,
FBA76386,X001MU86U1,B0BF51HCY4,"White Mulberry Computer Table with Bookshelf | Study Table with Storage | Laptop Desk | Writing Table | E2 MDF Board | Strong & Sturdy Iron Leg | Use in Office, Workstation, Home | Maple| 120*50*144cm",NewItem,,No,,Yes,0,0,0,0,0,,0,0,0,0,0,0,
FBA76387,X001MUAGD1,B0BF4S7V8C,"White Mulberry Alloy Steel Manual Height Adjustable Desk | Ergonomic Design | Ecofriendly Desk | Sit Stand Desk for Office, Home & Study Table| 1200Mm X 600Mm | White",NewItem,,No,,Yes,0,0,0,0,0,,0,0,0,0,0,0,
FBA76388,X001MU9GVJ,B0BF4VRJJ1,White Mulberry L-Shape Corner Desk with Shelf|DIY Assembly| Monitor Raising Shelf | Engineered Wood & Sturdy Steel Leg|Perfect for Computer Table Office Home Gaming Study Desk|L(130+130)*45 * 77cm|CF,NewItem,,No,,Yes,0,0,0,0,0,,0,0,0,0,0,0,
