sku,fnsku,asin,product-name,condition,your-price,mfn-listing-exists,mfn-fulfillable-quantity,afn-listing-exists,afn-warehouse-quantity,afn-fulfillable-quantity,afn-unsellable-quantity,afn-reserved-quantity,afn-total-quantity,per-unit-volume,afn-inbound-working-quantity,afn-inbound-shipped-quantity,afn-inbound-receiving-quantity,afn-researching-quantity,afn-reserved-future-supply,afn-future-supply-buyable,store
1E-ENIA-0LAJ,X001U83TMP,B0CFH2B2MV,Nexlev Travel Blanket - Premium Soft Lightweight & Cozy 2 in 1 With Soft Bag Pillowcase | Hand Luggage Sleeve | Perfect for Flight Car Bus Travel | 300 GSM (Navy),NewItem,,No,,Yes,0,0,0,0,0,,0,0,0,0,0,0,
B0DNJS23HS,X002IO2RF5,B0DNJS23HS,Nexlev 10-in-1 Foldable Steam Cleaner & Mop| 2 Steam Modes| All Surfaces & Upholstery| 12 Accessories| 350ml Tank| 5M Cord|Swivel Design|Powerful Chemical Free Disinfection|Light-Weight|SC-04,NewItem,,No,,Yes,0,0,0,0,0,,0,0,0,0,0,0,
DI-3WOS-6278,X001U8H2KF,B0CFH5R7Y7,nexlev Travel Blanket - Premium Soft Lightweight & Cozy 2 in 1 Blanket with Soft Bag Pillowcase | Hand Luggage Sleeve | Perfect for Flight Car Bus Travel Blanket | 300 GSM (Silver),NewItem,,No,,Yes,0,0,0,0,0,,0,0,0,0,0,0,
ET-01-BK_NE,X0020OSPDL,B0D3B2C2XB,Nexlev Electric toothbrushes new variation (MidnightBlack),NewItem,,No,,Yes,0,0,0,0,0,,0,0,0,0,0,0,
ET-02-GN_NE,X0020OTNOB,B0D39ZSW71,Nexlev Electric toothbrushes new variation (LightGreen),NewItem,,No,,Yes,0,0,0,0,0,,0,0,0,0,0,0,
ET-03-BL_NE,X0020OSSMJ,B0D3B24N67,Nexlev Electric toothbrushes new variation (Sky-Blue),NewItem,,No,,Yes,0,0,0,0,0,,0,0,0,0,0,0,
FBA75664,X001LE8VBH,B0B5HCTGN5,nexlev Trimmer for Women (Falcon),NewItem,,No,,Yes,0,0,0,0,0,,0,0,0,0,0,0,
FBA75664_Paarent,X0021XP25F,B0B5HCTGN5,nexlev Trimmer for Women (Falcon),NewItem,,No,,Yes,0,0,0,0,0,,0,0,0,0,0,0,
FBA75665,X001LE6Z0L,B0B5HCG8MM,nexlev Trimmer for Women (Falcon),NewItem,,No,,Yes,0,0,0,0,0,,0,0,0,0,0,0,
FBA75666,X001LE8YAZ,B0B5HB1HJH,"Nexlev Maverick Series Gaming Chair with Premium Fabric Upholstery, Memory Foam Lumbar Cushion, 4D Armrests, Heavy Duty Metal Base, Frog Mechanism, & Class 4 Gaslift (Black, MF-22-BK)",NewItem,,No,,Yes,0,0,0,0,0,,0,0,0,0,0,0,
FBA75667,X001LE9RQ5,B0B5HFGQGM,"Nexlev Maverick Series Gaming Chair with Premium Fabric Upholstery, Memory Foam Lumbar Cushion, 4D Armrests, Heavy Duty Metal Base, Frog Mechanism, & Class 4 Gaslift (Red & Black, MF-22-RD)",NewItem,,No,,Yes,0,0,0,0,0,,0,0,0,0,0,0,
FBA75668,X001LE8VB7,B0B5F78LMB,"nexlev Maverick Series Gaming Chair with Premium Fabric, Molded Foam Seat & Back, Memory Foam Lumbar Cushion, 4D Armrests, Sturdy Metal Base, Frog Mechanism, & Class 4 Gaslift (Blue, MF-22-BL)",NewItem,,No,,Yes,0,0,0,0,0,,0,0,0,0,0,0,
FBA75669,X001LE6Z0B,B0B5HFG6W7,"Nexlev Maverick Series Gaming Chair with Premium Vegan Leather Upholstery, Memory Foam Lumbar Cushion, 4D Armrests, Sturdy Metal Base, Frog Mechanism, and Class 4 Gaslift (Black, ML-22-BK)",NewItem,,No,,Yes,0,0,0,0,0,,0,0,0,0,0,0,
FBA75670,X001LE8YB9,B0B5HDPTLC,"Nexlev Maverick Series Gaming Chair with Premium Vegan Leather Upholstery, Memory Foam Lumbar Cushion, 4D Armrests, Sturdy Metal Base, Frog Mechanism, and Class 4 Gaslift (Red & Black, ML-22-RD)",NewItem,,No,,Yes,0,0,0,0,0,,0,0,0,0,0,0,
FBA75671,X001LE9RQF,B0B5HCN3TJ,"Nexlev Maverick Series Gaming Chair with Premium Vegan Leather Upholstery, Memory Foam Lumbar Cushion, 4D Armrests, Sturdy Metal Base, Frog Mechanism, and Class 4 Gaslift (Blue and Black, ML-22-BL)",NewItem,,No,,Yes,0,0,0,0,0,,0,0,0,0,0,0,
FBA75955,X001LEJTI1,B0B5LM1FWP,"Nexlev Chronicle Series Gaming RGB Microphone with Tripod & Shock Mount for Gaming,Streaming & Meeting,Plug & Play,2-in-1 Cable for Windows,MAC & PS4/5,No-Latency Monitoring,One Button Mute & Volume Control (CM-22)",NewItem,,No,,Yes,0,0,0,0,0,,0,0,0,0,0,0,
FBA75956,X001LEIROD,B0B5LL2ZQR,"Nexlev Chronicle Series Gaming RGB Mic with Shock Mount, Pop Filter, Metal Stand for Streaming & Podcasting. Plug & Play for Windows, MAC & PS4/5, Monitoring, One Touch Mute & Mic Gain (CM-22 Pro)",NewItem,,No,,Yes,0,0,0,0,0,,0,0,0,0,0,0,
FBA75963,X001LQH459,B0B71QN43M,"Nexlev Falcon Series Footrest with Premium Fabric and Vegan Leather Upholstery (Black, FD-22-FR)",NewItem,,No,,Yes,0,0,0,0,0,,0,0,0,0,0,0,
FBA75964,X001LQGP4F,B0B71QY1TH,"Nexlev Maverick Series Footrest with Vegan Leather Upholstery (Black, ML-22-FR)",NewItem,,No,,Yes,0,0,0,0,0,,0,0,0,0,0,0,
FBA75965,X001N8PBN7,B0BGXYD1ZP,Nexlev 4D Armrest for Chairs (4D Armrest),NewItem,,No,,Yes,0,0,0,0,0,,0,0,0,0,0,0,
FBA75966,X001N8MLEJ,B0BGXZB3CM,Nexlev 3D Armrest for Chairs (3D Armrest),NewItem,,No,,Yes,0,0,0,0,0,,0,0,0,0,0,0,
FBA75967,X001MJIWER,B0BC93W1V1,Nexlev 350mm Heavy Duty Aluminum Base,NewItem,,No,,Yes,0,0,0,0,0,,0,0,0,0,0,0,
FBA75968,X001MJEP3T,B0BC99CYXD,Nexlev 350mm Heavy Duty Metal Base,NewItem,,No,,Yes,0,0,0,0,0,,0,0,0,0,0,0,
FBA75969,X001MJH12B,B0BC93RS1L,Nexlev 350mm Heavy Duty Nylon Base,NewItem,,No,,Yes,0,0,0,0,0,,0,0,0,0,0,0,
FBA75970,X001N8SYKT,B0BGY6R2YQ,Nexlev 60mm Nylon Caster Wheels (60mm PU castor),NewItem,,No,,Yes,0,0,0,0,0,,0,0,0,0,0,0,
FBA75971,X001N8TREB,B0BGY3223L,Nexlev 75mm Racing Caster Wheels (75mm racing castor with lock),NewItem,,No,,Yes,0,0,0,0,0,,0,0,0,0,0,0,
FBA75972,X001N8MTUZ,B0BGY61JMN,Nexlev In-Line Rollerblade Casters for Chair (75mm Silicon wheel),NewItem,,No,,Yes,0,0,0,0,0,,0,0,0,0,0,0,
FBA75973,X001N8RX0L,B0BGY2XKZ1,Nexlev Butterfly Tilt Mechanism (Butterfly Mechanism),NewItem,,No,,Yes,0,0,0,0,0,,0,0,0,0,0,0,
FBA75974,X001N8RZ59,B0BGY4MLKX,Nexlev Frog Tilt Mechanism (Frog Mechanism),NewItem,,No,,Yes,0,0,0,0,0,,0,0,0,0,0,0,
FBA76766,X001O8ZP4B,B0BMVSR8H9,"Nexlev Sit-Stand Desk (Manual,Carbon fibre)",NewItem,,No,,Yes,0,0,0,0,0,,0,0,0,0,0,0,
FBA76767,X001O8XR7N,B0BMVVXVFS,"Nexlev Sit-Stand Desk (Motorized,Carbon fibre)",NewItem,,No,,Yes,0,0,0,0,0,,0,0,0,0,0,0,
FBA76817,X001OCRPD1,B0BN7TTZBH,nexlev L Shaped Desk (Carbon Fiber),NewItem,,No,,Yes,0,0,0,0,0,,0,0,0,0,0,0,
FBA78945,X001WX065V,B0C7GMKPP3,"Nexlev NPET Cat Water Foutain, 54oz/1.6L Automatic Cat Water Fountain with Leaf Shape Kit | Bottom Suction Ultra Quiet Pump for Cats & Small Dogs Without Adapter (WF100White-Light) (WF100-White Light)",NewItem,,No,,Yes,0,0,0,0,0,,0,0,0,0,0,0,
FBA78946,X001WX06U1,B0C7GSJDKY,"Nexlev NPET Cat Water Foutain, 54oz/1.6L Automatic Cat Water Fountain with Leaf Shape Kit | Bottom Suction Ultra Quiet Pump for Cats & Small Dogs Without Adapter (WF100Blue-Light)",NewItem,,No,,Yes,0,0,0,0,0,,0,0,0,0,0,0,
FBA78966,X001XMICYX,B09ZTMMXTK,"Neakasa P1 Pro Pet Grooming Kit & Vacuum Suction 99% Pet Hair, Dog Grooming Kit with 5 Professional Grooming Shedding Tools for Dogs Cats and Other Animals",NewItem,,No,,Yes,0,0,0,0,0,,0,0,0,0,0,0,
FBA78979,X001U1F8CL,B0CDPQXPC1,NexLev Handheld Garment Steamer |1500 Watts | 35 g/min | 300 ML| Vertical & Horizontal Ironing for Silk Velvet|Damage Free Steam for all Cloth Types|25sec quick heat | 3 Brushes |GS-01,NewItem,,No,,Yes,0,0,0,0,0,,0,0,0,0,0,0,
