Date,FNSKU,ASIN,MSKU,Title,Disposition,Starting Warehouse Balance,In Transit Between Warehouses,Receipts,Customer Shipments,Customer Returns,Vendor Returns,Warehouse Transfer In/Out,Found,Lost,Damaged,Disposed,Other Events,Ending Warehouse Balance,Unknown Events,Location
04/26/2026,X001L46QAP,B0B4DPX2J2,FBA75673,"Audio Array AM-C1 USB Condenser Microphone Kit | for Podcasting, Online Meeting, Gaming, Singing & Live Streaming | Boom Arm, Pop Filter, Mic Cover, Spider Shock Mount, Tripod & 2.5M USB Cable",CUSTOMER_DAMAGED,4,0,0,0,0,0,0,0,0,0,0,0,4,0,AMD2
04/26/2026,X001L46QAP,B0B4DPX2J2,FBA75673,"Audio Array AM-C1 USB Condenser Microphone Kit | for Podcasting, Online Meeting, Gaming, Singing & Live Streaming | Boom Arm, Pop Filter, Mic Cover, Spider Shock Mount, Tripod & 2.5M USB Cable",SELLABLE,5,0,0,-1,0,0,0,0,0,0,0,0,4,0,AMD2
04/26/2026,X001L46QAP,B0B4DPX2J2,FBA75673,"Audio Array AM-C1 USB Condenser Microphone Kit | for Podcasting, Online Meeting, Gaming, Singing & Live Streaming | Boom Arm, Pop Filter, Mic Cover, Spider Shock Mount, Tripod & 2.5M USB Cable",SELLABLE,6,0,0,-1,0,0,0,0,0,0,0,0,5,0,BLR7
04/26/2026,X001L46QAP,B0B4DPX2J2,FBA75673,"Audio Array AM-C1 USB Condenser Microphone Kit | for Podcasting, Online Meeting, Gaming, Singing & Live Streaming | Boom Arm, Pop Filter, Mic Cover, Spider Shock Mount, Tripod & 2.5M USB Cable",SELLABLE,12,0,0,0,0,0,0,0,0,0,0,0,12,0,BLR8
04/26/2026,X001L46QAP,B0B4DPX2J2,FBA75673,"Audio Array AM-C1 USB Condenser Microphone Kit | for Podcasting, Online Meeting, Gaming, Singing & Live Streaming | Boom Arm, Pop Filter, Mic Cover, Spider Shock Mount, Tripod & 2.5M USB Cable",SELLABLE,3,0,0,0,0,0,0,0,0,0,0,0,3,0,BOM5
04/26/2026,X001L46QAP,B0B4DPX2J2,FBA75673,"Audio Array AM-C1 USB Condenser Microphone Kit | for Podcasting, Online Meeting, Gaming, Singing & Live Streaming | Boom Arm, Pop Filter, Mic Cover, Spider Shock Mount, Tripod & 2.5M USB Cable",SELLABLE,1,0,0,0,0,0,0,0,0,0,0,0,1,0,BOM7
04/26/2026,X001L46QAP,B0B4DPX2J2,FBA75673,"Audio Array AM-C1 USB Condenser Microphone Kit | for Podcasting, Online Meeting, Gaming, Singing & Live Streaming | Boom Arm, Pop Filter, Mic Cover, Spider Shock Mount, Tripod & 2.5M USB Cable",SELLABLE,11,0,0,0,0,0,0,0,0,0,0,0,11,0,CJB1
04/26/2026,X001L46QAP,B0B4DPX2J2,FBA75673,"Audio Array AM-C1 USB Condenser Microphone Kit | for Podcasting, Online Meeting, Gaming, Singing & Live Streaming | Boom Arm, Pop Filter, Mic Cover, Spider Shock Mount, Tripod & 2.5M USB Cable",SELLABLE,11,0,0,-1,0,0,0,0,0,0,0,0,10,0,DEL4
04/26/2026,X001L46QAP,B0B4DPX2J2,FBA75673,"Audio Array AM-C1 USB Condenser Microphone Kit | for Podcasting, Online Meeting, Gaming, Singing & Live Streaming | Boom Arm, Pop Filter, Mic Cover, Spider Shock Mount, Tripod & 2.5M USB Cable",SELLABLE,7,0,0,0,0,0,0,0,0,0,0,0,7,0,DEL5
04/26/2026,X001L46QAP,B0B4DPX2J2,FBA75673,"Audio Array AM-C1 USB Condenser Microphone Kit | for Podcasting, Online Meeting, Gaming, Singing & Live Streaming | Boom Arm, Pop Filter, Mic Cover, Spider Shock Mount, Tripod & 2.5M USB Cable",SELLABLE,10,0,0,0,0,0,0,0,0,0,0,0,10,0,HYD3
04/26/2026,X001L46QAP,B0B4DPX2J2,FBA75673,"Audio Array AM-C1 USB Condenser Microphone Kit | for Podcasting, Online Meeting, Gaming, Singing & Live Streaming | Boom Arm, Pop Filter, Mic Cover, Spider Shock Mount, Tripod & 2.5M USB Cable",SELLABLE,19,0,0,0,0,0,0,0,0,0,0,0,19,0,HYD8
04/26/2026,X001L46QAP,B0B4DPX2J2,FBA75673,"Audio Array AM-C1 USB Condenser Microphone Kit | for Podcasting, Online Meeting, Gaming, Singing & Live Streaming | Boom Arm, Pop Filter, Mic Cover, Spider Shock Mount, Tripod & 2.5M USB Cable",SELLABLE,8,0,0,0,0,0,12,0,0,0,0,0,20,0,LKO1
04/26/2026,X001L46QAP,B0B4DPX2J2,FBA75673,"Audio Array AM-C1 USB Condenser Microphone Kit | for Podcasting, Online Meeting, Gaming, Singing & Live Streaming | Boom Arm, Pop Filter, Mic Cover, Spider Shock Mount, Tripod & 2.5M USB Cable",SELLABLE,6,0,0,0,0,0,0,0,0,0,0,0,6,0,PNQ3
04/26/2026,X001L4B62N,B0B4DS678Q,FBA75676,"Audio Array AM-C4 USB Plug & Play Condenser Microphone with Tripod, Pop-Filter & Shock Mount | for Conference, Gaming, Podcasting, Voice Over, YouTube, Skype, Zoom & Live Streaming on iOS,Windows",SELLABLE,2,0,0,0,0,0,0,0,0,0,0,0,2,0,AMD2
04/26/2026,X001L4B62N,B0B4DS678Q,FBA75676,"Audio Array AM-C4 USB Plug & Play Condenser Microphone with Tripod, Pop-Filter & Shock Mount | for Conference, Gaming, Podcasting, Voice Over, YouTube, Skype, Zoom & Live Streaming on iOS,Windows",SELLABLE,1,0,0,0,0,0,0,0,0,0,0,0,1,0,BOM5
04/26/2026,X001L4B62N,B0B4DS678Q,FBA75676,"Audio Array AM-C4 USB Plug & Play Condenser Microphone with Tripod, Pop-Filter & Shock Mount | for Conference, Gaming, Podcasting, Voice Over, YouTube, Skype, Zoom & Live Streaming on iOS,Windows",SELLABLE,1,0,0,0,0,0,0,0,0,0,0,0,1,0,BOM7
04/26/2026,X001L4B62N,B0B4DS678Q,FBA75676,"Audio Array AM-C4 USB Plug & Play Condenser Microphone with Tripod, Pop-Filter & Shock Mount | for Conference, Gaming, Podcasting, Voice Over, YouTube, Skype, Zoom & Live Streaming on iOS,Windows",SELLABLE,3,0,0,0,0,0,0,0,0,0,0,0,3,0,DEL4
04/26/2026,X001L4B62N,B0B4DS678Q,FBA75676,"Audio Array AM-C4 USB Plug & Play Condenser Microphone with Tripod, Pop-Filter & Shock Mount | for Conference, Gaming, Podcasting, Voice Over, YouTube, Skype, Zoom & Live Streaming on iOS,Windows",SELLABLE,1,0,0,0,0,0,0,0,0,0,0,0,1,0,HYD8
04/26/2026,X001L4B62N,B0B4DS678Q,FBA75676,"Audio Array AM-C4 USB Plug & Play Condenser Microphone with Tripod, Pop-Filter & Shock Mount | for Conference, Gaming, Podcasting, Voice Over, YouTube, Skype, Zoom & Live Streaming on iOS,Windows",SELLABLE,12,0,0,0,0,0,0,0,0,0,0,0,12,0,MAA4
04/26/2026,X001L4N6P3,B0B4G1PXWV,FBA75680,"Audio Array AM-C6 USB Plug & Play Condenser Microphone Kit | with pop-Filter & Shock Mount | 3.5 mm No Latency Monitoring, Volume Control & Mute Button | Gaming, Podcasting & Streaming",SELLABLE,1,0,0,0,0,0,0,0,0,0,0,0,1,0,AMD2
04/26/2026,X001L4N6P3,B0B4G1PXWV,FBA75680,"Audio Array AM-C6 USB Plug & Play Condenser Microphone Kit | with pop-Filter & Shock Mount | 3.5 mm No Latency Monitoring, Volume Control & Mute Button | Gaming, Podcasting & Streaming",SELLABLE,1,0,0,0,0,0,0,0,0,0,0,0,1,0,BLR8
