Date,FNSKU,ASIN,MSKU,Title,Disposition,Starting Warehouse Balance,In Transit Between Warehouses,Receipts,Customer Shipments,Customer Returns,Vendor Returns,Warehouse Transfer In/Out,Found,Lost,Damaged,Disposed,Other Events,Ending Warehouse Balance,Unknown Events,Location
01/22/2026,X0020GXQNX,B0D2P7WLJB,FBA79374,"NexLev Smart Electric Toothbrush for Adults |2-Min Timer with Quadpacer |2 Replaceable Heads | AAA Battery |3 Modes (Daily, Normal & Sesitive) |Upto 60 Days | Travel Case | Soft Bristles |ET-02 Green",WAREHOUSE_DAMAGED,2,0,0,0,0,0,0,0,0,0,0,0,2,0,DEL4
01/22/2026,X0020GXQNX,B0D2P7WLJB,FBA79374,"NexLev Smart Electric Toothbrush for Adults |2-Min Timer with Quadpacer |2 Replaceable Heads | AAA Battery |3 Modes (Daily, Normal & Sesitive) |Upto 60 Days | Travel Case | Soft Bristles |ET-02 Green",WAREHOUSE_DAMAGED,1,0,0,0,0,0,0,0,0,0,0,0,1,0,HYD8
01/22/2026,X0020H812N,B0D2P6KF4N,FBA79375,Nexlev Sonic Electric Toothbrush| Powerful Sonic technology|Super soft DuPont Bristles| 2 Replaceable Brush Heads with Cover| IPX7 Waterproof| AA Battery|Gentle Oral Care|Smart Smile ET-03 SkyBlue,SELLABLE,0,0,0,0,0,0,0,1,0,0,0,0,1,0,BLR7
01/22/2026,X0020H812N,B0D2P6KF4N,FBA79375,Nexlev Sonic Electric Toothbrush| Powerful Sonic technology|Super soft DuPont Bristles| 2 Replaceable Brush Heads with Cover| IPX7 Waterproof| AA Battery|Gentle Oral Care|Smart Smile ET-03 SkyBlue,SELLABLE,1,0,0,0,0,0,0,0,0,0,0,0,1,0,DEL5
01/22/2026,X0020H9N9D,B0D2P5TGWK,FBA79373,"NexLev Smart Electric Toothbrush for Adults |2-Min Timer with Quadpacer |2 Replaceable Heads | AAA Battery |3 Modes (Daily, Normal & Sesitive) |Upto 60 Days | Travel Case | Soft Bristles |ET-01 Black",SELLABLE,6,0,0,-1,0,0,0,0,0,0,0,0,5,0,AMD2
01/22/2026,X0020H9N9D,B0D2P5TGWK,FBA79373,"NexLev Smart Electric Toothbrush for Adults |2-Min Timer with Quadpacer |2 Replaceable Heads | AAA Battery |3 Modes (Daily, Normal & Sesitive) |Upto 60 Days | Travel Case | Soft Bristles |ET-01 Black",SELLABLE,10,0,0,-1,0,0,0,0,0,0,0,0,9,0,BLR8
01/22/2026,X0020H9N9D,B0D2P5TGWK,FBA79373,"NexLev Smart Electric Toothbrush for Adults |2-Min Timer with Quadpacer |2 Replaceable Heads | AAA Battery |3 Modes (Daily, Normal & Sesitive) |Upto 60 Days | Travel Case | Soft Bristles |ET-01 Black",SELLABLE,10,0,0,-1,0,0,0,0,0,0,0,0,9,0,BOM5
01/22/2026,X0020H9N9D,B0D2P5TGWK,FBA79373,"NexLev Smart Electric Toothbrush for Adults |2-Min Timer with Quadpacer |2 Replaceable Heads | AAA Battery |3 Modes (Daily, Normal & Sesitive) |Upto 60 Days | Travel Case | Soft Bristles |ET-01 Black",SELLABLE,86,0,0,0,0,0,0,0,0,0,0,0,86,0,CCX1
01/22/2026,X0020H9N9D,B0D2P5TGWK,FBA79373,"NexLev Smart Electric Toothbrush for Adults |2-Min Timer with Quadpacer |2 Replaceable Heads | AAA Battery |3 Modes (Daily, Normal & Sesitive) |Upto 60 Days | Travel Case | Soft Bristles |ET-01 Black",SELLABLE,1,0,0,-1,0,0,0,0,0,0,0,0,0,0,CJB1
01/22/2026,X0020H9N9D,B0D2P5TGWK,FBA79373,"NexLev Smart Electric Toothbrush for Adults |2-Min Timer with Quadpacer |2 Replaceable Heads | AAA Battery |3 Modes (Daily, Normal & Sesitive) |Upto 60 Days | Travel Case | Soft Bristles |ET-01 Black",SELLABLE,3,0,0,0,0,0,0,0,0,0,0,0,3,0,DED4
01/22/2026,X0020H9N9D,B0D2P5TGWK,FBA79373,"NexLev Smart Electric Toothbrush for Adults |2-Min Timer with Quadpacer |2 Replaceable Heads | AAA Battery |3 Modes (Daily, Normal & Sesitive) |Upto 60 Days | Travel Case | Soft Bristles |ET-01 Black",SELLABLE,21,0,0,-5,0,0,0,0,0,0,0,0,16,0,DEL4
01/22/2026,X0020H9N9D,B0D2P5TGWK,FBA79373,"NexLev Smart Electric Toothbrush for Adults |2-Min Timer with Quadpacer |2 Replaceable Heads | AAA Battery |3 Modes (Daily, Normal & Sesitive) |Upto 60 Days | Travel Case | Soft Bristles |ET-01 Black",SELLABLE,2,0,0,0,0,0,0,0,0,0,0,0,2,0,DEL5
01/22/2026,X0020H9N9D,B0D2P5TGWK,FBA79373,"NexLev Smart Electric Toothbrush for Adults |2-Min Timer with Quadpacer |2 Replaceable Heads | AAA Battery |3 Modes (Daily, Normal & Sesitive) |Upto 60 Days | Travel Case | Soft Bristles |ET-01 Black",SELLABLE,14,0,0,0,0,0,0,0,0,0,0,0,14,0,HYD3
01/22/2026,X0020H9N9D,B0D2P5TGWK,FBA79373,"NexLev Smart Electric Toothbrush for Adults |2-Min Timer with Quadpacer |2 Replaceable Heads | AAA Battery |3 Modes (Daily, Normal & Sesitive) |Upto 60 Days | Travel Case | Soft Bristles |ET-01 Black",SELLABLE,7,0,0,-2,0,0,0,0,0,0,0,0,5,0,MAA4
01/22/2026,X0020H9N9D,B0D2P5TGWK,FBA79373,"NexLev Smart Electric Toothbrush for Adults |2-Min Timer with Quadpacer |2 Replaceable Heads | AAA Battery |3 Modes (Daily, Normal & Sesitive) |Upto 60 Days | Travel Case | Soft Bristles |ET-01 Black",SELLABLE,29,0,0,-1,0,0,0,0,0,0,0,0,28,0,PNQ3
01/22/2026,X0020H9N9D,B0D2P5TGWK,FBA79373,"NexLev Smart Electric Toothbrush for Adults |2-Min Timer with Quadpacer |2 Replaceable Heads | AAA Battery |3 Modes (Daily, Normal & Sesitive) |Upto 60 Days | Travel Case | Soft Bristles |ET-01 Black",WAREHOUSE_DAMAGED,1,0,0,0,0,0,0,0,0,0,0,0,1,0,BOM5
01/22/2026,X0020H9N9D,B0D2P5TGWK,FBA79373,"NexLev Smart Electric Toothbrush for Adults |2-Min Timer with Quadpacer |2 Replaceable Heads | AAA Battery |3 Modes (Daily, Normal & Sesitive) |Upto 60 Days | Travel Case | Soft Bristles |ET-01 Black",WAREHOUSE_DAMAGED,1,0,0,0,0,0,0,0,0,0,0,0,1,0,CCX1
01/22/2026,X0020OHLDV,B0D383WQPB,FBA79268,NexLev Foldable Garment Steamer for Home & Travel | Convenient Vertical Steaming | 1200W | 120 ml | Lightweight & Compact | 30s Fast Heating | Iron for all Cloth Types | 2 M cord | Anti Spill | GS-05,CUSTOMER_DAMAGED,1,0,0,0,0,0,0,0,0,0,0,0,1,0,AMD2
01/22/2026,X0020OHLDV,B0D383WQPB,FBA79268,NexLev Foldable Garment Steamer for Home & Travel | Convenient Vertical Steaming | 1200W | 120 ml | Lightweight & Compact | 30s Fast Heating | Iron for all Cloth Types | 2 M cord | Anti Spill | GS-05,SELLABLE,0,0,0,0,1,0,0,0,0,0,0,0,1,0,AMD2
01/22/2026,X0020OHLDV,B0D383WQPB,FBA79268,NexLev Foldable Garment Steamer for Home & Travel | Convenient Vertical Steaming | 1200W | 120 ml | Lightweight & Compact | 30s Fast Heating | Iron for all Cloth Types | 2 M cord | Anti Spill | GS-05,SELLABLE,1,0,0,0,0,0,0,0,0,0,0,0,1,0,BLR7
01/22/2026,X0020OHLDV,B0D383WQPB,FBA79268,NexLev Foldable Garment Steamer for Home & Travel | Convenient Vertical Steaming | 1200W | 120 ml | Lightweight & Compact | 30s Fast Heating | Iron for all Cloth Types | 2 M cord | Anti Spill | GS-05,SELLABLE,17,0,0,0,0,0,0,0,0,0,0,0,17,0,BLR8
01/22/2026,X0020OHLDV,B0D383WQPB,FBA79268,NexLev Foldable Garment Steamer for Home & Travel | Convenient Vertical Steaming | 1200W | 120 ml | Lightweight & Compact | 30s Fast Heating | Iron for all Cloth Types | 2 M cord | Anti Spill | GS-05,SELLABLE,26,0,0,-1,0,0,0,0,0,0,0,0,25,0,BOM5
01/22/2026,X0020OHLDV,B0D383WQPB,FBA79268,NexLev Foldable Garment Steamer for Home & Travel | Convenient Vertical Steaming | 1200W | 120 ml | Lightweight & Compact | 30s Fast Heating | Iron for all Cloth Types | 2 M cord | Anti Spill | GS-05,SELLABLE,7,0,0,0,0,0,8,0,0,0,0,0,15,0,BOM7
01/22/2026,X0020OHLDV,B0D383WQPB,FBA79268,NexLev Foldable Garment Steamer for Home & Travel | Convenient Vertical Steaming | 1200W | 120 ml | Lightweight & Compact | 30s Fast Heating | Iron for all Cloth Types | 2 M cord | Anti Spill | GS-05,SELLABLE,8,0,0,0,0,0,0,0,0,0,0,0,8,0,CCX1
01/22/2026,X0020OHLDV,B0D383WQPB,FBA79268,NexLev Foldable Garment Steamer for Home & Travel | Convenient Vertical Steaming | 1200W | 120 ml | Lightweight & Compact | 30s Fast Heating | Iron for all Cloth Types | 2 M cord | Anti Spill | GS-05,SELLABLE,5,0,0,0,0,0,0,0,0,0,0,0,5,0,CJB1
01/22/2026,X0020OHLDV,B0D383WQPB,FBA79268,NexLev Foldable Garment Steamer for Home & Travel | Convenient Vertical Steaming | 1200W | 120 ml | Lightweight & Compact | 30s Fast Heating | Iron for all Cloth Types | 2 M cord | Anti Spill | GS-05,SELLABLE,8,0,0,0,0,0,0,0,0,0,0,0,8,0,DED4
01/22/2026,X0020OHLDV,B0D383WQPB,FBA79268,NexLev Foldable Garment Steamer for Home & Travel | Convenient Vertical Steaming | 1200W | 120 ml | Lightweight & Compact | 30s Fast Heating | Iron for all Cloth Types | 2 M cord | Anti Spill | GS-05,SELLABLE,20,0,0,0,0,0,0,0,0,0,0,0,20,0,DEL4
01/22/2026,X0020OHLDV,B0D383WQPB,FBA79268,NexLev Foldable Garment Steamer for Home & Travel | Convenient Vertical Steaming | 1200W | 120 ml | Lightweight & Compact | 30s Fast Heating | Iron for all Cloth Types | 2 M cord | Anti Spill | GS-05,SELLABLE,4,0,0,-2,0,0,0,0,0,0,0,0,2,0,DEL5
01/22/2026,X0020OHLDV,B0D383WQPB,FBA79268,NexLev Foldable Garment Steamer for Home & Travel | Convenient Vertical Steaming | 1200W | 120 ml | Lightweight & Compact | 30s Fast Heating | Iron for all Cloth Types | 2 M cord | Anti Spill | GS-05,SELLABLE,16,0,0,0,0,0,0,0,0,0,0,0,16,0,HYD3
01/22/2026,X0020OHLDV,B0D383WQPB,FBA79268,NexLev Foldable Garment Steamer for Home & Travel | Convenient Vertical Steaming | 1200W | 120 ml | Lightweight & Compact | 30s Fast Heating | Iron for all Cloth Types | 2 M cord | Anti Spill | GS-05,SELLABLE,15,0,0,0,0,0,0,0,0,0,0,0,15,0,HYD8
01/22/2026,X0020OHLDV,B0D383WQPB,FBA79268,NexLev Foldable Garment Steamer for Home & Travel | Convenient Vertical Steaming | 1200W | 120 ml | Lightweight & Compact | 30s Fast Heating | Iron for all Cloth Types | 2 M cord | Anti Spill | GS-05,SELLABLE,8,64,0,0,0,0,-8,0,0,0,0,0,0,0,ISK3
01/22/2026,X0020OHLDV,B0D383WQPB,FBA79268,NexLev Foldable Garment Steamer for Home & Travel | Convenient Vertical Steaming | 1200W | 120 ml | Lightweight & Compact | 30s Fast Heating | Iron for all Cloth Types | 2 M cord | Anti Spill | GS-05,SELLABLE,14,0,0,0,0,0,0,0,0,0,0,0,14,0,LKO1
01/22/2026,X0020OHLDV,B0D383WQPB,FBA79268,NexLev Foldable Garment Steamer for Home & Travel | Convenient Vertical Steaming | 1200W | 120 ml | Lightweight & Compact | 30s Fast Heating | Iron for all Cloth Types | 2 M cord | Anti Spill | GS-05,SELLABLE,8,0,0,0,0,0,0,0,0,0,0,0,8,0,MAA4
01/22/2026,X0020OHLDV,B0D383WQPB,FBA79268,NexLev Foldable Garment Steamer for Home & Travel | Convenient Vertical Steaming | 1200W | 120 ml | Lightweight & Compact | 30s Fast Heating | Iron for all Cloth Types | 2 M cord | Anti Spill | GS-05,SELLABLE,0,0,0,0,0,0,8,0,0,0,0,0,8,0,PNQ3
01/22/2026,X0021MSS93,B0D637B562,FBA79352,Nexlev Splash Pet Water Fountain with LED Light | 2.0L Capacity | Ultra Quiet Cat Drinking Fountain with Filter | Automatic Pet Water Fountain for Cats and Small Dogs | Blue (WF-02-BL),CARRIER_DAMAGED,1,0,0,0,0,0,0,0,0,0,0,0,1,0,HYD8
01/22/2026,X0021N7IF7,B0D63FKYZ5,FBA79332,NexLev Scalp Massager for Stress Relief | Head Massager for Hair Growth | 96 Tangle Free Silicone Kneading Nodes | Hand Like Massage | 120 Min Runtime | Type C | Washable Heads | 3 Modes | HM-01,SELLABLE,19,0,0,0,0,0,0,0,0,0,0,0,19,0,BLR8
01/22/2026,X0021N7IF7,B0D63FKYZ5,FBA79332,NexLev Scalp Massager for Stress Relief | Head Massager for Hair Growth | 96 Tangle Free Silicone Kneading Nodes | Hand Like Massage | 120 Min Runtime | Type C | Washable Heads | 3 Modes | HM-01,SELLABLE,10,0,0,0,0,0,0,0,0,0,0,0,10,0,BOM5
01/22/2026,X0021N7IF7,B0D63FKYZ5,FBA79332,NexLev Scalp Massager for Stress Relief | Head Massager for Hair Growth | 96 Tangle Free Silicone Kneading Nodes | Hand Like Massage | 120 Min Runtime | Type C | Washable Heads | 3 Modes | HM-01,SELLABLE,5,0,0,0,0,0,0,0,0,0,0,0,5,0,BOM7
01/22/2026,X0021N7IF7,B0D63FKYZ5,FBA79332,NexLev Scalp Massager for Stress Relief | Head Massager for Hair Growth | 96 Tangle Free Silicone Kneading Nodes | Hand Like Massage | 120 Min Runtime | Type C | Washable Heads | 3 Modes | HM-01,SELLABLE,16,0,0,0,0,0,0,0,0,0,0,0,16,0,CCX1
01/22/2026,X0021N7IF7,B0D63FKYZ5,FBA79332,NexLev Scalp Massager for Stress Relief | Head Massager for Hair Growth | 96 Tangle Free Silicone Kneading Nodes | Hand Like Massage | 120 Min Runtime | Type C | Washable Heads | 3 Modes | HM-01,SELLABLE,19,0,0,0,0,0,0,0,0,0,0,0,19,0,DEL4
01/22/2026,X0021N7IF7,B0D63FKYZ5,FBA79332,NexLev Scalp Massager for Stress Relief | Head Massager for Hair Growth | 96 Tangle Free Silicone Kneading Nodes | Hand Like Massage | 120 Min Runtime | Type C | Washable Heads | 3 Modes | HM-01,SELLABLE,7,0,0,0,0,0,0,0,0,0,0,0,7,0,HYD3
01/22/2026,X0021NWGBN,B0D672NXC8,FBA79277,"Nexlev SWIPE Steam Cleaner | 3.5 Bar Strong Steam|Multipurpose Steam Cleaner for Car, Kitchen, Bathroom, Floor, Window, Glass, Upholstery| 8 Accessories Kit|Safety Lock| Large 700ML Water Tank | SC-03",CARRIER_DAMAGED,1,0,0,0,0,0,0,0,0,0,0,0,1,0,CCX1
