Date,FNSKU,ASIN,MSKU,Title,Disposition,Starting Warehouse Balance,In Transit Between Warehouses,Receipts,Customer Shipments,Customer Returns,Vendor Returns,Warehouse Transfer In/Out,Found,Lost,Damaged,Disposed,Other Events,Ending Warehouse Balance,Unknown Events,Location
03-08-2026,X002F3JZP9,B0FS6TB7CP,FBA79812,NexLev Portable Blender for Smoothies Milkshakes Crushing Ice Juices | 6 Leaf Stainless Steel Blade | 3000 mAh Battery | Type C | Mix Fruit Juicer Mini | 450ml | For Kitchen & Travel | PB-01,SELLABLE,6,0,0,0,0,0,0,0,0,0,0,0,6,0,PNQ3
03-08-2026,X002F3ID0H,B0FT8R24QM,FBA79819,"NexLev Portable Cordless Lint Remover | for Woollen, Sweaters, Jackets, Carpets | Fabric Brush | Rue & Burr Remover | Battery Powered Shaver | SS Blade | Safety Lock | LR-03",SELLABLE,72,0,0,0,0,0,0,0,0,0,0,0,72,0,BOM7
03-08-2026,X002F3ID0H,B0FT8R24QM,FBA79819,"NexLev Portable Cordless Lint Remover | for Woollen, Sweaters, Jackets, Carpets | Fabric Brush | Rue & Burr Remover | Battery Powered Shaver | SS Blade | Safety Lock | LR-03",SELLABLE,15,0,0,0,0,0,0,0,0,0,0,0,15,0,DED4
03-08-2026,X002F3ID0H,B0FT8R24QM,FBA79819,"NexLev Portable Cordless Lint Remover | for Woollen, Sweaters, Jackets, Carpets | Fabric Brush | Rue & Burr Remover | Battery Powered Shaver | SS Blade | Safety Lock | LR-03",SELLABLE,1,0,0,0,0,0,0,0,0,0,0,0,1,0,DEL4
03-08-2026,X002F3ID0H,B0FT8R24QM,FBA79819,"NexLev Portable Cordless Lint Remover | for Woollen, Sweaters, Jackets, Carpets | Fabric Brush | Rue & Burr Remover | Battery Powered Shaver | SS Blade | Safety Lock | LR-03",SELLABLE,1,0,0,0,0,0,0,0,0,0,0,0,1,0,DEL5
03-08-2026,X002F3ID0H,B0FT8R24QM,FBA79819,"NexLev Portable Cordless Lint Remover | for Woollen, Sweaters, Jackets, Carpets | Fabric Brush | Rue & Burr Remover | Battery Powered Shaver | SS Blade | Safety Lock | LR-03",SELLABLE,1,0,0,-1,0,0,0,0,0,0,0,0,0,0,HYD8
03-08-2026,X002F3JZP9,B0FS6TB7CP,FBA79812,NexLev Portable Blender for Smoothies Milkshakes Crushing Ice Juices | 6 Leaf Stainless Steel Blade | 3000 mAh Battery | Type C | Mix Fruit Juicer Mini | 450ml | For Kitchen & Travel | PB-01,SELLABLE,1,0,0,0,0,0,0,0,0,0,0,0,1,0,AMD2
03-08-2026,X002F3JZP9,B0FS6TB7CP,FBA79812,NexLev Portable Blender for Smoothies Milkshakes Crushing Ice Juices | 6 Leaf Stainless Steel Blade | 3000 mAh Battery | Type C | Mix Fruit Juicer Mini | 450ml | For Kitchen & Travel | PB-01,SELLABLE,8,0,0,0,0,0,0,0,0,0,0,0,8,0,BLR7
03-08-2026,X002F3JZP9,B0FS6TB7CP,FBA79812,NexLev Portable Blender for Smoothies Milkshakes Crushing Ice Juices | 6 Leaf Stainless Steel Blade | 3000 mAh Battery | Type C | Mix Fruit Juicer Mini | 450ml | For Kitchen & Travel | PB-01,SELLABLE,1,0,0,0,0,0,1,0,0,0,0,0,2,0,BLR8
03-08-2026,X002F3JZP9,B0FS6TB7CP,FBA79812,NexLev Portable Blender for Smoothies Milkshakes Crushing Ice Juices | 6 Leaf Stainless Steel Blade | 3000 mAh Battery | Type C | Mix Fruit Juicer Mini | 450ml | For Kitchen & Travel | PB-01,SELLABLE,7,0,0,0,0,0,0,0,0,0,0,0,7,0,BOM7
