model,asin,sku,amazon_inventory,inbound_inventory,sales_velocity,total_units_sold,ampm_inventory,required_units,replenishment_qty,warehouse_shortfall,is_risky,is_overstock,ixd_type,master_carton
SC-01,B0CDPP45BM,FBA78981,389,,59,471,1106,472,83,0,false,false,IXD,10
VC-01,B0DCGHVN81,FBA79452,130,,26,206,489,208,78,0,false,false,Non-IXD,2
LE-02,B0DCGHKRXX,FBA79440,76,,11,85,869,88,12,0,false,false,IXD,0
TM-02,B0DFMRG2K4,FBA79481,77,,1,5,160,8,0,0,false,true,IXD,0
EA-01,B0D67727VG,FBP79350,205,,19,154,722,152,0,0,false,true,IXD,0
ETC-08,B0FJ1ZB4G9,FBA79707,114,,0,0,0,0,0,0,false,true,IXD,
T-01,B0D2LGR3GG,FBA79266,0,,3,21,0,24,24,24,true,false,IXD,
KE-01,B0DFCG2VGS,FBA79488,221,,8,67,362,64,0,0,false,true,Non-IXD,
EA-02,B0DKK15YNJ,FBA79573,105,,3,27,313,24,0,0,false,true,IXD,
LR-01,B0D8445KJN,FBA79279,133,,9,72,315,72,0,0,false,true,IXD,
ET-02-GN,B0D2P7WLJB,FBA79374,123,,0,0,88,0,0,0,false,true,IXD,
MR-02,B0DCK7ZH5P,FBA79439,194,,23,183,533,184,0,0,false,true,IXD,
V-01(Rose Gold),B0DQ8W1RBV,FBK79271,120,,0,0,0,0,0,0,false,true,IXD,
SW-01,B0D9KDQCCM,FBA79349,99,,34,268,341,272,173,0,false,false,IXD,
MR-01,B0CYSLCRQS,FBA79263,316,,52,417,195,416,100,0,false,false,IXD,
FS-01,B0D9KFZYG8,FBA79404,153,,6,46,769,48,0,0,false,true,IXD,
ET-01-BK,B0D2P5TGWK,FBA79373,206,,0,0,720,0,0,0,false,true,IXD,
BR-01,B0DKJXRXKM,FBA79570,145,,25,202,212,200,55,0,false,false,IXD,
TI-02,B0DJFH6RTL,FBA79473,71,,0,2,501,0,0,0,false,true,IXD,
ET-03-BL,B0D2P6KF4N,FBA79375,0,,0,0,34,0,0,0,false,false,IXD,
ST-01,B0DVC7VJP1,FBA79679,93,,14,110,318,112,19,0,false,false,Non-IXD,
SS-02,B0DNJP9T35,FBA79589,1,,2,13,726,16,15,0,true,false,IXD,
NP-01,B0CDQ98FDM,FBA78994,2,,0,3,586,0,0,0,false,true,IXD,
CFM-01,B0DM6BB3VT,FBA79590,187,,13,106,525,104,0,0,false,true,IXD,
LR-02,B0D845B2DG,FBA79280,222,,30,239,766,240,18,0,false,false,IXD,
GS-05,B0D383WQPB,FBA79268,154,,28,223,624,224,70,0,false,false,IXD,
KM-01,B0DM66B2DW,FBA79591,0,,2,19,39,16,16,0,true,false,IXD,
TIC-03,B0DJFH4K8B,FBA79474,0,,0,0,35,0,0,0,false,false,IXD,
NP-06,B0DVCBR11D,FBA79677,47,,0,1,107,0,0,0,false,true,IXD,
HS-01,B0D2LFMY48,FBA79272,14,,0,4,364,0,0,0,false,true,IXD,
GS-02,B0CDPMX152,FBA78980,274,,39,311,356,312,38,0,false,false,IXD,
