asin,fnsku,product-name,fulfillment-center,country-code,longest-side,median-side,shortest-side,measurement-units,weight,weight-units,item-volume,volume-units,average-quantity-on-hand,average-quantity-pending-removal,estimated-total-item-volume,month-of-charge,storage-rate,currency,estimated-monthly-storage-fee,average-quantity-customer-orders
B0FQBTRM28,X002EDSM95,"Audio Array AH-60-BL, 60Ω, Professional Monitoring Headphones | 53mm Drivers | 10Hz–30KHz | 105dB SPL | Closed-Back, DJ & Studio | 3m Cable with 3.5mm & 6.3mm Plugs (Blue)",HYD8,IN,27.10,26.49,12.40,centimeter,0.52,kilograms,0.0089,cubic meter,0.84,0.0,0.0075,2026-05,2083.88,INR,15.5843,0.0
B0G4DNF8RZ,X002GM4N1Z,"Audio Array AM-C48 XLR/USB Professional Full RGB Dynamic Microphone Kit | AI Noise Cancellation | Touch & Knob Controls | Built-in Headphone Monitoring | Podcasting, Recording, Streaming, YouTube",HYD8,IN,41.40,13.59,13.10,centimeter,1.08,kilograms,0.0074,cubic meter,0.97,0.81,0.0012,2026-05,2083.88,INR,2.4548,0.0
B0G4DNF8RZ,X002GM4N1Z,"Audio Array AM-C48 XLR/USB Professional Full RGB Dynamic Microphone Kit | AI Noise Cancellation | Touch & Knob Controls | Built-in Headphone Monitoring | Podcasting, Recording, Streaming, YouTube",BOM5,IN,41.40,13.59,13.10,centimeter,1.08,kilograms,0.0074,cubic meter,9.19,6.29,0.0071,2026-05,2083.88,INR,14.7463,1.94
B0DFMNGFTD,X00247NVN3,"Audio Array AM-W36 UHF Dual Wireless Premium Metal Microphone with Charging | 2X XLR Outs & 1/4\ Mix Out | 328ft/100M Range | Karaoke Singing, Wedding, Events | PA System, Amplifier, Mixer, Party Box""",BOM5,IN,39.40,37.21,6.00,centimeter,1.52,kilograms,0.0088,cubic meter,1.61,0.97,0.0056,2026-05,2083.88,INR,11.731,0.0
B0DFMNGFTD,X00247NVN3,"Audio Array AM-W36 UHF Dual Wireless Premium Metal Microphone with Charging | 2X XLR Outs & 1/4\ Mix Out | 328ft/100M Range | Karaoke Singing, Wedding, Events | PA System, Amplifier, Mixer, Party Box""",BLR8,IN,39.40,37.21,6.00,centimeter,1.52,kilograms,0.0088,cubic meter,2.61,0.39,0.0195,2026-05,2083.88,INR,40.7044,0.0
B0GKPXQ8G3,X002I7N7GZ,"Audio Array AM-W22_v2 Latest 2026 Edition Wireless Microphone for Camera/iPhone/Android/iPad/Laptop, Lav Mic with Charging Case, AI Noise Reduction, 50H Battery, 230ft Range, for Recording, YouTube",DEL4,IN,11.70,8.00,6.90,centimeter,0.24,kilograms,0.0006,cubic meter,22.52,0.0,0.0145,2026-05,2083.88,INR,30.2185,0.06
B0GKPXQ8G3,X002I7N7GZ,"Audio Array AM-W22_v2 Latest 2026 Edition Wireless Microphone for Camera/iPhone/Android/iPad/Laptop, Lav Mic with Charging Case, AI Noise Reduction, 50H Battery, 230ft Range, for Recording, YouTube",DEL4,IN,11.70,8.00,6.90,centimeter,0.24,kilograms,0.0006,cubic meter,0.29,0.13,0.0001,2026-05,2083.88,INR,0.2124,0.0
B0C5957W3P,X001S4I8HR,"Audio Array AM-C33 Lapel Microphone | 1M Long, Strong Cable | 3.5mm TRRS | 3.5mm TRRS Port & TRRS to TRS Adapter | Omnidirectional Pickup | Mic Cover & Leather Carry Bag Included | 1 Year Warranty",BLR8,IN,12.10,9.19,3.70,centimeter,0.05,kilograms,0.0004,cubic meter,6.45,0.0,0.0026,2026-05,2083.88,INR,5.5173,0.0
B0GKPXQ8G3,X002I7N7GZ,"Audio Array AM-W22_v2 Latest 2026 Edition Wireless Microphone for Camera/iPhone/Android/iPad/Laptop, Lav Mic with Charging Case, AI Noise Reduction, 50H Battery, 230ft Range, for Recording, YouTube",AMD2,IN,11.70,8.00,6.90,centimeter,0.24,kilograms,0.0006,cubic meter,0.13,0.0,0.0001,2026-05,2083.88,INR,0.177,0.0
B0C5957W3P,X001S4I8HR,"Audio Array AM-C33 Lapel Microphone | 1M Long, Strong Cable | 3.5mm TRRS | 3.5mm TRRS Port & TRRS to TRS Adapter | Omnidirectional Pickup | Mic Cover & Leather Carry Bag Included | 1 Year Warranty",ISK3,IN,12.10,9.19,3.70,centimeter,0.05,kilograms,0.0004,cubic meter,0.65,0.0,0.0003,2026-05,2083.88,INR,0.5547,0.0
B0BLKBJ5HN,X001NY39F3,"Audio Array AM-K1 Instrument Drum Microphone Kit | Stage Performance & Professional Studio Recording Quality | 1 Kick Drum Mic, 2 Tom Mics, 2 Overhead Condenser Mics with Standard Mounting Accessories",BOM5,IN,28.80,25.81,10.00,centimeter,1.87,kilograms,0.0074,cubic meter,0.97,0.0,0.0072,2026-05,2083.88,INR,15.0237,0.0
B0BLKBJ5HN,X001NY39F3,"Audio Array AM-K1 Instrument Drum Microphone Kit | Stage Performance & Professional Studio Recording Quality | 1 Kick Drum Mic, 2 Tom Mics, 2 Overhead Condenser Mics with Standard Mounting Accessories",BLR8,IN,28.80,25.81,10.00,centimeter,1.87,kilograms,0.0074,cubic meter,0.61,0.0,0.0043,2026-05,2083.88,INR,8.9871,0.03
B0BLKBJ5HN,X001NY39F3,"Audio Array AM-K1 Instrument Drum Microphone Kit | Stage Performance & Professional Studio Recording Quality | 1 Kick Drum Mic, 2 Tom Mics, 2 Overhead Condenser Mics with Standard Mounting Accessories",HYD3,IN,28.80,25.81,10.00,centimeter,1.87,kilograms,0.0074,cubic meter,1.1,0.0,0.0080,2026-05,2083.88,INR,16.5756,0.03
B0BLKBJ5HN,X001NY39F3,"Audio Array AM-K1 Instrument Drum Microphone Kit | Stage Performance & Professional Studio Recording Quality | 1 Kick Drum Mic, 2 Tom Mics, 2 Overhead Condenser Mics with Standard Mounting Accessories",BLR7,IN,28.80,25.81,10.00,centimeter,1.87,kilograms,0.0074,cubic meter,1.87,0.0,0.0139,2026-05,2083.88,INR,28.9676,0.0
B0GW8Z556N,X002K02U59,"Audio Array Dynamic XLR to TRS Microphone | 24Bit/48kHz | Cardioid Pickup | Metal Body & 14mm Diaphragm 3M Cable | for Podcast, Streaming, Vocal Recording & Studio Use | AM-C49",HYD3,IN,21.90,9.19,5.90,centimeter,0.43,kilograms,0.0012,cubic meter,1.74,0.0,0.0021,2026-05,2083.88,INR,4.3136,0.0
B0GW8Z556N,X002K02U59,"Audio Array Dynamic XLR to TRS Microphone | 24Bit/48kHz | Cardioid Pickup | Metal Body & 14mm Diaphragm 3M Cable | for Podcast, Streaming, Vocal Recording & Studio Use | AM-C49",CCX1,IN,21.90,9.19,5.90,centimeter,0.43,kilograms,0.0012,cubic meter,0.97,0.0,0.0012,2026-05,2083.88,INR,2.4017,0.0
B0G4DNF8RZ,X002GM4N1Z,"Audio Array AM-C48 XLR/USB Professional Full RGB Dynamic Microphone Kit | AI Noise Cancellation | Touch & Knob Controls | Built-in Headphone Monitoring | Podcasting, Recording, Streaming, YouTube",BOM7,IN,41.40,13.59,13.10,centimeter,1.08,kilograms,0.0074,cubic meter,0.06,0.0,0.0004,2026-05,2083.88,INR,0.9205,0.0
