asin,fnsku,product-name,fulfillment-center,country-code,longest-side,median-side,shortest-side,measurement-units,weight,weight-units,item-volume,volume-units,average-quantity-on-hand,average-quantity-pending-removal,estimated-total-item-volume,month-of-charge,storage-rate,currency,estimated-monthly-storage-fee,average-quantity-customer-orders
B0DKJXRXKM,X0025R19UT,NexLev Blackhead & Whitehead Remover Tool | Rechargeable |1Hr Use| Acne & Pimple Pore Cleaner | 6 Heads | Electric Derma Suction Machine | Hydra Facial Cleanser Device for Face |For Men & Women |BR-01,BOM5,IN,23.90,10.90,5.60,centimeter,0.25,kilograms,0.0015,cubic meter,0.19,0.13,0.0001,2026-05,2083.88,INR,0.1829,0.0
B0DKJXRXKM,X0025R19UT,NexLev Blackhead & Whitehead Remover Tool | Rechargeable |1Hr Use| Acne & Pimple Pore Cleaner | 6 Heads | Electric Derma Suction Machine | Hydra Facial Cleanser Device for Face |For Men & Women |BR-01,DEL5,IN,23.90,10.90,5.60,centimeter,0.25,kilograms,0.0015,cubic meter,0.29,0.13,0.0002,2026-05,2083.88,INR,0.4839,0.0
B0DKJXRXKM,X0025R19UT,NexLev Blackhead & Whitehead Remover Tool | Rechargeable |1Hr Use| Acne & Pimple Pore Cleaner | 6 Heads | Electric Derma Suction Machine | Hydra Facial Cleanser Device for Face |For Men & Women |BR-01,CCX1,IN,23.90,10.90,5.60,centimeter,0.25,kilograms,0.0015,cubic meter,0.19,0.19,0.0000,2026-05,2083.88,INR,0.0,0.0
B0DKJXRXKM,X0025R19UT,NexLev Blackhead & Whitehead Remover Tool | Rechargeable |1Hr Use| Acne & Pimple Pore Cleaner | 6 Heads | Electric Derma Suction Machine | Hydra Facial Cleanser Device for Face |For Men & Women |BR-01,HYD8,IN,23.90,10.90,5.60,centimeter,0.25,kilograms,0.0015,cubic meter,0.32,0.32,0.0000,2026-05,2083.88,INR,0.0,0.0
B0DKJXRXKM,X0025R19UT,NexLev Blackhead & Whitehead Remover Tool | Rechargeable |1Hr Use| Acne & Pimple Pore Cleaner | 6 Heads | Electric Derma Suction Machine | Hydra Facial Cleanser Device for Face |For Men & Women |BR-01,BOM5,IN,23.90,10.90,5.60,centimeter,0.25,kilograms,0.0015,cubic meter,16.16,6.19,0.0136,2026-05,2083.88,INR,28.3243,0.65
B0DKJXRXKM,X0025R19UT,NexLev Blackhead & Whitehead Remover Tool | Rechargeable |1Hr Use| Acne & Pimple Pore Cleaner | 6 Heads | Electric Derma Suction Machine | Hydra Facial Cleanser Device for Face |For Men & Women |BR-01,AMD2,IN,23.90,10.90,5.60,centimeter,0.25,kilograms,0.0015,cubic meter,0.13,0.13,0.0000,2026-05,2083.88,INR,0.0,0.0
B0DKJXRXKM,X0025R19UT,NexLev Blackhead & Whitehead Remover Tool | Rechargeable |1Hr Use| Acne & Pimple Pore Cleaner | 6 Heads | Electric Derma Suction Machine | Hydra Facial Cleanser Device for Face |For Men & Women |BR-01,BLR7,IN,23.90,10.90,5.60,centimeter,0.25,kilograms,0.0015,cubic meter,0.42,0.19,0.0003,2026-05,2083.88,INR,0.6963,0.0
B0D9KFQG8Q,X00230CWVD,"Nexlev Skin Scrubber |Red & Blue LED Therapy| Blackhead Remover| Pore Cleaner| Skin Lifting & tightening, wrinkle remover| 2 Silicone Cleaning Heads| Facial Cleansing|Type C Charging| Elixir Pro LE-03",ISK3,IN,19.50,10.21,3.20,centimeter,0.19,kilograms,0.0006,cubic meter,2.0,0.0,0.0013,2026-05,2083.88,INR,2.6554,0.0
B0D9KFQG8Q,X00230CWVD,"Nexlev Skin Scrubber |Red & Blue LED Therapy| Blackhead Remover| Pore Cleaner| Skin Lifting & tightening, wrinkle remover| 2 Silicone Cleaning Heads| Facial Cleansing|Type C Charging| Elixir Pro LE-03",BOM5,IN,19.50,10.21,3.20,centimeter,0.19,kilograms,0.0006,cubic meter,14.84,0.0,0.0095,2026-05,2083.88,INR,19.7031,0.0
B0D9KFQG8Q,X00230CWVD,"Nexlev Skin Scrubber |Red & Blue LED Therapy| Blackhead Remover| Pore Cleaner| Skin Lifting & tightening, wrinkle remover| 2 Silicone Cleaning Heads| Facial Cleansing|Type C Charging| Elixir Pro LE-03",CJB1,IN,19.50,10.21,3.20,centimeter,0.19,kilograms,0.0006,cubic meter,1.23,0.0,0.0008,2026-05,2083.88,INR,1.6345,0.0
