asin,fnsku,product-name,fulfillment-center,country-code,longest-side,median-side,shortest-side,measurement-units,weight,weight-units,item-volume,volume-units,average-quantity-on-hand,average-quantity-pending-removal,estimated-total-item-volume,month-of-charge,storage-rate,currency,estimated-monthly-storage-fee,average-quantity-customer-orders
B0FJG5PFGQ,X002GZVZ81,Nexlev Rechargeable Electric Toothbrush| 120 Days Life | 35K strokes/min| Type C| 6 Modes for Daily Use| 2 Min timer with 30sec Quadpacer | 4 Brushheads| IPX7 Waterproof| For Men & Women | ETC-07 White,BOM5,IN,19.40,11.10,3.40,centimeter,0.15,kilograms,0.0007,cubic meter,17.68,0.0,0.0130,2026-05,2083.88,INR,27.0203,0.0
B0FN4FPJ83,X002DVHN07,"White Mulberry POS Machine Stand Universal Credit Card Machine Stand – 360° Swivel & +45°/-45° Tilt |Fits 2.8\-4.3\"" Devices, 6.5\"" Panel Size| Heavy-Duty Steel & Bolt-Down Mount with Cable Management""",BLR5,IN,22.90,10.90,10.70,centimeter,1.03,kilograms,0.0027,cubic meter,0.19,0.19,0.0000,2026-05,2083.88,INR,0.0,0.0
B0FJG5PFGQ,X002GZVZ81,Nexlev Rechargeable Electric Toothbrush| 120 Days Life | 35K strokes/min| Type C| 6 Modes for Daily Use| 2 Min timer with 30sec Quadpacer | 4 Brushheads| IPX7 Waterproof| For Men & Women | ETC-07 White,MAA4,IN,19.40,11.10,3.40,centimeter,0.15,kilograms,0.0007,cubic meter,25.55,0.0,0.0187,2026-05,2083.88,INR,39.0461,0.0
B0FN4FPJ83,X002DVHN07,"White Mulberry POS Machine Stand Universal Credit Card Machine Stand – 360° Swivel & +45°/-45° Tilt |Fits 2.8\-4.3\"" Devices, 6.5\"" Panel Size| Heavy-Duty Steel & Bolt-Down Mount with Cable Management""",DEL2,IN,22.90,10.90,10.70,centimeter,1.03,kilograms,0.0027,cubic meter,0.26,0.26,0.0000,2026-05,2083.88,INR,0.0,0.0
B0FJG5PFGQ,X002GZVZ81,Nexlev Rechargeable Electric Toothbrush| 120 Days Life | 35K strokes/min| Type C| 6 Modes for Daily Use| 2 Min timer with 30sec Quadpacer | 4 Brushheads| IPX7 Waterproof| For Men & Women | ETC-07 White,DEL5,IN,19.40,11.10,3.40,centimeter,0.15,kilograms,0.0007,cubic meter,0.32,0.0,0.0002,2026-05,2083.88,INR,0.4898,0.0
B0FN4FPJ83,X002DVHN07,"White Mulberry POS Machine Stand Universal Credit Card Machine Stand – 360° Swivel & +45°/-45° Tilt |Fits 2.8\-4.3\"" Devices, 6.5\"" Panel Size| Heavy-Duty Steel & Bolt-Down Mount with Cable Management""",CCX1,IN,22.90,10.90,10.70,centimeter,1.03,kilograms,0.0027,cubic meter,0.26,0.16,0.0003,2026-05,2083.88,INR,0.5547,0.0
B09LCDJMS5,X001R0Y03X,"Audio Interface-Podcast Equipment-MAONO-MaonoCaster-All in One - Portable Podcast production Studio with premium mic preamp for Podcast Recording, Streaming, Youtube, DJ, PC, Smartphone (AME2)",BOM7,IN,36.10,19.71,8.00,centimeter,0.93,kilograms,0.0057,cubic meter,1.0,0.81,0.0011,2026-05,2083.88,INR,2.2541,0.0
B0DKJXRXKM,X0028X20VH,NexLev Blackhead & Whitehead Remover Tool | Rechargeable |1Hr Use| Acne & Pimple Pore Cleaner | 6 Heads | Electric Derma Suction Machine | Hydra Facial Cleanser Device for Face |For Men & Women |BR-01,DED4,IN,23.90,10.90,5.60,centimeter,0.25,kilograms,0.0015,cubic meter,0.65,0.0,0.0009,2026-05,2083.88,INR,1.9768,0.0
B0DKJXRXKM,X0028X20VH,NexLev Blackhead & Whitehead Remover Tool | Rechargeable |1Hr Use| Acne & Pimple Pore Cleaner | 6 Heads | Electric Derma Suction Machine | Hydra Facial Cleanser Device for Face |For Men & Women |BR-01,BLR5,IN,23.90,10.90,5.60,centimeter,0.25,kilograms,0.0015,cubic meter,0.52,0.35,0.0002,2026-05,2083.88,INR,0.5193,0.0
B0FN4FPJ83,X002DVHN07,"White Mulberry POS Machine Stand Universal Credit Card Machine Stand – 360° Swivel & +45°/-45° Tilt |Fits 2.8\-4.3\"" Devices, 6.5\"" Panel Size| Heavy-Duty Steel & Bolt-Down Mount with Cable Management""",CJB1,IN,22.90,10.90,10.70,centimeter,1.03,kilograms,0.0027,cubic meter,0.35,0.0,0.0009,2026-05,2083.88,INR,1.9473,0.0
B0DKJXRXKM,X0028X20VH,NexLev Blackhead & Whitehead Remover Tool | Rechargeable |1Hr Use| Acne & Pimple Pore Cleaner | 6 Heads | Electric Derma Suction Machine | Hydra Facial Cleanser Device for Face |For Men & Women |BR-01,BOM7,IN,23.90,10.90,5.60,centimeter,0.25,kilograms,0.0015,cubic meter,0.29,0.0,0.0004,2026-05,2083.88,INR,0.8792,0.0
B0DKJXRXKM,X0028X20VH,NexLev Blackhead & Whitehead Remover Tool | Rechargeable |1Hr Use| Acne & Pimple Pore Cleaner | 6 Heads | Electric Derma Suction Machine | Hydra Facial Cleanser Device for Face |For Men & Women |BR-01,CCX1,IN,23.90,10.90,5.60,centimeter,0.25,kilograms,0.0015,cubic meter,0.19,0.0,0.0003,2026-05,2083.88,INR,0.5783,0.0
B0DKJXRXKM,X0028X20VH,NexLev Blackhead & Whitehead Remover Tool | Rechargeable |1Hr Use| Acne & Pimple Pore Cleaner | 6 Heads | Electric Derma Suction Machine | Hydra Facial Cleanser Device for Face |For Men & Women |BR-01,BOM5,IN,23.90,10.90,5.60,centimeter,0.25,kilograms,0.0015,cubic meter,1.0,0.0,0.0013,2026-05,2083.88,INR,2.7321,0.1
B0DKJXRXKM,X0028X20VH,NexLev Blackhead & Whitehead Remover Tool | Rechargeable |1Hr Use| Acne & Pimple Pore Cleaner | 6 Heads | Electric Derma Suction Machine | Hydra Facial Cleanser Device for Face |For Men & Women |BR-01,MAA4,IN,23.90,10.90,5.60,centimeter,0.25,kilograms,0.0015,cubic meter,2.0,0.0,0.0029,2026-05,2083.88,INR,5.9894,0.03
B0DKJXRXKM,X0028X20VH,NexLev Blackhead & Whitehead Remover Tool | Rechargeable |1Hr Use| Acne & Pimple Pore Cleaner | 6 Heads | Electric Derma Suction Machine | Hydra Facial Cleanser Device for Face |For Men & Women |BR-01,DEL5,IN,23.90,10.90,5.60,centimeter,0.25,kilograms,0.0015,cubic meter,0.29,0.0,0.0004,2026-05,2083.88,INR,0.8792,0.0
B0DKJXRXKM,X0028X20VH,NexLev Blackhead & Whitehead Remover Tool | Rechargeable |1Hr Use| Acne & Pimple Pore Cleaner | 6 Heads | Electric Derma Suction Machine | Hydra Facial Cleanser Device for Face |For Men & Women |BR-01,BLR8,IN,23.90,10.90,5.60,centimeter,0.25,kilograms,0.0015,cubic meter,0.13,0.0,0.0002,2026-05,2083.88,INR,0.3954,0.0
B0DKJXRXKM,X0028X20VH,NexLev Blackhead & Whitehead Remover Tool | Rechargeable |1Hr Use| Acne & Pimple Pore Cleaner | 6 Heads | Electric Derma Suction Machine | Hydra Facial Cleanser Device for Face |For Men & Women |BR-01,BLR7,IN,23.90,10.90,5.60,centimeter,0.25,kilograms,0.0015,cubic meter,4.74,0.0,0.0069,2026-05,2083.88,INR,14.3156,0.03
