snapshot-date,sku,fnsku,asin,product-name,condition,available,fc-transfer,pending-removal-quantity,inv-age-0-to-90-days,inv-age-91-to-180-days,inv-age-181-to-270-days,inv-age-271-to-365-days,inv-age-365-plus-days,currency,qty-to-be-charged-ltsf-5-mo,projected-ltsf-5-mo,qty-to-be-charged-ltsf-12-mo,estimated-ltsf-next-charge,units-shipped-t7,units-shipped-t30,units-shipped-t60,units-shipped-t90,alert,your-price,sales-price,lowest-price-new-plus-shipping,lowest-price-used,recommended-action,healthy-inventory-level,recommended-sales-price,recommended-sale-duration-days,recommended-removal-quantity,estimated-cost-savings-of-recommended-actions,sell-through,item-volume,volume-unit-measurement,storage-type,storage-volume,marketplace,product-group,sales-rank,days-of-supply,estimated-excess-quantity,weeks-of-cover-t30,weeks-of-cover-t90,featuredoffer-price,sales-shipped-last-7-days,sales-shipped-last-30-days,sales-shipped-last-60-days,sales-shipped-last-90-days,inv-age-0-to-30-days,inv-age-31-to-60-days,inv-age-61-to-90-days,inv-age-91-to-150-days,inv-age-151-to-180-days,inv-age-181-to-330-days,inv-age-331-to-365-days,estimated-storage-cost-next-month,inbound-quantity,inbound-working,inbound-shipped,inbound-received,Total Reserved Quantity,unfulfillable-quantity,Inventory age snapshot date,Inventory Supply at FBA,Reserved FC Processing,Reserved Customer Order,Total Days of Supply (including units from open shipments)
2026-07-16,FBA76417,X001MZZQ8V,B0BFVMDJ2K,,New,92,0,0,17,78,0,0,0,INR,0,0.0,0,0.0,12,45,67,109,,8299.0,0.0,0.0,0.0,GoToStranded,,,0,0,,0.7,0.07728,cubic meter,,7.109759,IN,,26841,,0,8,10,8299.0,77452.54,302939.34,458443.11,756520.21,2,2,13,78,0,0,0,,0,0,0,0,2,7,2026-07-14,92,2,0,
2026-07-16,FBA79164,X001Y64ZPD,B0CPFN27Z2,,,0,0,1,0,3,1,0,0,INR,1,2348.38,0,0.0,0,0,0,0,,0.0,0.0,0.0,0.0,NoRestockExcessActionRequired,,,0,0,,0.0,0.12852,cubic meter,,0.0,IN,,413485,,0,,,22999.0,0.0,0.0,0.0,0.0,0,0,0,3,0,1,0,,0,0,0,0,3,1,2026-07-14,0,0,3,
2026-07-16,FBA79662,X00270AW07,B0DQ4YWSMC,,,0,0,0,1,0,0,0,0,INR,0,0.0,0,0.0,2,12,29,35,,0.0,0.0,0.0,0.0,CreateShippingPlan,,,0,0,,2.06,0.01296,cubic meter,,0.0,IN,,205914,,0,3,3,13999.0,23727.12,150600.03,366716.21,440421.31,1,0,0,0,0,0,0,,10,0,10,0,0,4,2026-07-14,10,0,0,
2026-07-16,FBA76416,X001N02VPV,B0BFW59TRG,,New,15,0,0,13,0,0,0,0,INR,0,0.0,0,0.0,2,9,27,31,,8297.0,0.0,8297.0,0.0,CreateShippingPlan,,,0,0,,1.97,0.07728,cubic meter,,1.1592,IN,,26841,,0,9,8,8297.0,13755.09,62088.13,189628.81,218866.96,13,0,0,0,0,0,0,,6,0,0,6,1,1,2026-07-14,21,0,1,
2026-07-16,FBA76382,X001MUB3RT,B0BF4T7SWK,,,1,0,0,1,0,0,0,0,INR,0,0.0,0,0.0,0,0,0,0,,0.0,0.0,0.0,0.0,GoToStranded,,,0,0,,0.0,0.115713,cubic meter,,0.115713,IN,,320173,,0,,,12999.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,,0,0,0,0,0,1,2026-07-14,1,0,0,
2026-07-16,FBA79617,X0026L3PVZ,B0DP32F346,,New,1,0,0,1,0,0,0,0,INR,0,0.0,0,0.0,,,,,Low conversion,3460.0,0.0,3099.0,0.0,Lower price,,,0,0,,0.0,0.00905,cubic meter,,0.00905,IN,,1547,,0,,,3099.0,,,,,1,0,0,0,0,0,0,,0,0,0,0,0,0,2026-07-14,1,0,0,
2026-07-16,FBA76415,X001MZYX7L,B0BFWD6SNF,,New,17,0,0,9,0,0,0,0,INR,0,0.0,0,0.0,20,46,73,107,,8297.0,0.0,8297.0,0.0,CreateShippingPlan,,,0,0,,1.86,0.07728,cubic meter,,1.31376,IN,,26841,,0,5,8,8297.0,138016.13,323801.7,518029.69,760105.97,9,0,0,0,0,0,0,,51,8,43,0,4,18,2026-07-14,68,3,1,
2026-07-16,FBA79178,X001Y62O1P,B0CPT2NY5M,,,9,0,0,11,5,0,0,0,INR,5,11741.91,0,0.0,0,0,0,0,,0.0,0.0,0.0,0.0,GoToStranded,,,0,0,,0.0,0.12852,cubic meter,,1.15668,IN,,205914,,0,,,15299.0,0.0,0.0,0.0,0.0,11,0,0,0,5,0,0,,5,0,4,1,9,0,2026-07-14,14,9,0,
2026-07-16,FBA79167,X001Y5UYX1,B0CPFS24ML,,New,88,0,0,97,0,0,0,0,INR,0,0.0,0,0.0,23,157,334,385,,8599.0,0.0,8599.0,0.0,CreateShippingPlan,88,0.0,0,0,0.0,5.56,0.066912,cubic meter,,5.888291,IN,,35172,,0,4,6,8599.0,167775.4,1144955.67,2397974.52,2753372.36,97,0,0,0,0,0,0,7583.13,100,0,100,0,7,12,2026-07-14,188,5,2,
2026-07-16,FBA79179,X001Y62M1H,B0CPT3Q25C,,New,14,0,0,14,0,0,0,0,INR,0,0.0,0,0.0,1,12,36,56,,16999.0,0.0,15001.0,0.0,CreateShippingPlan,,,0,0,,3.2,0.12852,cubic meter,,1.79928,IN,,205914,,0,6,4,15001.0,11863.56,150854.25,446925.34,683101.67,9,5,0,0,0,0,0,,5,0,5,0,0,3,2026-07-14,19,0,0,
