snapshot-date,sku,fnsku,asin,product-name,condition,available,fc-transfer,pending-removal-quantity,inv-age-0-to-90-days,inv-age-91-to-180-days,inv-age-181-to-270-days,inv-age-271-to-365-days,inv-age-365-plus-days,currency,qty-to-be-charged-ltsf-5-mo,projected-ltsf-5-mo,qty-to-be-charged-ltsf-12-mo,estimated-ltsf-next-charge,units-shipped-t7,units-shipped-t30,units-shipped-t60,units-shipped-t90,alert,your-price,sales-price,lowest-price-new-plus-shipping,lowest-price-used,recommended-action,healthy-inventory-level,recommended-sales-price,recommended-sale-duration-days,recommended-removal-quantity,estimated-cost-savings-of-recommended-actions,sell-through,item-volume,volume-unit-measurement,storage-type,storage-volume,marketplace,product-group,sales-rank,days-of-supply,estimated-excess-quantity,weeks-of-cover-t30,weeks-of-cover-t90,featuredoffer-price,sales-shipped-last-7-days,sales-shipped-last-30-days,sales-shipped-last-60-days,sales-shipped-last-90-days,inv-age-0-to-30-days,inv-age-31-to-60-days,inv-age-61-to-90-days,inv-age-91-to-150-days,inv-age-151-to-180-days,inv-age-181-to-330-days,inv-age-331-to-365-days,estimated-storage-cost-next-month,inbound-quantity,inbound-working,inbound-shipped,inbound-received,Total Reserved Quantity,unfulfillable-quantity,Inventory age snapshot date,Inventory Supply at FBA,Reserved FC Processing,Reserved Customer Order,Total Days of Supply (including units from open shipments)
2026-07-16,FBA76720,X001NYWM3D,B0BLKCWZQD,,New,2,0,0,3,0,0,0,0,INR,0,0.0,0,0.0,0,1,2,2,Low traffic,499.0,0.0,499.0,0.0,NoRestockExcessActionRequired,0,0.0,0,0,727.88,0.57,4.04E-4,cubic meter,,8.08E-4,IN,,6735,,0,8,13,499.0,0.0,422.88,863.56,863.56,1,0,2,0,0,0,0,1.3,0,0,0,0,1,0,2026-07-14,2,0,1,
2026-07-16,FBA76730,X001NYWF2B,B0BLKB6FRR,,New,2,0,0,2,0,0,0,0,INR,0,0.0,0,0.0,0,0,3,3,Low traffic,1299.0,0.0,1299.0,0.0,NoRestockExcessActionRequired,0,0.0,0,0,6097.71,1.33,0.002525,cubic meter,,0.005049,IN,,12061,,0,,8,1299.0,0.0,0.0,3302.55,3302.55,0,0,2,0,0,0,0,8.16,0,0,0,0,0,0,2026-07-14,2,0,0,
2026-07-16,FBA80075,X002KGMJ5J,B0GXPGBQB1,,New,2,0,0,2,0,0,0,0,INR,0,0.0,0,0.0,,,,,Low traffic,8449.0,0.0,8449.0,0.0,Advertise listing,,,0,0,,0.0,0.034547,cubic meter,,0.069093,IN,,,,0,,,8449.0,,,,,2,0,0,0,0,0,0,,0,0,0,0,0,0,2026-07-14,2,0,0,
2026-07-16,FBA79106,X001WDN2PH,B0CM9KJZWQ,,New,19,0,0,2,17,0,0,0,INR,0,0.0,0,0.0,0,0,1,2,Low conversion,4699.0,0.0,4679.0,0.0,Lower price,19,0.0,0,0,91.1,0.08,0.003341,cubic meter,,0.063483,IN,,2174,,0,,123,4699.0,0.0,0.0,3982.2,7981.35,0,1,1,17,0,0,0,1266.3,0,0,0,0,0,0,2026-07-14,19,0,0,
2026-07-16,FBA75674,X001L4QVU5,B0B4G19R58,,New,10,0,0,10,0,0,0,0,INR,0,0.0,0,0.0,2,4,14,14,,3799.0,0.0,3799.0,0.0,NoRestockExcessActionRequired,10,0.0,0,0,0.0,0.28,0.012497,cubic meter,,0.124967,IN,,336,,0,25,23,3799.0,6461.3,12803.7,44573.3,44573.3,10,0,0,0,0,0,0,94.05,15,0,15,0,0,0,2026-07-14,25,0,0,
2026-07-16,FBA79995,X002K01G09,B0GW8VBCBL,,New,57,0,0,57,0,0,0,0,INR,0,0.0,0,0.0,0,1,3,3,,899.0,0.0,899.0,0.0,Edit listing,0,0.0,0,0,53738.41,0.06,0.001198,cubic meter,,0.068276,IN,,1000,,0,228,247,899.0,0.0,740.68,2264.4,2264.4,0,30,27,0,0,0,0,108.26,0,0,0,0,0,0,2026-07-14,57,0,0,
2026-07-16,FBA75691,X001L4SEBT,B0B4G5JG4P,,New,56,0,0,1,57,0,0,0,INR,0,0.0,0,0.0,1,14,25,29,,6299.0,0.0,6299.0,0.0,NoRestockExcessActionRequired,13,5765.47,16,0,32297.36,0.31,0.007017,cubic meter,,0.392963,IN,,1822,,43,16,25,6299.0,5338.14,74189.86,131977.09,152312.69,0,0,1,57,0,0,0,3271.72,0,0,0,0,0,0,2026-07-14,56,0,0,
2026-07-16,FBA80005,X002K06XBV,B0GW96CQMG,,New,5,0,0,5,0,0,0,0,INR,0,0.0,0,0.0,,,,,Low traffic,10999.0,0.0,10999.0,0.0,Advertise listing,0,0.0,0,0,50822.48,0.0,0.013587,cubic meter,,0.067934,IN,,,,0,,,10999.0,,,,,0,3,2,0,0,0,0,109.64,0,0,0,0,0,0,2026-07-14,5,0,0,
2026-07-16,FBA79447,X00248123X,B0DFMLXD9S,,New,13,0,0,0,13,0,0,0,INR,2,275.19,0,0.0,0,1,6,6,,3999.0,0.0,3999.0,0.0,NoRestockExcessActionRequired,13,0.0,0,0,66.11,0.34,0.005976,cubic meter,,0.07769,IN,,2442,,0,52,28,3999.0,0.0,3379.66,20324.56,20324.56,0,0,0,13,0,0,0,1276.1,0,0,0,0,0,0,2026-07-14,13,0,0,
2026-07-16,FBA79830,X002CZVYE5,B0FJ8TSQK1,,New,15,0,0,16,0,0,0,0,INR,0,0.0,0,0.0,0,2,8,13,,3149.0,0.0,3149.0,0.0,NoRestockExcessActionRequired,15,0.0,0,0,0.82,1.53,0.018626,cubic meter,,0.279389,IN,,71,,0,36,18,3149.0,0.0,5344.92,21017.8,34276.26,16,0,0,0,0,0,0,1803.32,3,3,0,0,1,0,2026-07-14,18,0,1,
