snapshot-date,sku,fnsku,asin,product-name,condition,available,fc-transfer,pending-removal-quantity,inv-age-0-to-90-days,inv-age-91-to-180-days,inv-age-181-to-270-days,inv-age-271-to-365-days,inv-age-365-plus-days,currency,qty-to-be-charged-ltsf-5-mo,projected-ltsf-5-mo,qty-to-be-charged-ltsf-12-mo,estimated-ltsf-next-charge,units-shipped-t7,units-shipped-t30,units-shipped-t60,units-shipped-t90,alert,your-price,sales-price,lowest-price-new-plus-shipping,lowest-price-used,recommended-action,healthy-inventory-level,recommended-sales-price,recommended-sale-duration-days,recommended-removal-quantity,estimated-cost-savings-of-recommended-actions,sell-through,item-volume,volume-unit-measurement,storage-type,storage-volume,marketplace,product-group,sales-rank,days-of-supply,estimated-excess-quantity,weeks-of-cover-t30,weeks-of-cover-t90,featuredoffer-price,sales-shipped-last-7-days,sales-shipped-last-30-days,sales-shipped-last-60-days,sales-shipped-last-90-days,inv-age-0-to-30-days,inv-age-31-to-60-days,inv-age-61-to-90-days,inv-age-91-to-150-days,inv-age-151-to-180-days,inv-age-181-to-330-days,inv-age-331-to-365-days,estimated-storage-cost-next-month,inbound-quantity,inbound-working,inbound-shipped,inbound-received,Total Reserved Quantity,unfulfillable-quantity,Inventory age snapshot date,Inventory Supply at FBA,Reserved FC Processing,Reserved Customer Order,Total Days of Supply (including units from open shipments)
2026-07-16,FBA79606,X0029PJ3YV,B0F2N37819,,New,21,0,0,20,1,0,0,0,INR,1,42.59,0,0.0,0,2,4,5,Low traffic,375.0,0.0,375.0,0.0,Advertise listing,0,0.0,0,0,30904.45,0.36,0.00185,cubic meter,,0.038844,IN,,423534,,21,42,54,375.0,0.0,635.6,1271.2,1589.0,0,20,0,1,0,0,0,241.64,0,0,0,0,0,0,2026-07-14,21,0,0,
2026-07-16,FBA79991,X002IK70C9,B0GN85NZQN,,New,188,2,0,210,0,0,0,0,INR,0,0.0,0,0.0,91,92,115,187,,5499.0,0.0,5499.0,0.0,NoRestockExcessActionRequired,52,0.0,0,0,328150.66,3.09,0.008536,cubic meter,,1.604827,IN,,20711,,0,8,13,5499.0,427231.34,431535.58,546685.62,860806.01,210,0,0,0,0,0,0,2443.98,0,0,0,0,16,0,2026-07-14,190,6,10,
2026-07-16,FBA79279,X0022J52E9,B0D8445KJN,,New,104,0,0,38,67,0,0,0,INR,1,23.6,0,0.0,1,10,24,57,Low traffic,1059.0,0.0,899.0,0.0,NoRestockExcessActionRequired,40,807.92,28,0,1610.17,0.52,9.02E-4,cubic meter,,0.093847,IN,,,,64,41,23,899.0,761.86,7618.6,18027.89,41407.87,0,38,0,67,0,0,0,768.31,0,0,0,0,1,0,2026-07-14,104,1,0,
2026-07-16,FBA79573,X0025R5BTT,B0DKK15YNJ,,New,19,1,0,27,0,0,0,0,INR,0,0.0,0,0.0,12,44,105,197,Low traffic,2628.0,0.0,2496.0,0.0,CreateShippingPlan,20,0.0,0,0,0.0,3.75,0.001804,cubic meter,,0.034277,IN,,17510,,0,1,1,2496.0,28624.75,104646.64,243593.23,427836.61,10,17,0,0,0,0,0,24.38,0,0,0,0,3,0,2026-07-14,20,1,2,
2026-07-16,FBA79406,X0023L3KG3,B0DCK3N2JJ,,New,31,4,0,38,0,0,0,0,INR,0,0.0,0,0.0,14,40,71,147,Low traffic,2639.0,0.0,2639.0,0.0,CreateShippingPlan,35,0.0,0,0,0.0,1.81,8.68E-4,cubic meter,,0.026908,IN,,22098,,0,3,3,2639.0,31310.16,90627.05,161128.71,331706.98,14,24,0,0,0,0,0,13.43,5,5,0,0,2,1,2026-07-14,40,1,1,
2026-07-16,FBA79439,X0023KW3JJ,B0DCK7ZH5P,,New,138,0,0,148,0,0,0,0,INR,0,0.0,0,0.0,58,207,283,398,,3550.0,0.0,3369.0,0.0,CreateShippingPlan,138,0.0,0,0,0.0,1.83,0.014393,cubic meter,,1.986234,IN,,5597,,0,4,6,3369.0,164909.12,589477.63,807070.69,1134457.55,118,30,0,0,0,0,0,2070.15,72,32,40,0,8,4,2026-07-14,210,6,2,
2026-07-16,FBA79811,X002EUQV41,B0FSF1N457,,New,81,0,0,86,0,0,0,0,INR,0,0.0,0,0.0,9,63,78,113,,614.0,0.0,559.0,0.0,NoRestockExcessActionRequired,81,0.0,0,0,0.0,1.18,0.001176,cubic meter,,0.095265,IN,,73792,,0,7,13,559.0,4394.92,31764.15,39109.04,55606.38,61,3,22,0,0,0,0,132.91,40,0,40,0,1,0,2026-07-14,121,0,1,
2026-07-16,FBA79463,X0023Z3NVB,B0DCK56Q85,,New,31,0,0,35,0,0,0,0,INR,0,0.0,0,0.0,3,13,19,36,,2596.0,0.0,2499.0,0.0,NoRestockExcessActionRequired,31,0.0,0,0,0.0,1.11,0.006369,cubic meter,,0.197453,IN,,146956,,0,16,18,2499.0,6353.4,27404.26,40111.06,75713.66,22,10,3,0,0,0,0,272.1,21,21,0,0,1,0,2026-07-14,52,0,1,
2026-07-16,FBA79265,X0020FWBW1,B0D2LHNS9B,,New,123,0,0,126,0,0,0,0,INR,0,0.0,0,0.0,4,14,51,142,Low traffic,794.0,0.0,794.0,0.0,NoRestockExcessActionRequired,123,0.0,0,0,0.0,1.07,0.001193,cubic meter,,0.146678,IN,,44696,,0,38,12,794.0,2691.52,9788.99,35772.87,90641.35,14,112,0,0,0,0,0,183.9,10,10,0,0,90,1,2026-07-14,133,90,0,
2026-07-16,FBA79809,X002CZX55L,B0FJ8SFNRH,,New,68,0,0,37,31,0,0,0,INR,0,0.0,0,0.0,0,0,1,1,Low traffic,635.0,0.0,635.0,0.0,Advertise listing,0,0.0,0,0,774619.1,0.02,0.012667,cubic meter,,0.861323,IN,,697227,,68,,884,635.0,0.0,0.0,502.55,502.55,1,0,36,31,0,0,0,1391.32,0,0,0,0,0,0,2026-07-14,68,0,0,
2026-07-16,FBA79493,X00272C0EV,B0DQCWRG3H,,New,214,34,0,155,66,0,0,0,INR,0,0.0,0,0.0,36,140,229,332,,2129.0,0.0,2049.0,0.0,NoRestockExcessActionRequired,248,0.0,0,0,0.0,0.96,0.003536,cubic meter,,0.75667,IN,,12174,,0,10,14,2049.0,61977.97,241482.62,395746.16,573591.14,51,16,88,66,0,0,0,1142.49,156,156,0,0,2,4,2026-07-14,404,1,1,
2026-07-16,FBA79474,X0025ABP69,B0DJFH4K8B,,New,1,0,0,1,0,0,0,0,INR,0,0.0,0,0.0,0,2,4,6,Low traffic,2013.0,0.0,1949.0,0.0,CreateShippingPlan,0,1852.0,18,0,2273.04,1.33,0.001369,cubic meter,,0.001369,IN,,54191,,0,2,2,1949.0,0.0,3286.86,6590.25,9729.24,1,0,0,0,0,0,0,2.2,0,0,0,0,0,0,2026-07-14,1,0,0,
2026-07-16,FBA79276,X0020G47PT,B0D2LJSQXZ,,New,134,0,0,135,0,0,0,0,INR,0,0.0,0,0.0,3,24,56,85,,3974.0,0.0,3769.0,0.0,NoRestockExcessActionRequired,22,3249.0,20,0,92034.61,0.7,0.021585,cubic meter,,2.892431,IN,,17552,,0,24,22,3769.0,9582.18,77064.45,179868.8,270192.73,28,29,78,0,0,0,0,4421.73,10,0,10,0,1,1,2026-07-14,144,0,1,
2026-07-16,FBA79469,X0023L3EMX,B0DCK4DR1B,,,26,1,0,3,26,0,0,0,INR,0,0.0,0,0.0,1,8,16,21,,0.0,0.0,0.0,0.0,GoToStranded,,,0,0,,0.48,0.001211,cubic meter,,0.031496,IN,,66870,,0,13,16,999.0,897.46,11908.46,24659.31,31744.41,3,0,0,26,0,0,0,,0,0,0,0,2,0,2026-07-14,27,1,1,
2026-07-16,FBA79373,X0020H9N9D,B0D2P5TGWK,,New,119,0,0,131,0,0,0,0,INR,0,0.0,0,0.0,10,25,46,81,Low traffic,317.0,0.0,299.0,0.0,NoRestockExcessActionRequired,119,0.0,0,0,0.0,0.81,7.0E-4,cubic meter,,0.083282,IN,,18490,,0,23,23,299.0,2564.35,6380.4,11631.41,19997.56,92,39,0,0,0,0,0,123.19,30,0,30,0,5,0,2026-07-14,149,2,3,
2026-07-16,FBA78980,X001U1DYK9,B0CDPMX152,,New,322,0,0,337,0,0,0,0,INR,0,0.0,0,0.0,17,24,42,154,,2278.0,0.0,2199.0,0.0,NoRestockExcessActionRequired,322,0.0,0,0,0.0,0.77,0.009222,cubic meter,,2.969604,IN,,52423,,0,68,34,2199.0,31390.7,44544.09,79218.7,283787.39,337,0,0,0,0,0,0,3980.17,90,48,32,10,8,0,2026-07-14,412,5,3,
2026-07-16,FBK80015,X002IVBZ1F,B0GKNGWLJ2,,New,17,0,0,11,8,0,0,0,INR,0,0.0,0,0.0,3,13,31,55,,4080.0,0.0,3899.0,0.0,CreateShippingPlan,1,3679.0,10,0,7373.72,1.18,0.010878,cubic meter,,0.184921,IN,,13575,,16,5,4,3899.0,10066.1,42943.24,102405.99,177418.0,3,4,4,8,0,0,0,244.01,0,0,0,0,1,2,2026-07-14,17,1,0,
2026-07-16,FBA79843,X002DO3BLT,B0FMF1D9NV,,New,21,1,0,24,0,0,0,0,INR,0,0.0,0,0.0,1,8,8,11,,275.0,0.0,275.0,0.0,NoRestockExcessActionRequired,0,0.0,0,0,37185.88,0.65,0.002354,cubic meter,,0.049434,IN,,2858,,0,10,24,275.0,233.05,1862.08,1862.08,2561.23,1,23,0,0,0,0,0,447.45,0,0,0,0,0,0,2026-07-14,22,0,0,
2026-07-16,FBA79988,X002IKH00L,B0GN8N96R5,,New,18,0,0,18,0,0,0,0,INR,0,0.0,0,0.0,0,1,2,2,Low traffic,6465.0,0.0,6199.0,0.0,Lower price,0,0.0,0,0,232022.51,0.11,0.014748,cubic meter,,0.265469,IN,,112529,,0,72,117,6199.0,0.0,5253.38,10506.77,10506.77,0,0,18,0,0,0,0,428.72,0,0,0,0,0,0,2026-07-14,18,0,0,
2026-07-16,FBA79483,X0025NX1BX,B0DK9NRBWJ,,New,43,0,0,1,44,1,0,0,INR,3,80.06,0,0.0,0,0,0,0,Low traffic,1907.0,0.0,1599.0,0.0,Lower price,0,0.0,0,0,67159.54,0.0,0.001159,cubic meter,,0.049846,IN,,79831,,43,,,1599.0,0.0,0.0,0.0,0.0,0,0,1,44,0,1,0,977.34,0,0,0,0,3,0,2026-07-14,43,3,0,
2026-07-16,FBK80024,X002IPBERB,B0GLHC8CB3,,New,104,0,0,106,0,0,0,0,INR,0,0.0,0,0.0,7,30,65,96,,1780.0,0.0,1699.0,0.0,NoRestockExcessActionRequired,0,0.0,0,0,198733.78,1.31,0.005986,cubic meter,,0.622498,IN,,13575,,0,13,14,1699.0,10130.51,43181.45,92835.89,127636.81,21,85,0,0,0,0,0,962.79,0,0,0,0,2,1,2026-07-14,104,2,0,
2026-07-16,FBA79992,X002IKI32Z,B0GN94YDY2,,New,28,0,0,31,0,0,0,0,INR,0,0.0,0,0.0,7,19,25,25,,11447.0,0.0,10999.0,0.0,NoRestockExcessActionRequired,0,10299.0,9,0,898023.07,0.83,0.044054,cubic meter,,1.233506,IN,,16677,,0,5,14,10999.0,65155.09,177772.07,238783.91,238783.91,1,30,0,0,0,0,0,1992.16,0,0,0,0,0,0,2026-07-14,28,0,0,
2026-07-16,FBA79984,X002IDYT6V,B0GM1CZC7Y,,New,30,0,0,36,0,0,0,0,INR,0,0.0,0,0.0,13,45,45,45,,5499.0,0.0,5499.0,0.0,NoRestockExcessActionRequired,,,0,0,,1.17,0.02469,cubic meter,,0.740696,IN,,5597,,0,4,15,5499.0,59480.46,209283.7,209283.7,209283.7,36,0,0,0,0,0,0,,24,24,0,0,2,0,2026-07-14,54,1,1,
2026-07-16,FBA79278,X0022K5OBJ,B0D86ZC9YT,,New,71,0,0,55,17,0,0,0,INR,0,0.0,0,0.0,0,0,1,2,Low traffic,1473.0,0.0,1473.0,0.0,Advertise listing,0,1056.25,52,0,149110.23,0.04,0.002731,cubic meter,,0.193902,IN,,97286,,71,,461,1473.0,0.0,0.0,1270.34,2473.72,0,55,0,17,0,0,0,1158.49,0,0,0,0,1,0,2026-07-14,71,1,0,
2026-07-16,FBA79652,X002A07CLV,B0F43P6D23,,New,347,31,0,418,0,0,0,0,INR,0,0.0,0,0.0,224,386,700,1070,,3499.0,0.0,3499.0,0.0,CreateShippingPlan,389,0.0,0,0,0.0,3.77,0.01122,cubic meter,,3.893482,IN,,2858,,0,4,5,3499.0,648930.85,1153963.21,2026066.19,2941626.44,418,0,0,0,0,0,0,4737.1,101,101,0,0,38,15,2026-07-14,479,12,14,
