snapshot-date,sku,fnsku,asin,product-name,condition,available,fc-transfer,pending-removal-quantity,inv-age-0-to-90-days,inv-age-91-to-180-days,inv-age-181-to-270-days,inv-age-271-to-365-days,inv-age-365-plus-days,currency,qty-to-be-charged-ltsf-5-mo,projected-ltsf-5-mo,qty-to-be-charged-ltsf-12-mo,estimated-ltsf-next-charge,units-shipped-t7,units-shipped-t30,units-shipped-t60,units-shipped-t90,alert,your-price,sales-price,lowest-price-new-plus-shipping,lowest-price-used,recommended-action,healthy-inventory-level,recommended-sales-price,recommended-sale-duration-days,recommended-removal-quantity,estimated-cost-savings-of-recommended-actions,sell-through,item-volume,volume-unit-measurement,storage-type,storage-volume,marketplace,product-group,sales-rank,days-of-supply,estimated-excess-quantity,weeks-of-cover-t30,weeks-of-cover-t90,featuredoffer-price,sales-shipped-last-7-days,sales-shipped-last-30-days,sales-shipped-last-60-days,sales-shipped-last-90-days,inv-age-0-to-30-days,inv-age-31-to-60-days,inv-age-61-to-90-days,inv-age-91-to-150-days,inv-age-151-to-180-days,inv-age-181-to-330-days,inv-age-331-to-365-days,estimated-storage-cost-next-month,inbound-quantity,inbound-working,inbound-shipped,inbound-received,Total Reserved Quantity,unfulfillable-quantity,Inventory age snapshot date,Inventory Supply at FBA,Reserved FC Processing,Reserved Customer Order,Total Days of Supply (including units from open shipments)
2026-07-16,FBA75694,X001SVNO01,B089C2L66M,,,0,0,0,1,0,0,0,0,INR,0,0.0,0,0.0,9,42,85,106,,0.0,0.0,0.0,0.0,CreateShippingPlan,,,0,0,,1.93,0.010886,cubic meter,,0.0,IN,,550,,0,0,0,13199.0,100670.32,470049.1,955915.22,1195991.42,1,0,0,0,0,0,0,,0,0,0,0,1,1,2026-07-14,0,1,0,
2026-07-16,FBA79405,X0028X4EQL,B0D9KFP4MG,,New,11,0,0,0,11,0,0,0,INR,0,0.0,0,0.0,0,2,2,2,,2027.0,0.0,1949.0,0.0,NoRestockExcessActionRequired,0,1927.0,52,0,33224.76,0.12,0.002006,cubic meter,,0.022061,IN,,47044,,11,22,71,1949.0,0.0,3330.51,3330.51,3330.51,0,0,0,11,0,0,0,423.6,0,0,0,0,0,0,2026-07-14,11,0,0,
2026-07-16,FBA79268,X0028X4EMZ,B0D383WQPB,,New,25,0,0,6,1,20,0,0,INR,0,0.0,0,0.0,0,0,3,21,Low conversion,1949.0,0.0,1949.0,0.0,NoRestockExcessActionRequired,25,0.0,0,0,0.0,0.39,0.003747,cubic meter,,0.093673,IN,,52423,,0,,15,1949.0,0.0,0.0,4637.28,32883.84,0,4,2,1,0,20,0,1084.63,0,0,0,0,1,0,2026-07-14,25,1,0,
2026-07-16,FBA80175,X002M45UVJ,B01ERLMEQU,,New,10,0,0,10,0,0,0,0,INR,0,0.0,0,0.0,,,,,Low traffic,7399.0,0.0,7399.0,0.0,Lower price,,,0,0,,0.0,0.001293,cubic meter,,0.012928,IN,,,,0,,,6999.0,,,,,10,0,0,0,0,0,0,,0,0,0,0,0,0,2026-07-14,10,0,0,
2026-07-16,FBA79472,X0028X20ML,B0DFCDZWND,,New,1,0,0,0,1,0,0,0,INR,0,0.0,0,0.0,0,1,1,2,Low traffic,1455.0,0.0,1367.0,0.0,CreateShippingPlan,1,0.0,0,0,4.02,0.42,0.001631,cubic meter,,0.001631,IN,,40408,,0,4,6,1367.0,0.0,1289.52,1289.52,2812.38,0,0,0,1,0,0,0,21.79,0,0,0,0,0,1,2026-07-14,1,0,0,
2026-07-16,FBA79271,X0028X1G7L,B0D83Q7L8W,,New,1,0,0,0,1,0,0,0,INR,0,0.0,0,0.0,0,0,1,2,Low conversion,1455.0,0.0,1367.0,0.0,CreateShippingPlan,1,0.0,0,0,0.0,0.42,0.004193,cubic meter,,0.004193,IN,,12174,,0,,6,1367.0,0.0,0.0,1146.61,2355.93,0,0,0,1,0,0,0,2.22,0,0,0,0,0,0,2026-07-14,1,0,0,
2026-07-16,FBA79481,X0028X1YNH,B0DFMRG2K4,,New,1,0,0,0,0,0,0,1,INR,0,0.0,0,0.0,,,,,Low traffic,1663.0,0.0,1589.0,0.0,Create removal order,0,0.0,0,0,1880.41,0.0,0.001598,cubic meter,,0.001598,IN,,172912,,1,,,1589.0,,,,,0,0,0,0,0,0,0,64.39,0,0,0,0,0,0,2026-07-14,1,0,0,
2026-07-16,FBA79445,X0028Y6RND,B0DFMLS8JG,,New,33,0,0,31,0,0,0,0,INR,0,0.0,0,0.0,1,1,1,1,,3999.0,0.0,3999.0,0.0,Edit listing,33,0.0,0,0,0.0,0.06,0.003612,cubic meter,,0.11919,IN,,2442,,0,132,429,3999.0,3388.98,3388.98,3388.98,3388.98,0,31,0,0,0,0,0,2239.0,0,0,0,0,0,0,2026-07-14,33,0,0,
2026-07-16,FBA77101,X001OTC2K5,B07WLWN2ZT,,New,6,0,0,1,4,0,0,0,INR,0,0.0,0,0.0,0,0,1,3,Low conversion,1999.0,0.0,1999.0,0.0,NoRestockExcessActionRequired,6,0.0,0,0,0.0,0.5,0.002187,cubic meter,,0.013124,IN,,379,,0,,26,1999.0,0.0,0.0,1711.02,5099.15,0,0,1,4,0,0,0,5.33,0,0,0,0,0,0,2026-07-14,6,0,0,
2026-07-16,FBA79683,X0028X85CF,B0DVC9PRSD,,New,1,0,0,0,0,1,0,0,INR,0,0.0,0,0.0,0,0,0,0,Low traffic,17679.0,0.0,16490.0,0.0,Lower price,0,17579.0,28,0,108206.14,0.0,0.098921,cubic meter,,0.098921,IN,,112529,,1,,,16490.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,2073.38,0,0,0,0,0,0,2026-07-14,1,0,0,
2026-07-16,FBA79816,X002EQBLHR,B0FPR962YS,,New,1,0,0,1,0,0,0,0,INR,0,0.0,0,0.0,0,0,0,0,Low traffic,3299.0,0.0,3299.0,0.0,Advertise listing,0,0.0,0,0,2952.89,0.0,6.52E-4,cubic meter,,6.52E-4,IN,,7101,,0,,,3299.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,13.67,0,0,0,0,0,0,2026-07-14,1,0,0,
2026-07-16,FBA79260,X001XSPVPP,B07GVGMW59,,New,13,0,0,15,0,0,0,0,INR,0,0.0,0,0.0,9,15,15,15,,2699.0,0.0,2699.0,0.0,CreateShippingPlan,13,0.0,0,0,0.0,1.3,6.32E-4,cubic meter,,0.008216,IN,,7438,,0,3,11,2699.0,20585.6,34309.28,34309.28,34309.28,0,15,0,0,0,0,0,16.52,0,0,0,0,1,0,2026-07-14,13,0,1,
2026-07-16,FBA79116,X001WRIRN5,B0BYHHSLPC,,New,26,0,0,26,0,0,0,0,INR,0,0.0,0,0.0,1,5,5,11,,2099.0,0.0,2099.0,0.0,NoRestockExcessActionRequired,26,0.0,0,0,0.0,0.68,0.001313,cubic meter,,0.034145,IN,,379,,0,20,30,2099.0,1778.82,8622.9,8622.9,18330.52,0,26,0,0,0,0,0,372.55,0,0,0,0,0,0,2026-07-14,26,0,0,
2026-07-16,FBA79566,X0028X0MYJ,B0DKJSCLBD,,New,14,0,0,0,14,0,0,0,INR,0,0.0,0,0.0,0,0,1,3,Low traffic,2391.0,0.0,2299.0,0.0,NoRestockExcessActionRequired,0,2291.0,52,0,57977.79,0.15,0.006301,cubic meter,,0.088212,IN,,146956,,14,,60,2299.0,0.0,0.0,1987.28,5883.89,0,0,0,14,0,0,0,1665.78,0,0,0,0,0,0,2026-07-14,14,0,0,
2026-07-16,FBK79788,X002DVGH59,B0FN4D3C89,,New,16,0,0,17,0,0,0,0,INR,0,0.0,0,0.0,6,32,146,264,,459.0,0.0,459.0,0.0,CreateShippingPlan,16,0.0,0,0,0.0,3.17,8.27E-4,cubic meter,,0.013231,IN,,2930,,0,2,0,459.0,2181.36,11633.92,53044.17,96043.7,1,16,0,0,0,0,0,5.4,0,0,0,0,0,0,2026-07-14,16,0,0,
2026-07-16,FBA77110,X001OTAQ4J,B08NDB5NWP,,New,19,0,0,19,0,0,0,0,INR,0,0.0,0,0.0,1,6,6,6,,2999.0,0.0,2999.0,0.0,NoRestockExcessActionRequired,19,0.0,0,0,13.42,0.44,0.001114,cubic meter,,0.021167,IN,,1756,,0,12,41,2999.0,2541.53,15198.31,15198.31,15198.31,5,5,9,0,0,0,0,32.81,0,0,0,0,0,0,2026-07-14,19,0,0,
