PO,Order date,Last updated,PO Status,Confirmation Status,Ship-to location,ASIN,SKU,Model,Brand,Accepted quantity,Received quantity,Remaining quantity,Cancelled quantity,Cost,Currency,Total accepted cost,Total remaining cost,Receive Status
8X7GXGGS,2026-04-06T01:22:49Z,2026-06-04T14:35:28Z,CLOSED,ACCEPTED,ISK3,B089SJGQBH,FBA77104,TC20,Tonor,1,0,1,0,3669.85,INR,3669.85,3669.85,NOT_RECEIVED
8X7GXGGS,2026-04-06T01:22:49Z,2026-06-04T14:35:28Z,CLOSED,ACCEPTED,ISK3,B0CCV74CL7,FBA79114,TC310+,Tonor,2,1,1,0,2516.25,INR,5032.5,2516.25,RECEIVED
8P7O2OYG,2026-01-12T01:06:34Z,2026-02-14T14:36:37Z,CLOSED,ACCEPTED,ISK3,B08CVP2HXP,FBA77111,TC30,Tonor,1,0,1,0,1751.02,INR,1751.02,1751.02,NOT_RECEIVED
8P7O2OYG,2026-01-12T01:06:34Z,2026-02-14T14:36:37Z,CLOSED,ACCEPTED,ISK3,B0B4WTHLX5,FBA79574,TC30S,Tonor,1,0,1,0,2236.58,INR,2236.58,2236.58,NOT_RECEIVED
8GY7TBLH,2026-06-08T01:43:13Z,2026-06-15T16:08:34Z,OPEN,ACCEPTED,ISK3,B0CQX3VB1R,FBA79696,TD310+,Tonor,7,2,5,0,1751.02,INR,12257.14,8755.1,PARTIALLY_RECEIVED
8GY7TBLH,2026-06-08T01:43:13Z,2026-06-15T16:08:34Z,OPEN,ACCEPTED,ISK3,B078WNW4YW,FBA77117,S20,Tonor,1,0,1,0,1747.25,INR,1747.25,1747.25,NOT_RECEIVED
8GY7TBLH,2026-06-08T01:43:13Z,2026-06-15T16:08:34Z,OPEN,ACCEPTED,ISK3,B08V1JS3NY,FBA77115,TC40,Tonor,1,0,1,0,2481.29,INR,2481.29,2481.29,NOT_RECEIVED
8EXEIHNI,2026-04-20T02:38:20Z,2026-06-04T14:38:26Z,CLOSED,ACCEPTED,ISK3,B0BYHHSLPC,FBA79116,TC-777 PRO,Tonor,20,0,20,0,1751.02,INR,35020.4,35020.4,NOT_RECEIVED
8AD5FMBT,2026-03-30T02:17:28Z,2026-05-01T14:39:45Z,CLOSED,ACCEPTED,ISK3,B0CQX3VB1R,FBA79696,TD310+,Tonor,1,0,1,0,1751.02,INR,1751.02,1751.02,NOT_RECEIVED
8AD5FMBT,2026-03-30T02:17:28Z,2026-05-01T14:39:45Z,CLOSED,ACCEPTED,ISK3,B08CVP2HXP,FBA77111,TC30,Tonor,2,1,1,0,1751.02,INR,3502.04,1751.02,RECEIVED
87MI8CVS,2026-01-12T01:06:36Z,2026-02-14T14:37:33Z,CLOSED,ACCEPTED,ISK3,B082W4B7SX,FBA77106,T20,Tonor,1,0,1,0,1601.05,INR,1601.05,1601.05,NOT_RECEIVED
87MI8CVS,2026-01-12T01:06:36Z,2026-02-14T14:37:33Z,CLOSED,ACCEPTED,ISK3,B08CVP2HXP,FBA77111,TC30,Tonor,2,1,1,0,1751.02,INR,3502.04,1751.02,RECEIVED
7YR5PEFK,2026-04-18T11:18:19Z,2026-06-04T14:41:39Z,CLOSED,ACCEPTED,ISK3,B07GVGMW59,FBK77102,G11,Tonor,21,19,2,0,1818.39,INR,38186.19,3636.78,RECEIVED
7EQSU8CL,2026-04-06T01:22:47Z,2026-06-04T14:39:56Z,CLOSED,ACCEPTED,ISK3,B0CQX4K9P5,FBA79697,TD310,Tonor,8,7,1,0,1683.64,INR,13469.12,1683.64,RECEIVED
7CMTWVDZ,2026-01-26T01:13:26Z,2026-02-28T14:31:56Z,CLOSED,ACCEPTED,ISK3,B0CCV74CL7,FBA79114,TC310+,Tonor,1,0,1,0,2516.25,INR,2516.25,2516.25,NOT_RECEIVED
72EHJCDB,2026-01-09T11:35:21Z,2026-03-12T14:30:33Z,CLOSED,ACCEPTED,ISK3,B0CFKZ72N7,FBA79578,D5,Tonor,15,0,15,0,2333.79,INR,35006.85,35006.85,NOT_RECEIVED
72EHJCDB,2026-01-09T11:35:21Z,2026-03-12T14:30:33Z,CLOSED,ACCEPTED,ISK3,B0CCVBQRFX,FBA79582,TD510+,Tonor,5,0,5,0,4543.79,INR,22718.95,22718.95,NOT_RECEIVED
