ASIN,Qty,OpenPOUnits,Aged90PlusUnits,UnsellableUnits,SellableCost,SnapshotDate
B07JGQ9L5B,774,0,108,54,385132.5,2026-07-12
B07Y1C6GDS,744,0,49,16,1936512.71,2026-07-12
B09Q2ZZGH2,693,0,119,9,1609599.5,2026-07-12
B06XCKGLTP,642,15,1,8,1098813.97,2026-07-12
B07JJ62B1B,455,0,455,5,921418.99,2026-07-12
B07JHDKXK4,424,0,84,30,994194.8,2026-07-12
B09JG62KDJ,422,0,50,6,815720.52,2026-07-12
B08CF614NK,184,0,175,3,659873.99,2026-07-12
B0BMFQP2ZZ,183,0,0,0,664155.8,2026-07-12
B07JHMWKBF,167,0,47,3,41233.37,2026-07-12
B0002OOMW6,163,0,155,0,66358.24,2026-07-12
B09LCL456X,161,0,159,8,193679.43,2026-07-12
B09XKD3H6C,152,4,19,1,350232.67,2026-07-12
B08FW1Q676,151,0,150,11,475703.4,2026-07-12
B084P1CXFD,114,2,103,2,1017290.36,2026-07-12
B09V12PT9H,87,0,0,1,171963.86,2026-07-12
B09BQQTLC8,83,0,0,0,51576.95,2026-07-12
B07RM4B5LJ,70,0,7,0,537376.45,2026-07-12
B0002DUS8E,62,7,1,1,25562.02,2026-07-12
B000EEJBDE,58,12,0,1,20479.37,2026-07-12
B07RL6VG3H,56,0,0,2,420033.18,2026-07-12
B09L7ZXKKF,54,0,54,0,395842.63,2026-07-12
B09V14JDTF,49,0,0,0,96853.21,2026-07-12
B09GTMFRGB,42,0,42,2,147232.13,2026-07-12
B0BFBDT2D2,38,1,0,0,530407.9,2026-07-12
B000EEL9G6,38,14,8,0,13383.21,2026-07-12
B00BSL5Z1E,37,0,0,0,649623.32,2026-07-12
B001D7UYBO,31,20,0,2,290523.95,2026-07-12
B00MMKQOEM,30,11,29,0,476990.68,2026-07-12
B00KQEXK2A,22,5,6,2,139487.02,2026-07-12
B07G4CCMYL,22,0,7,0,121039.56,2026-07-12
B00T8L17N6,21,15,0,1,7695.16,2026-07-12
B09NZY68GM,21,0,5,0,44932.15,2026-07-12
B001EM180O,20,0,19,0,378873.93,2026-07-12
B01N6448Q4,20,0,0,0,77873.95,2026-07-12
B088NFWLZP,19,0,19,2,27400.16,2026-07-12
B00HVUSRY8,19,37,0,0,16668.32,2026-07-12
B00JDJ89DE,18,22,1,0,22497.78,2026-07-12
B017LUP20O,17,0,0,0,116119.17,2026-07-12
B000XXO7B2,17,0,1,1,262160.71,2026-07-12
B07FYQP9ML,16,0,2,0,286297.62,2026-07-12
B00B5LEAFE,16,3,0,0,6696.53,2026-07-12
B003AYM8BW,16,0,16,0,11024.87,2026-07-12
B003B0CEVY,15,0,15,0,6195.49,2026-07-12
B00X5TXLN6,14,0,0,0,83796.62,2026-07-12
B07X8Z1BRG,13,107,0,0,227577.65,2026-07-12
B000EENF4U,13,39,0,0,4120.49,2026-07-12
B07XD6H6P6,13,0,0,0,505727.99,2026-07-12
B06XF43R53,13,2,4,0,4973.49,2026-07-12
B083F7HJMX,12,0,0,0,5120.4,2026-07-12
B00B3PB11I,12,0,12,0,45471.59,2026-07-12
B074SYXZV9,12,0,12,0,352287.83,2026-07-12
B00JDIE0AG,12,0,0,0,13185.04,2026-07-12
B0002J6I7S,12,0,12,0,21541.7,2026-07-12
B0924G6DJX,11,0,0,0,18833.82,2026-07-12
B0BF9MN8R2,11,2,7,0,48478.41,2026-07-12
B00JDJNZ6K,11,0,0,0,3674.29,2026-07-12
B00BL70Y7U,11,0,0,0,188411.88,2026-07-12
B003B01KV4,11,0,11,0,7579.6,2026-07-12
B003XEXGNS,10,0,0,0,61984.9,2026-07-12
B081S9BCHF,10,2,0,0,228338.04,2026-07-12
B09241VBTP,9,1,0,0,15409.49,2026-07-12
B003B063G6,9,0,8,0,4196.33,2026-07-12
B0749GV5L3,9,2,0,0,243190.21,2026-07-12
B00EGHMOZC,9,0,0,0,122483.68,2026-07-12
B00OB47PF4,8,0,2,0,12019.41,2026-07-12
B0BF9PCGM8,8,12,0,0,26762.29,2026-07-12
B08FRYTVSZ,8,0,0,0,11576.91,2026-07-12
B00O46Y8F4,7,0,1,0,10516.06,2026-07-12
B003AMV7SO,7,3,0,0,3178.25,2026-07-12
B06XF31654,7,1,0,0,2716.21,2026-07-12
B0030YGHDM,7,0,0,0,31873.52,2026-07-12
B00KQPGRRE,7,0,7,0,88012.95,2026-07-12
B003B03XB4,7,0,1,0,2932.23,2026-07-12
B003ZVBO8I,7,0,5,0,7123.06,2026-07-12
B00LM7ZV1I,7,0,7,0,2660.21,2026-07-12
B0030YEPKY,6,0,1,0,68964.45,2026-07-12
B0002DUS16,6,0,6,0,3108.25,2026-07-12
B07QKWFTK1,6,0,6,1,67205.31,2026-07-12
B07RM21D8X,6,0,4,0,56552.47,2026-07-12
B06Y25Y2LK,6,0,0,0,24511.94,2026-07-12
B005M02VNW,5,0,5,0,111518.81,2026-07-12
B0030YD3IY,5,0,0,0,23907.89,2026-07-12
B0002KZDGY,5,0,0,0,5460.43,2026-07-12
B0002E2OSU,5,0,0,0,6221.49,2026-07-12
B00MWRZ9NM,5,0,5,0,7516.74,2026-07-12
B0002F4WLG,5,0,5,0,90067.11,2026-07-12
B073W8ZYPJ,5,0,5,0,8449.47,2026-07-12
B000979O0G,5,0,5,0,42738.38,2026-07-12
B09NZNSYHN,5,0,1,0,15361.51,2026-07-12
B07N29RF9W,5,0,0,0,145596.5,2026-07-12
B0002F7J5M,5,0,2,0,7971.63,2026-07-12
B018BPG6U8,5,0,0,0,12340.97,2026-07-12
B0019ENBAW,5,0,5,0,5080.9,2026-07-12
B07LFTTWGR,5,0,0,0,81206.41,2026-07-12
B0064RD6B8,5,0,5,0,6950.55,2026-07-12
B00SKJJTBE,5,0,0,0,68405.4,2026-07-12
B07BCN55VP,5,0,2,1,118759.38,2026-07-12
B009X3PM08,5,0,5,2,44724.78,2026-07-12
B000FPAZS2,5,0,5,0,5080.4,2026-07-12
B00LE6IE0C,5,0,5,0,40828.23,2026-07-12
B09NQBDGT3,5,10,0,1,46949.46,2026-07-12
B0002E3L00,5,0,5,0,5935.47,2026-07-12
B0B4MYWWKG,4,0,4,0,60232.76,2026-07-12
B08D7SWGG5,4,0,4,0,30442.4,2026-07-12
B00S2Z992A,4,0,4,0,35494.8,2026-07-12
B09SG1PL9Z,4,0,4,0,14647.44,2026-07-12
B00SKJGZLG,4,0,0,0,54724.32,2026-07-12
B0002F7J5W,4,0,4,0,6344.5,2026-07-12
B0002E3L0K,4,0,4,0,5356.42,2026-07-12
B018KIJGU8,4,1,3,0,22987.82,2026-07-12
B000EENHAW,4,0,4,0,5468.43,2026-07-12
B002IJK0HY,4,0,3,0,1505.37,2026-07-12
B0030Y6Z84,4,0,0,0,22222.36,2026-07-12
B00S5WRW6U,4,15,0,0,18209.44,2026-07-12
B00S9Z05R6,4,0,4,0,18165.43,2026-07-12
B0002E1I5U,4,0,4,0,2240.18,2026-07-12
B08PJRGZ98,4,2,0,0,44003.48,2026-07-12
B07K89DNTZ,4,0,0,0,71825.67,2026-07-12
B00097BMNI,4,0,0,0,37882.99,2026-07-12
B0002E1I4Q,4,0,0,0,2072.16,2026-07-12
B0718WYKR9,4,0,1,0,4464.6,2026-07-12
B00JDJBDC8,4,0,1,0,5840.46,2026-07-12
B002IJK0H4,3,14,3,2,938.23,2026-07-12
B00S2Z986W,3,0,3,0,37052.93,2026-07-12
B099DQVKV2,3,0,3,0,127294.06,2026-07-12
B07HDB12FM,3,2,0,0,25230.01,2026-07-12
B00YAZHRZM,3,0,0,0,60097.75,2026-07-12
B003B0A6ZK,3,2,0,0,1710.14,2026-07-12
B07S5DC3T3,3,0,2,0,9644.64,2026-07-12
B000RVX1Q2,3,0,0,0,49692.93,2026-07-12
B00ZWJ39Q6,3,0,3,0,28430.25,2026-07-12
B07N6DW1TT,3,0,3,0,16701.2,2026-07-12
B000WIT8BM,3,1,0,0,1584.13,2026-07-12
B000EEJDJQ,3,0,3,0,42609.37,2026-07-12
B07JN7JGBV,3,0,0,0,12111.96,2026-07-12
B00075EKDG,3,0,3,0,9717.77,2026-07-12
B003B0A740,3,2,0,0,3648.29,2026-07-12
B000UJHE2S,3,0,0,0,1344.11,2026-07-12
B000WA8KYG,3,0,3,0,8809.9,2026-07-12
B07D3N1VVH,3,0,0,0,13459.06,2026-07-12
B000CD3QY2,3,3,2,0,33702.41,2026-07-12
B07BCQ7P7Z,2,0,0,1,33252.63,2026-07-12
B00HF9X2SQ,2,1,0,0,4878.39,2026-07-12
B06XDZTH2X,2,0,0,0,616.05,2026-07-12
B011UCC3ZQ,2,0,2,0,81936.67,2026-07-12
B07MTHFNSH,2,0,2,0,214396.62,2026-07-12
B01LHVBT5U,2,0,2,0,5355.0,2026-07-12
B09T3JVYQS,2,0,0,0,20959.66,2026-07-12
B002LLLHDK,2,0,2,0,34554.73,2026-07-12
B00EGHMPCY,2,0,0,0,32482.57,2026-07-12
B0002GJ940,2,0,1,0,875.07,2026-07-12
B00OB48L48,2,0,0,0,3004.24,2026-07-12
B07XC3M6Y1,2,0,0,0,103739.07,2026-07-12
B003B01QSG,2,51,0,0,736.06,2026-07-12
B008388XNW,2,0,0,0,34256.71,2026-07-12
B07KYKTRKX,2,0,0,0,11172.88,2026-07-12
B07D3MPLFT,2,1,0,0,6560.52,2026-07-12
B00IO1NHPM,2,12,2,0,2035.16,2026-07-12
B00IJDXYGC,2,0,0,0,28786.27,2026-07-12
B07G9M74JZ,2,0,2,0,34561.63,2026-07-12
B083WMYP8H,2,3,0,0,33128.62,2026-07-12
B003AP94WC,1,18,1,0,520.04,2026-07-12
B00OB49034,1,0,1,0,2117.86,2026-07-12
B07BBG8L4G,1,0,1,0,9614.76,2026-07-12
B073WNS92T,1,0,1,0,19636.55,2026-07-12
B000RW5PXI,1,0,0,1,16564.31,2026-07-12
B09PH7Z2L2,1,0,1,0,4365.34,2026-07-12
B0002F6O0S,1,0,0,0,1995.16,2026-07-12
B09NZBJY2M,1,0,0,0,2007.16,2026-07-12
B011UDPXK2,1,0,0,0,6830.54,2026-07-12
B076T15QLW,1,0,0,0,11568.91,2026-07-12
B0002F7B8W,1,0,1,0,32635.58,2026-07-12
B09NWGYVLD,1,0,1,0,25989.55,2026-07-12
B06XC9MBVP,1,0,1,0,6299.65,2026-07-12
B0032WBK5M,1,0,1,0,7837.62,2026-07-12
B0091401EQ,1,0,1,0,15096.19,2026-07-12
B06Y1XD9H7,1,0,0,1,4085.32,2026-07-12
B00SMKOGF0,1,0,1,0,18013.42,2026-07-12
B00GQDORA4,1,0,1,1,4513.77,2026-07-12
B082K7BXWD,1,0,1,0,1614.54,2026-07-12
B00S2Z95RO,1,0,0,0,7980.63,2026-07-12
B00X5TXLY0,1,0,0,0,7201.57,2026-07-12
B0002E4Y2E,1,0,1,0,9714.04,2026-07-12
B08CF53PQH,1,0,1,0,0.0,2026-07-12
B07N292S5J,1,0,0,0,30877.44,2026-07-12
B07SD439CV,1,0,1,0,0.0,2026-07-12
B06XF3VK6Y,1,6,0,0,388.03,2026-07-12
B083N6Q72Z,1,0,1,0,16055.77,2026-07-12
B09C1BQZZV,1,0,1,0,3039.24,2026-07-12
B06Y4FYPNY,1,0,1,0,96374.61,2026-07-12
B00SKJH1IW,1,0,0,0,16241.28,2026-07-12
B0064RVAUC,1,12,0,0,18319.45,2026-07-12
B01G6JRLIC,1,0,1,0,1295.1,2026-07-12
B000R9YLTK,1,0,0,0,1111.09,2026-07-12
B015R0IQGW,1,23,0,11,5351.42,2026-07-12
B0779JXC7S,1,0,1,0,22115.75,2026-07-12
B0779BB8DM,1,0,1,0,1125.09,2026-07-12
B08TYWJHR7,1,0,0,1,48627.69,2026-07-12
B00FYQFPFU,1,0,1,0,0.0,2026-07-12
B07N28NZYS,1,0,1,0,27732.19,2026-07-12
B0002F56ZC,1,0,1,0,10127.8,2026-07-12
B0009SZQMU,1,0,1,0,17564.39,2026-07-12
B01KBT2EH6,1,0,1,0,8873.7,2026-07-12
B00LM7ZYJC,1,6,1,0,370.03,2026-07-12
B08874YDB4,1,57,1,0,4999.39,2026-07-12
