week,brand,model,channel,sku,sku_status,units_sold,gross_sales,gmv,nlc,sales_nlc,category_l0,category_l1,category_l2
Week 10,Nexlev,AP-01,Amazon,FBA79683,MAPPED,0,0,0,10158,0,Home & Kitchen,Air Purifier,Air Purifier
Week 10,Nexlev,AP-01 HEPA,Amazon,FBA79777,MAPPED,0,0,0,2350,0,Home & Kitchen,HEPA,Spares
Week 10,Nexlev,AP-03,Amazon,FBA79692,MAPPED,7,21756.77966,21756.77966,2005,14035,Home & Kitchen,Air Purifier,NexLev Air Purifier Mini
Week 10,Nexlev,AP-03 HEPA,Amazon,FBA79778,MAPPED,2,1862.711864,1862.711864,500,1000,Home & Kitchen,HEPA,Spares
Week 10,Nexlev,BM-02,Amazon,FBA79598,MAPPED,0,0,0,970,0,HPC,Electric Massagers,Back & Shoulder Massager
Week 10,Nexlev,BR-01,Amazon,FBA79570,MAPPED,41,50111.87288,50111.87288,536,21976,HPC,Skin Care,Blackhead Remover
Week 10,Nexlev,CF-01,Amazon,FBA79484,MAPPED,1,1185.59322,1185.59322,716,716,Home & Kitchen,Kitchen Appliances,Drip Coffee Maker
Week 10,Nexlev,CFM-01,Amazon,FBA79590,MAPPED,29,66360.19492,66360.19492,1014,29406,HPC,Electric Massagers,Calf Massager
Week 10,Nexlev,CFM-02,Amazon,FBA79689,MAPPED,1,5083.898305,5083.898305,3229,3229,HPC,Electric Massagers,Complete Leg Massager
Week 10,Nexlev,CFM-03,Amazon,FBA79849,MAPPED,2,8472.881356,8472.881356,2004,4008,HPC,Electric Massagers,Calf Massager
Week 10,Nexlev,CM-01-BL,Amazon,FBA79464,MAPPED,0,0,0,560,0,HPC,Electric Massagers,Electric Heating Pads
Week 10,Nexlev,CM-02-PR,Amazon,FBA79472,MAPPED,2,2275.008475,2275.008475,560,1120,HPC,Electric Massagers,Electric Heating Pads
Week 10,Nexlev,CR-01,Amazon,FBA79265,MAPPED,2,1211.864407,1211.864407,533,1066,HPC,Skin Care,Callus Remover
Week 10,Nexlev,DF-01-BK,Amazon,FBA79174,MAPPED,2,2772.881356,2772.881356,1073,2146,HPC,Oral Care,Dental Flosser
Week 10,Nexlev,DH-01,Amazon,FBM79991,MAPPED,5,16944.91525,16944.91525,0,0,Home & Kitchen,"Heating, Cooling & Air Quality",Dehumidifiers
Week 10,Nexlev,EA-01,Amazon,FBA79350,MAPPED,17,12159.32203,12159.32203,710,12070,HPC,Hair Care,Hair Oil Applicator
Week 10,Nexlev,EA-02,Amazon,FBA79573,MAPPED,8,17615.25424,17615.25424,1345,10760,HPC,Hair Care,Hair Oil Applicator
Week 10,Nexlev,ET-01-BK_N,Amazon,FBA79373,MAPPED,31,7844.915254,7844.915254,295,9145,HPC,Oral Care,Electric Toothbrush
Week 10,Nexlev,ET-02-GN_N,Amazon,FBA79374,MAPPED,16,4056.788136,4056.788136,295,4720,HPC,Oral Care,Electric Toothbrush
Week 10,Nexlev,ETC-04-WH,Amazon,FBA79346,MAPPED,2,1294.915254,1294.915254,412,824,HPC,Oral Care,Electric Toothbrush
Week 10,Nexlev,ETC-05-PI,Amazon,FBA79347,MAPPED,1,634.7457627,634.7457627,413,413,HPC,Oral Care,Electric Toothbrush
Week 10,Nexlev,ETC-07-WH,Amazon,FBA79673,MAPPED,9,5706.364407,5706.364407,371,3339,HPC,Oral Care,Electric Toothbrush
Week 10,Nexlev,ETC-08-BL,Amazon,FBA79707,MAPPED,5,2538.983051,2538.983051,373,1865,HPC,Oral Care,Electric Toothbrush
